Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba
86,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912,1,1.0,1,0.83
87,4930.0,6655.0,1039.0,1.001,1,1,0.6,1,0.788137240243973,1,1.0,1,0.83
88,6555.308,8188.868,802.0,1.751,1,1,0.8,1,0.999829172170269,1,1.0,1,0.83
89,7459.135,7360.244,1275.0,0.197,1,1,0.6,1,0.9127673970047963,1,1.0,1,0.83
90,4691.611,6233.29,1094.0,1.743,1,0,0.4,0,0.2782073485924321,0,0.06719367588932806,1,0.83
91,4917.354,6722.226,1021.0,6.466,1,0,0.4,1,0.5445404554428339,1,0.8947368421052632,1,0.83
92,4620.526,6358.339,1022.22,0.135,1,0,0.4,0,0.29050270151067376,1,0.8888888888888888,1,0.83
93,6297.102,7185.915,1163.0,0.119,1,0,0.4,0,0.4251685347713425,0,0.38461538461538464,1,0.83
94,7444.054,7339.262,1281.0,0.321,1,0,0.4,1,0.7351928062332271,1,1.0,1,0.83
95,6223.649,7274.05,1101.0,0.707,1,0,0.4,1,0.751208791563251,1,1.0,1,0.83
96,5669.828,6624.638,1218.0,0.261,1,0,0.4,1,0.9946529019091985,1,1.0,1,0.83
97,5300.192,8533.699,486.0,2.476,1,1,1.0,1,1.0,1,1.0,1,0.83
98,7190.329,3570.463,1262.249,4.25,1,1,1.0,1,0.9999999995843825,1,1.0,1,0.83
99,6256.895,7080.973,1169.099,1.039,1,0,0.4,1,0.9658538488162991,1,1.0,1,0.82
100,5560.397,6800.527,1156.639,0.657,1,0,0.4,0,0.4709098479421657,0,0.38461538461538464,1,0.82
101,5294.0,6431.0,1219.0,0.14,1,0,0.4,0,0.18879523678922086,1,1.0,1,0.82
102,7338.0,6556.0,1276.0,0.203,1,0,0.4,0,0.21621289842797062,1,0.8947368421052632,1,0.82
103,7629.716,7324.952,1221.0,1.001,1,1,0.6,1,0.939107710602902,1,1.0,1,0.82
104,7352.0,7355.0,1272.0,0.168,1,0,0.4,0,0.45068309470345425,1,1.0,1,0.82
105,7349.0,7315.0,1268.0,1.103,1,1,0.6,1,0.825577512274301,1,1.0,1,0.82
106,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882,1,1.0,1,0.82
107,6529.129,7813.508,941.609,1.999,1,0,0.2,0,0.14018614548710684,1,0.8888888888888888,1,0.82
108,5497.22,7002.321,1060.439,0.6,1,1,0.8,1,0.9646317742046873,1,1.0,1,0.81
109,9638.037,5563.973,1435.879,2.193,1,0,0.4,1,0.749189094178457,1,0.7,1,0.81
110,6259.677,7147.453,1169.099,2.136,1,1,1.0,1,0.9994581775266617,1,1.0,1,0.81
111,6275.028,8226.694,721.0,1.254,1,0,0.2,1,0.9531442832501948,1,1.0,1,0.81
112,4375.226,6417.477,830.0,8.707,1,1,0.8,1,0.9994225200743782,1,1.0,1,0.81
113,4916.943,6722.159,1021.0,0.434,1,0,0.2,1,0.6040099397571328,1,0.8947368421052632,1,0.81
114,7356.0,7344.0,1276.0,2.868,1,0,0.4,0,0.2035602968163872,1,0.8947368421052632,1,0.81
115,9635.037,5568.045,1435.879,6.095,1,0,0.4,0,0.0916762126124913,1,0.7,1,0.8
116,7199.911,3507.765,1262.249,1.057,1,1,1.0,1,0.9999106840799558,1,1.0,1,0.8
117,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695,1,1.0,1,0.8
118,6973.099,4908.679,1117.0,0.401,1,0,0.2,1,0.5657831073282102,1,1.0,1,0.8
119,4656.668,6316.063,1063.0,0.519,1,0,0.4,1,0.8899292813594972,1,1.0,1,0.8
120,4749.609,6228.706,1102.0,0.351,1,1,0.8,1,0.7827303215773903,1,0.8947368421052632,1,0.8
121,6504.192,7831.845,933.0,0.771,1,0,0.4,0,0.16721212808927582,1,0.8888888888888888,1,0.8
122,6531.783,7789.934,965.0,13.727,1,1,0.6,0,0.28054275490154607,1,0.8947368421052632,1,0.8
123,7354.327,7341.923,1299.0,0.2,1,0,0.2,0,0.17800204645905687,1,0.8947368421052632,1,0.8
124,13273.051,7774.233,1386.92,0.211,1,1,1.0,1,0.9999999997418847,1,1.0,1,0.8
125,6530.714,7826.906,945.0,2.496,1,1,0.8,0,0.16519123126159727,1,0.8888888888888888,1,0.79
126,6171.418,7391.818,1024.0,0.193,1,1,0.8,0,0.25015570857436753,1,0.8947368421052632,1,0.79
127,4726.049,6254.175,1092.0,4.093,1,1,0.8,1,0.9999960869239182,1,1.0,1,0.79
128,5700.862,8006.657,601.0,0.171,1,1,1.0,0,0.27156532965893604,1,0.7,1,0.79
129,2869.306,1880.466,673.609,0.352,1,0,0.4,0,0.1143816411874718,1,1.0,1,0.79
130,5066.0,6581.0,1094.0,4.538,1,1,0.6,1,0.9999695175433458,1,1.0,1,0.78
131,4365.662,6437.495,826.0,2.133,1,0,0.4,0,0.46611921279897167,1,1.0,1,0.78
132,5516.238,6887.632,1040.0,0.119,1,0,0.2,0,0.1535731451479314,0,0.06719367588932806,1,0.78
133,6527.941,7809.983,941.609,1.077,1,1,0.6,0,0.09683259526018674,0,0.4666666666666667,1,0.78
134,14537.849,9549.684,1452.959,0.475,1,1,1.0,1,0.9994685783789888,1,0.7,1,0.78
135,6498.007,7771.762,960.0,3.216,1,0,0.4,0,0.28489828741408313,1,0.8888888888888888,1,0.78
136,11747.495,5863.982,1459.979,0.17,1,0,0.4,1,0.5884957123521409,1,1.0,1,0.78
137,12571.0,9326.0,1258.0,0.114,1,1,0.8,1,0.8861345091474181,1,1.0,1,0.78
138,4686.67,6204.417,1080.0,0.855,1,1,0.8,1,0.9998635525752001,1,1.0,1,0.77
139,5939.501,3655.298,1025.64,0.103,1,0,0.4,1,0.8490441919869146,1,1.0,1,0.77
140,4723.448,6225.89,1105.0,0.238,1,0,0.2,0,0.12884256483143827,0,0.06719367588932806,1,0.77
141,5669.038,6632.027,1284.399,1.89,1,1,0.8,1,0.9863445641186718,1,1.0,1,0.77
142,4986.764,8192.549,400.0,0.25,1,0,0.2,0,0.005902824189788644,1,0.7,1,0.77
143,4913.4,6713.0,1005.0,0.153,1,0,0.2,0,0.17980589932746494,1,0.6666666666666666,1,0.76
144,6486.056,8346.481,736.0,0.106,1,0,0.4,0,0.464580182103881,1,0.7,1,0.76
145,5566.688,6787.367,1089.0,0.114,1,0,0.4,1,0.6521301097555738,0,0.06719367588932806,1,0.76
146,5556.255,6806.828,1156.639,0.654,1,1,0.6,0,0.3514200038570631,1,0.8947368421052632,1,0.76
147,7270.265,3810.471,1200.709,0.245,1,0,0.4,1,0.8548816165455901,1,1.0,1,0.76
148,4918.0,6713.0,1005.0,0.21,1,0,0.4,0,0.042532271609804426,1,0.8888888888888888,1,0.75
149,5674.576,3343.853,1130.0,0.256,1,1,1.0,1,0.9982179369343852,1,1.0,1,0.75
150,5730.094,6776.153,1121.78,0.867,1,1,0.8,1,0.9082930420000274,1,1.0,1,0.75
151,4717.746,6243.939,1077.0,0.754,1,0,0.2,0,0.08969442679042265,1,1.0,1,0.75
152,5015.0,6729.0,989.0,1.043,1,1,0.6,1,0.9964973421341919,1,1.0,1,0.75
153,4380.674,6388.949,890.0,0.976,1,0,0.4,0,0.08860245498329783,1,1.0,1,0.75
154,7409.0,7319.0,1289.0,0.147,1,0,0.2,0,0.10251816484727219,1,0.8947368421052632,1,0.75
155,9739.973,6295.477,1498.0,0.188,1,0,0.4,0,0.4913265671479439,1,1.0,1,0.75
156,3706.803,6092.985,573.0,0.35,1,0,0.4,0,0.14394988138337156,1,1.0,1,0.75
157,5337.0,6603.0,1121.0,0.302,1,1,0.6,1,0.5432947584603464,1,1.0,1,0.75
158,6421.0,7821.0,915.0,1.254,1,0,0.2,0,0.065877598212452,0,0.06719367588932806,1,0.74
159,6526.869,7759.846,941.609,0.296,1,0,0.2,0,0.0628008028199926,0,0.06818181818181818,1,0.74
160,4912.899,6732.387,995.0,0.333,1,1,0.6,0,0.15061258706815167,1,1.0,1,0.74
161,9717.313,3175.588,1463.229,0.29,1,0,0.2,1,0.879154358987684,1,1.0,1,0.74
162,6432.989,7796.449,935.0,0.422,1,1,0.6,0,0.14326497213431616,1,1.0,1,0.74
163,6383.933,7059.859,1228.0,0.225,1,1,0.6,0,0.2886472846441398,1,1.0,1,0.74
164,4848.251,6220.151,1155.0,0.254,1,0,0.4,1,0.9408340387786356,1,1.0,1,0.73
165,5670.158,6626.205,1284.399,0.115,1,0,0.2,1,0.8178685242534434,1,1.0,1,0.73
166,6497.0,7701.0,953.0,0.673,1,0,0.2,0,0.06449118005108055,0,0.4666666666666667,1,0.73
167,5552.0,8319.0,598.0,0.101,1,0,0.4,0,0.14806742041586804,0,0.06719367588932806,1,0.73
168,5481.0,8260.0,521.0,0.135,1,0,0.2,0,0.11935815194002047,0,0.06719367588932806,1,0.73
169,4931.0,6656.0,1040.0,0.422,1,0,0.4,1,0.5522429699413862,0,0.07142857142857142,1,0.73
170,5420.998,6356.61,1317.0,0.135,1,1,0.6,0,0.37869845469303703,1,1.0,1,0.73
171,4886.0,6801.0,926.0,0.308,1,0,0.4,0,0.2659299615874125,1,1.0,1,0.72
172,9650.171,3166.114,1463.229,2.262,1,1,1.0,1,0.9999999999998295,1,1.0,1,0.72
173,6528.118,7809.41,960.0,1.358,1,1,0.6,0,0.17710736867896631,0,0.06719367588932806,1,0.72
174,6586.0,7102.0,1158.0,1.221,1,0,0.4,1,0.9795860821003446,1,1.0,1,0.72
175,6503.0,7681.0,953.0,0.52,1,0,0.4,0,0.1839052169404634,0,0.06818181818181818,1,0.72
176,6188.95,7374.591,1033.0,0.12,1,0,0.2,0,0.3549773799610092,0,0.38461538461538464,1,0.72
177,5672.192,6625.17,1218.0,0.544,1,1,0.6,1,0.7958886003081315,1,1.0,1,0.72
178,6369.0,7187.0,1154.0,0.956,1,0,0.4,0,0.3173925302217449,1,0.8888888888888888,1,0.72
179,12235.003,9655.366,1353.57,0.184,1,1,0.8,1,0.864732782229154,1,1.0,1,0.72
180,12479.768,9390.582,1367.0,0.882,1,1,0.6,1,0.9915827373823907,1,1.0,1,0.72
181,6528.818,7820.133,941.609,6.185,1,0,0.2,0,0.07062806216565781,1,0.8947368421052632,1,0.71
182,6842.361,7921.866,970.0,0.183,1,0,0.4,0,0.20335719834453586,0,0.03278688524590164,1,0.71
183,6410.0,7249.0,1107.0,0.481,1,0,0.2,0,0.31820465490099503,0,0.4666666666666667,1,0.71
184,4914.05,6713.0,1005.0,0.983,1,0,0.4,0,0.23731594997708869,0,0.06719367588932806,1,0.71
185,5315.348,3201.014,1126.48,0.286,1,1,1.0,1,0.9999974666335407,0,0.0,1,0.7
186,4372.395,6423.466,837.0,0.879,1,0,0.2,0,0.10647086158795176,1,1.0,1,0.7
187,20654.0,6445.0,1305.0,0.68,1,1,0.6,1,0.8499232382307371,1,1.0,1,0.7
188,4964.6,6649.0,1056.0,0.738,1,1,0.6,0,0.17573757381279298,0,0.02702702702702703,1,0.7
189,4902.394,6760.422,959.0,0.676,1,0,0.4,0,0.3093860035218923,1,0.8888888888888888,1,0.7
190,5290.0,6460.0,1204.0,0.146,1,0,0.2,0,0.11207453465561489,0,0.06818181818181818,1,0.69
191,5817.0,7768.0,721.0,1.094,1,1,0.8,0,0.10107286192664469,1,0.8888888888888888,1,0.69
192,6777.825,7997.316,955.0,0.182,1,0,0.2,0,0.0865333139180036,0,0.06818181818181818,1,0.69
193,4962.0,6661.0,1045.0,0.102,1,1,0.8,1,0.6517857980618921,1,1.0,1,0.69
194,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0,1,1.0,1,0.69
195,12448.019,9465.28,1366.139,0.246,1,0,0.2,0,0.44856929494770537,1,1.0,1,0.69
196,6500.656,7831.902,931.0,22.424,1,1,0.6,0,0.4366102653020717,1,0.8947368421052632,1,0.69
197,6846.961,7923.449,968.0,0.422,1,1,0.6,0,0.17139343947953137,0,0.03278688524590164,1,0.68
198,4711.0,6292.0,1057.0,0.693,1,1,0.6,0,0.38875202032005535,0,0.06719367588932806,1,0.68
199,8247.712,8643.854,1008.0,0.176,1,1,0.6,1,0.9824013948303969,1,0.6666666666666666,1,0.68
200,4685.526,6211.428,1080.0,0.555,1,0,0.4,0,0.20812337486241583,1,1.0,1,0.68
201,4587.0,6403.0,1007.0,0.119,1,0,0.2,0,0.041245435078905116,1,1.0,1,0.68
202,9748.088,7293.679,1274.99,0.165,1,1,0.6,0,0.19717464596716416,1,1.0,1,0.68
203,4916.8,6713.0,1005.0,5.153,1,0,0.4,1,0.5927316136151075,1,0.8947368421052632,1,0.68
204,4916.0,6713.0,1005.0,0.471,1,0,0.4,0,0.026301304913980705,1,0.8888888888888888,1,0.68
205,10777.316,5702.359,1551.11,0.135,1,0,0.2,0,0.1419220347170927,1,1.0,1,0.68
206,6529.503,7821.969,941.609,1.118,1,0,0.4,0,0.308474453769545,1,0.8888888888888888,1,0.67
207,6525.819,7759.798,971.0,0.836,1,1,0.6,0,0.23633165392145056,1,0.8888888888888888,1,0.67
208,6412.0,8294.0,698.0,1.377,1,0,0.4,0,0.28706371551581994,0,0.07142857142857142,1,0.67
209,4769.826,6597.82,956.0,4.187,1,1,1.0,1,0.9999999982063272,1,1.0,1,0.67
210,4650.153,6304.18,1061.0,0.255,1,1,0.6,0,0.3026163749054447,0,0.4666666666666667,1,0.67
211,8400.0,5163.0,1248.0,0.156,1,0,0.2,0,0.13638368929573919,0,0.06719367588932806,1,0.66
212,4697.819,6262.421,1090.0,0.403,1,1,0.6,0,0.1747947563983014,0,0.06719367588932806,1,0.66
213,6262.426,7149.453,1169.099,1.125,1,0,0.2,1,0.989533904882356,1,1.0,1,0.66
214,6766.0,7761.0,1053.0,0.693,1,0,0.4,0,0.09062181110803519,0,0.06719367588932806,1,0.66
215,7647.106,6134.796,1329.093,0.017,0,1,0.8,0,0.2560391333404014,0,0.38461538461538464,1,0.66
216,6530.422,7826.883,941.609,1.304,1,1,0.6,0,0.12405800119092146,1,0.8888888888888888,1,0.65
217,5106.18,8329.73,355.0,0.113,1,0,0.2,0,0.32438708744760136,1,1.0,1,0.65
218,5105.0,6609.0,1060.0,0.111,1,0,0.4,0,0.36673652893833714,1,1.0,1,0.64
219,6159.193,8369.36,614.0,0.13,1,0,0.2,0,0.10134954277752944,0,0.06719367588932806,1,0.63
220,6352.74,6819.014,1352.149,4.363,1,0,0.2,1,0.6361826901305179,1,1.0,1,0.63
221,6505.977,7827.952,941.609,0.263,1,0,0.2,0,0.0631972099772216,0,0.06818181818181818,1,0.63
222,4963.1,6649.0,1053.0,1.405,1,1,0.6,1,0.502948258039929,0,0.4666666666666667,1,0.63
223,4918.146,6702.394,1030.0,0.17,1,0,0.4,0,0.05215804802205644,0,0.06818181818181818,1,0.62
224,4403.0,7712.0,356.0,0.17,1,0,0.2,0,0.03655201690123207,1,1.0,1,0.62
225,17504.0,8370.0,1297.0,0.029,0,0,0.4,0,0.4556642623297708,0,0.0,1,0.61
226,5548.681,6813.17,1073.0,0.187,1,1,0.6,0,0.2490034300007326,0,0.06719367588932806,1,0.61
227,13568.183,7743.042,1492.0,0.143,1,0,0.4,1,0.6188798803710629,1,1.0,1,0.6
228,4702.059,6705.683,942.979,0.033,0,0,0.2,0,0.35251684761572416,0,0.06719367588932806,1,0.59
229,8163.037,6302.033,1422.299,0.171,1,0,0.2,0,0.14796126573065022,0,0.06719367588932806,1,0.58
230,6494.224,7362.694,1055.0,0.01,0,0,0.4,0,0.19330113720031314,0,0.0,1,0.57
231,6529.833,7847.383,936.0,3.389,1,1,0.6,0,0.21142327885227957,0,0.06719367588932806,1,0.57
232,8057.901,6335.051,1376.543,0.03,0,0,0.2,0,0.1488936150193479,0,0.0,1,0.57
233,6419.0,7850.0,899.0,11.494,1,1,0.8,0,0.42819266547110363,1,0.8947368421052632,1,0.56
234,8054.946,6334.044,1365.179,0.032,0,0,0.2,0,0.23731728176354874,1,1.0,1,0.55
235,6471.14,6998.602,1227.0,0.868,1,0,0.4,1,0.9749989480548384,1,1.0,1,0.55
236,12418.742,6312.14,1511.66,0.372,1,1,0.6,1,0.7779571621311974,1,1.0,1,0.51
