Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1895,7359.948,7465.966,1280.549,0.292,1,0,0.0,1,0.6459927755550388,1,1.0,0,0.48,0.37940166495196403,0.41730142605471504,2.571601384670821,0.40706308661723717
1896,7873.0,7354.0,1165.0,0.006,0,0,0.0,0,0.056921834952485297,0,0.06719367588932806,0,0.13,0.43121193474628927,1.3309139863625932,0.1867157979021039,0.40670139216271095
1897,10061.589,6373.738,1530.51,0.005,0,0,0.2,0,0.03506013634109539,0,0.0,0,0.01,0.3275380915496576,-0.043081702452670824,0.1867157979021039,0.40636305158115416
1898,8041.528,6522.543,1383.583,0.14,1,0,0.2,1,0.7085222506675632,1,1.0,1,0.86,0.5290946373570453,1.0002821921316858,0.6181337712268828,0.4054152516561753
1899,8503.516,5901.5,1436.569,0.008,0,0,0.0,0,0.03647278158615689,0,0.06719367588932806,0,0.11,0.24597975446923148,0.4129883352142645,0.1867157979021039,0.40476451042175005
1900,6559.0,8265.0,774.0,0.092,0,0,0.0,0,0.20323543174575726,0,0.0,0,0.4,0.19134108715617842,0.4971667201109649,0.21397319850419855,0.4043826685666022
1901,10305.31,6105.992,1479.71,0.011,0,0,0.0,0,0.03813868014679569,0,0.0,0,0.0,0.3275380915496576,-0.015299478910295455,0.1867157979021039,0.403613664411805
1902,5412.399,8021.496,592.0,0.0025,0,0,0.2,0,0.07912327246568338,0,0.0,0,0.05,0.36887483222919454,0.3326798401693478,0.17964990763046554,0.4030026612917294
1903,5204.905,7350.857,707.0,0.156,1,0,0.4,0,0.2880813061661314,1,0.8947368421052632,1,0.86,0.9097430325617594,0.9977391059100253,0.722991173496274,0.40147385356234344
1904,4987.099,8192.271,400.0,0.01,0,0,0.0,0,0.0012394377700700684,0,0.0,0,0.01,1.2608487471402665,-0.10891725077028694,0.1867157979021039,0.4010356500705093
1905,5455.559,8296.044,540.0,0.044,0,0,0.2,0,0.2800359354403933,0,0.06719367588932806,0,0.01,0.9073950855504441,0.8664562413060618,0.1867157979021039,0.4004101411610769
1906,4577.0,6061.0,967.0,0.0025,0,0,0.0,0,0.00734455323494504,0,0.0,0,0.01,0.4215476378590439,0.01819635966359785,0.555,0.4001133875057959
