Rank,East,North,Level,Au_ppm,Random_Forest_proba,Random_Forest_Regressor_pred_ppm
51,5861.0,3911.0,859.0,0.163,0.88,0.3384750003831251
52,5779.0,7932.0,636.0,0.157,0.88,0.2712722133833861
53,4969.5,6685.0,1030.0,0.164,0.88,0.20938895471152738
54,6417.0,7865.0,889.0,5.287,0.87,3.494384593955499
55,4741.763,6241.317,1092.0,1.262,0.87,1.3056373988790377
56,7654.096,7280.083,1252.0,0.628,0.87,0.7962842474202221
57,5424.0,6768.0,1098.0,0.853,0.87,0.7072541923954907
58,6174.443,7369.29,1034.5,0.449,0.87,0.6971903858297566
59,5716.123,7160.875,1038.02,0.438,0.87,0.5621575687534555
60,5668.96,6628.041,1284.399,0.216,0.87,0.5593529850151804
61,6164.058,7410.504,1055.819,0.2,0.87,0.3688360512897021
62,4542.0,6036.0,947.0,0.114,0.87,0.2475036156488722
63,6502.193,7783.962,959.0,1.197,0.86,1.3152859163718567
64,4619.826,6358.339,1022.22,0.38,0.86,0.5708276074363765
65,6274.909,7994.661,829.0,0.222,0.86,0.5386179405913053
66,6585.25,8214.579,819.0,0.271,0.86,0.4446771900558939
67,8041.528,6522.543,1383.583,0.14,0.86,0.4054152516561753
68,5204.905,7350.857,707.0,0.156,0.86,0.40147385356234344
69,6507.0,7857.0,911.0,2.643,0.85,2.269318806142213
70,4601.089,6364.632,1021.28,2.873,0.85,1.8434481131130571
71,5555.229,6806.051,1156.639,3.108,0.85,1.8055320988326504
72,4929.0,6655.0,1040.0,1.544,0.85,1.4005330382230063
73,7353.587,7342.322,1299.0,0.998,0.85,1.0025191011140204
74,6566.274,7175.239,1134.0,0.63,0.85,0.7812131038094432
75,5556.843,6807.053,1156.639,0.713,0.85,0.550815781103625
76,5555.949,6806.014,1156.639,0.493,0.85,0.5400978634463055
77,10781.239,5714.179,1554.56,0.318,0.85,0.4476715669588081
78,6494.297,6741.99,1352.149,0.188,0.85,0.330249407530056
79,6411.0,7961.0,850.0,6.157,0.84,3.936802569930772
80,7354.0,7321.0,1264.0,1.59,0.84,1.2294489803574822
81,7634.969,7307.316,1221.0,0.501,0.84,1.1158596735311832
82,4784.829,6145.35,1150.0,0.718,0.84,0.7828046679651345
83,6564.0,8249.0,779.0,0.266,0.84,0.44534103840304207
84,4999.0,6744.0,974.0,0.142,0.84,0.3305965406124467
85,4917.354,6722.226,1021.0,6.466,0.83,5.251265203385275
86,7190.329,3570.463,1262.249,4.25,0.83,4.051826803916397
87,14537.603,9548.218,1452.959,6.451,0.83,3.4421618392783344
88,5300.192,8533.699,486.0,2.476,0.83,2.6595902522408315
89,7651.098,7262.602,1258.0,1.881,0.83,1.9101025223258583
90,6555.308,8188.868,802.0,1.751,0.83,1.3059437484522483
91,4930.0,6655.0,1039.0,1.001,0.83,1.2654681070001526
92,4691.611,6233.29,1094.0,1.743,0.83,1.1790282793531228
93,6223.649,7274.05,1101.0,0.707,0.83,0.9179312105725678
94,5669.828,6624.638,1218.0,0.261,0.83,0.6931923970179011
95,7459.135,7360.244,1275.0,0.197,0.83,0.5379423726243928
96,7444.054,7339.262,1281.0,0.321,0.83,0.35258723728610647
97,4620.526,6358.339,1022.22,0.135,0.83,0.282379703053281
98,6297.102,7185.915,1163.0,0.119,0.83,0.24265849563609554
99,5686.08,6607.879,1284.399,3.788,0.82,3.214311809018694
100,6529.129,7813.508,941.609,1.999,0.82,1.6756366268257235
101,7629.716,7324.952,1221.0,1.001,0.82,1.1599760781298651
102,7349.0,7315.0,1268.0,1.103,0.82,1.1339046177064362
103,6256.895,7080.973,1169.099,1.039,0.82,0.9364151281301304
104,7352.0,7355.0,1272.0,0.168,0.82,0.5606735206953205
105,5560.397,6800.527,1156.639,0.657,0.82,0.5308535634114909
106,7338.0,6556.0,1276.0,0.203,0.82,0.44019923105920034
107,5294.0,6431.0,1219.0,0.14,0.82,0.23096595517435892
108,4375.226,6417.477,830.0,8.707,0.81,5.126282627124416
109,6259.677,7147.453,1169.099,2.136,0.81,2.0010007475182023
110,7356.0,7344.0,1276.0,2.868,0.81,1.6876107197547094
111,9638.037,5563.973,1435.879,2.193,0.81,1.61865765031422
112,6275.028,8226.694,721.0,1.254,0.81,0.9283124898682424
113,4916.943,6722.159,1021.0,0.434,0.81,0.5612887797649644
114,5497.22,7002.321,1060.439,0.6,0.81,0.5531561111408417
115,6531.783,7789.934,965.0,13.727,0.8,6.233218743121704
116,13082.933,7638.933,1385.0,8.391,0.8,4.932481949390113
117,9635.037,5568.045,1435.879,6.095,0.8,3.0984371641830237
118,7199.911,3507.765,1262.249,1.057,0.8,1.584928407030756
119,13273.051,7774.233,1386.92,0.211,0.8,1.2770660959015445
120,6504.192,7831.845,933.0,0.771,0.8,0.9246010727605888
121,4656.668,6316.063,1063.0,0.519,0.8,0.7699802281533255
122,6973.099,4908.679,1117.0,0.401,0.8,0.5970946321195391
123,4749.609,6228.706,1102.0,0.351,0.8,0.5045788529066194
124,7354.327,7341.923,1299.0,0.2,0.8,0.36147794210040973
125,4726.049,6254.175,1092.0,4.093,0.79,2.175318827357433
126,6530.714,7826.906,945.0,2.496,0.79,1.9290106450481612
127,6171.418,7391.818,1024.0,0.193,0.79,0.5092762963600602
128,2869.306,1880.466,673.609,0.352,0.79,0.3427020065642623
129,5700.862,8006.657,601.0,0.171,0.79,0.2231637373434234
130,5066.0,6581.0,1094.0,4.538,0.78,3.196538980938348
131,6498.007,7771.762,960.0,3.216,0.78,2.593055298898282
132,4365.662,6437.495,826.0,2.133,0.78,1.8339097874078922
133,6527.941,7809.983,941.609,1.077,0.78,0.950186888304131
134,14537.849,9549.684,1452.959,0.475,0.78,0.5369408106355522
135,11747.495,5863.982,1459.979,0.17,0.78,0.39146231552404825
136,5516.238,6887.632,1040.0,0.119,0.78,0.1796646594509202
137,12571.0,9326.0,1258.0,0.114,0.78,0.1762374966830346
138,5669.038,6632.027,1284.399,1.89,0.77,1.551548947015834
139,4686.67,6204.417,1080.0,0.855,0.77,0.8943977917830606
140,4986.764,8192.549,400.0,0.25,0.77,0.2857638187076157
141,4723.448,6225.89,1105.0,0.238,0.77,0.27983717916430834
142,5939.501,3655.298,1025.64,0.103,0.77,0.1940293364241085
143,7270.265,3810.471,1200.709,0.245,0.76,1.2590522158939872
144,5556.255,6806.828,1156.639,0.654,0.76,0.855794962021224
145,4913.4,6713.0,1005.0,0.153,0.76,0.24313403183487942
146,5566.688,6787.367,1089.0,0.114,0.76,0.19414444947081236
147,6486.056,8346.481,736.0,0.106,0.76,0.17956187871620913
148,5015.0,6729.0,989.0,1.043,0.75,1.0093874033765395
149,4380.674,6388.949,890.0,0.976,0.75,0.9145482868936146
150,5730.094,6776.153,1121.78,0.867,0.75,0.8945100893104891
151,4717.746,6243.939,1077.0,0.754,0.75,0.7378573533739157
152,5337.0,6603.0,1121.0,0.302,0.75,0.4494269596273852
153,3706.803,6092.985,573.0,0.35,0.75,0.4269854170561297
154,5674.576,3343.853,1130.0,0.256,0.75,0.41449695151923627
155,9739.973,6295.477,1498.0,0.188,0.75,0.3711151029684396
156,4918.0,6713.0,1005.0,0.21,0.75,0.34290651513324333
157,7409.0,7319.0,1289.0,0.147,0.75,0.3209865858312752
158,6421.0,7821.0,915.0,1.254,0.74,1.0446795422070676
