Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
88,3475.379,6987.782,95.0,0.0025,0,0,0.0,0,0.018354428203705597,0,0.0,0,0.0,2.5530502235532717
89,10811.044,7179.966,1360.29,0.0025,0,0,0.0,0,0.03352678249534211,0,0.0,0,0.0,2.540683100714594
90,6565.277,7703.711,967.0,0.032,0,0,0.4,0,0.13800768855788656,0,0.0,0,0.04,2.527059901233513
91,4307.072,7605.748,277.55,0.0025,0,0,0.0,0,0.04869828702067948,0,0.0,0,0.01,2.5240201924342966
92,7559.0,7715.0,1108.0,0.0025,0,1,0.6,0,0.1859913707210573,0,0.0,0,0.01,2.5240201924342966
93,10817.573,6198.023,1468.48,0.026,0,0,0.4,0,0.1435440011108978,0,0.0,0,0.07,2.509366191921441
94,3197.0,6043.0,249.0,0.007,0,0,0.2,0,0.06052612714288066,0,0.07142857142857142,0,0.05,2.5000505991783126
95,9424.0,6328.0,1512.0,0.007,0,0,0.2,0,0.12090690191272467,0,0.06719367588932806,0,0.03,2.4945834920673193
96,7085.0,5361.0,1307.0,0.026,0,0,0.0,0,0.07008570715742286,0,0.06719367588932806,0,0.08,2.467810370907944
97,4753.44,7963.0,290.0,0.0025,0,0,0.0,0,0.09948071403473184,0,0.0,0,0.0,2.451924893087211
98,4524.35,7815.5,320.0,0.014,0,0,0.0,0,0.20885211431139197,0,0.06719367588932806,0,0.02,2.451924893087211
99,4420.576,7520.641,382.0,0.0025,0,0,0.0,0,0.09843866977870783,0,0.02702702702702703,0,0.04,2.451924893087211
100,4463.0,7642.0,388.0,0.0025,0,0,0.0,0,0.0845453540478086,0,0.0,0,0.0,2.451924893087211
101,4751.85,7963.31,290.0,0.0025,0,0,0.0,0,0.09292630817091604,0,0.0,0,0.0,2.451924893087211
