Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba
146,5635.487,3346.942,1112.64,0.204,1,0,0.4,1,0.876742045379171,1,1.0
147,5674.576,3343.853,1130.0,0.256,1,1,1.0,1,0.9982179369343852,1,1.0
148,11989.433,9247.174,1307.57,0.0025,0,0,0.0,0,0.0010222887788258685,1,1.0
149,6463.948,7037.448,1206.0,0.401,1,0,0.2,0,0.4245979630938453,1,0.8947368421052632
150,4912.65,6713.0,1005.0,3.082,1,0,0.4,1,0.6532764316044961,1,0.8947368421052632
151,6174.443,7369.29,1034.5,0.449,1,0,0.4,0,0.4500728154846643,1,0.8947368421052632
152,6528.818,7820.133,941.609,6.185,1,0,0.2,0,0.07062806216565781,1,0.8947368421052632
153,4928.0,6654.0,1038.0,1.317,1,1,0.6,1,0.5567926947066762,1,0.8947368421052632
154,4916.8,6713.0,1005.0,5.153,1,0,0.4,1,0.5927316136151075,1,0.8947368421052632
155,4922.1,6645.0,1051.0,4.788,1,1,1.0,0,0.4043158547272894,1,0.8947368421052632
156,5556.255,6806.828,1156.639,0.654,1,1,0.6,0,0.3514200038570631,1,0.8947368421052632
157,6494.297,6741.99,1352.149,0.188,1,0,0.2,0,0.47303990589784256,1,0.8947368421052632
158,6526.955,7843.95,941.609,6.736,1,0,0.2,0,0.19995570101916826,1,0.8947368421052632
159,5668.96,6628.041,1284.399,0.216,1,0,0.4,0,0.386362210329624,1,0.8947368421052632
160,6529.013,7791.281,941.609,13.986,1,1,0.8,0,0.30557810266438173,1,0.8947368421052632
161,6164.058,7410.504,1055.819,0.2,1,0,0.4,0,0.3286324285718311,1,0.8947368421052632
162,4930.0,6656.0,1036.0,1.738,1,1,1.0,1,0.807615501390425,1,0.8947368421052632
163,6534.289,7776.823,941.609,4.41,1,1,0.6,0,0.21296416655736733,1,0.8947368421052632
164,5983.0,7749.0,759.0,0.099,0,0,0.0,0,0.2141529676622563,1,0.8947368421052632
165,7338.0,6556.0,1276.0,0.203,1,0,0.4,0,0.21621289842797062,1,0.8947368421052632
166,5149.893,7419.615,659.0,0.923,1,1,0.8,0,0.3062954583330091,1,0.8947368421052632
167,5204.905,7350.857,707.0,0.156,1,0,0.4,0,0.2880813061661314,1,0.8947368421052632
168,6468.0,8267.0,717.0,0.053,0,0,0.0,0,0.3128987030901661,1,0.8947368421052632
169,7389.0,7344.0,1285.0,0.086,0,0,0.0,0,0.4202215238513959,1,0.8947368421052632
170,6417.0,7865.0,889.0,5.287,1,0,0.4,0,0.2360651221393247,1,0.8947368421052632
171,7409.0,7319.0,1289.0,0.147,1,0,0.2,0,0.10251816484727219,1,0.8947368421052632
172,7353.587,7342.322,1299.0,0.998,1,1,0.6,0,0.2813230356053745,1,0.8947368421052632
173,6500.656,7831.902,931.0,22.424,1,1,0.6,0,0.4366102653020717,1,0.8947368421052632
174,6530.685,7774.565,968.0,4.934,1,1,0.8,0,0.16537504067576939,1,0.8947368421052632
175,7449.0,7200.0,1290.0,0.364,1,0,0.2,0,0.25618661464233167,1,0.8947368421052632
176,7354.327,7341.923,1299.0,0.2,1,0,0.2,0,0.17800204645905687,1,0.8947368421052632
177,7362.0,7374.0,1272.0,0.086,0,0,0.0,0,0.22162866834108624,1,0.8947368421052632
178,7474.034,7385.265,1266.0,0.167,1,1,0.6,0,0.48100995601087143,1,0.8947368421052632
179,7354.737,7341.691,1299.0,0.084,0,0,0.2,0,0.2503517820510427,1,0.8947368421052632
180,6531.783,7789.934,965.0,13.727,1,1,0.6,0,0.28054275490154607,1,0.8947368421052632
181,4749.609,6228.706,1102.0,0.351,1,1,0.8,1,0.7827303215773903,1,0.8947368421052632
182,6171.418,7391.818,1024.0,0.193,1,1,0.8,0,0.25015570857436753,1,0.8947368421052632
183,6197.795,7319.488,1070.0,0.023,0,0,0.2,0,0.1874436017590104,1,0.8947368421052632
184,6411.0,7961.0,850.0,6.157,1,1,0.8,0,0.21920759292685033,1,0.8947368421052632
185,6507.0,7857.0,911.0,2.643,1,1,0.8,0,0.14513504164218155,1,0.8947368421052632
186,7356.0,7344.0,1276.0,2.868,1,0,0.4,0,0.2035602968163872,1,0.8947368421052632
187,6419.0,7850.0,899.0,11.494,1,1,0.8,0,0.42819266547110363,1,0.8947368421052632
188,5716.123,7160.875,1038.02,0.438,1,0,0.4,0,0.3638676416997672,1,0.8947368421052632
189,4917.354,6722.226,1021.0,6.466,1,0,0.4,1,0.5445404554428339,1,0.8947368421052632
190,4916.943,6722.159,1021.0,0.434,1,0,0.2,1,0.6040099397571328,1,0.8947368421052632
191,7777.02,5872.0,1369.029,0.0025,0,0,0.4,0,0.07987695646416902,1,0.8888888888888888
192,6566.274,7175.239,1134.0,0.63,1,1,0.6,0,0.24647340762199127,1,0.8888888888888888
193,6516.94,7262.883,1102.0,0.828,1,0,0.4,0,0.2826563005682894,1,0.8888888888888888
194,4916.0,6713.0,1005.0,0.471,1,0,0.4,0,0.026301304913980705,1,0.8888888888888888
195,4918.0,6713.0,1005.0,0.21,1,0,0.4,0,0.042532271609804426,1,0.8888888888888888
196,6504.192,7831.845,933.0,0.771,1,0,0.4,0,0.16721212808927582,1,0.8888888888888888
