East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au
10795.355,5751.462,1533.93,0.014,0.793,4.11,225.86,10.84,0.68,0.7,0.08,0.05,8.27,5.99,15.26,6.57,146.62,10.14,11.16,0.19,1.05,0.14,4.53,0.03,69.48,5.14,0.01,2.79,6.89,1156.47,5.95,14.5,0.001,0.02,64.12,7.5,0.5,1.12,6.57,0.2,0.567,2.39,0.22,0.51,0.73,96.03,1.65,8.58,55.19,28.65,0
10785.805,5765.804,1558.0,0.019,1.316,3.03,68.24,27.29,0.47,0.33,0.06,0.01,5.82,7.75,15.12,4.83,57.06,6.76,8.08,0.14,1.26,0.25,2.74,0.04,129.39,1.81,0.01,2.56,1.83,450.25,3.58,23.37,0.001,0.01,43.6,5.48,0.5,1.15,8.15,0.15,0.471,1.6,0.19,0.41,0.52,52.7,1.92,5.27,14.65,42.41,0
10822.434,5812.74,1528.48,0.009,0.557,10.93,144.8,111.62,1.22,0.27,0.61,9.55,45.07,18.68,41.77,14.16,30.05,8.34,23.2,0.22,2.48,0.96,24.58,0.28,5047.44,1.66,0.04,7.45,18.98,1296.69,14.09,70.79,0.002,0.03,12.39,20.28,0.5,2.35,25.82,0.47,0.025,4.71,0.5,1.13,1.3,185.17,3.86,28.24,1102.43,97.25,0
10822.434,5814.74,1528.48,0.0025,0.081,6.01,12.71,21.41,0.88,0.49,8.08,2.27,24.29,6.98,20.36,3.58,6.91,6.28,16.2,0.19,1.64,0.2,11.54,3.61,6084.73,1.33,0.04,4.14,8.04,780.17,6.2,14.57,0.002,0.2,14.03,12.31,0.5,1.9,212.92,0.24,0.025,2.84,0.3,0.22,1.04,92.4,0.87,10.71,315.1,54.55,0
10820.694,5822.978,1528.93,0.054,3.962,0.21,48.13,5.0,0.18,1.77,0.3,16.58,1.67,21.39,9.77,0.16,137.65,9.88,1.41,0.22,0.1,0.01,0.79,0.19,596.01,6.23,0.01,0.2,2.3,504.16,12.54,0.58,0.001,0.21,2.96,0.51,4.26,0.1,2.24,0.025,0.308,0.12,0.01,0.01,0.29,41.11,0.1,1.76,8378.15,3.75,0
10890.816,5852.129,1531.8,0.0025,0.612,8.86,15.86,75.87,1.12,0.21,4.42,0.29,32.13,17.63,19.29,17.31,48.19,3.85,16.15,0.06,1.46,0.55,16.41,1.11,1237.85,2.06,0.34,6.68,9.89,794.15,11.97,23.77,0.001,0.4,5.88,16.36,0.5,1.34,119.17,0.39,0.05,3.88,0.51,0.49,1.32,139.19,1.01,16.17,127.68,60.08,0
10888.49,5866.683,1530.07,0.02,5.593,2.54,7.27,21.51,0.39,1.4,1.97,15.59,12.42,36.15,13.79,0.67,416.29,6.99,8.24,0.14,0.79,0.02,6.53,0.5,1225.37,5.1,0.01,2.16,3.6,332.26,148.95,1.54,0.001,0.04,13.39,6.2,1.03,1.29,73.75,0.15,0.461,1.91,0.15,0.1,0.72,61.51,0.79,7.8,1333.32,25.13,0
10961.628,5933.863,1531.18,0.01,1.358,4.79,37.17,27.11,0.63,0.33,1.07,1.2,17.34,54.13,20.9,4.57,187.36,8.81,15.03,0.18,1.18,0.32,9.96,2.16,2043.47,0.98,0.01,2.91,11.66,509.17,14.04,24.27,0.001,0.04,12.24,8.41,0.5,0.95,33.21,0.2,0.057,2.18,0.21,0.25,0.69,102.51,1.33,8.71,209.46,57.67,0
10730.866,5868.33,1497.0,0.0025,0.644,2.91,14.91,52.32,0.38,0.34,0.94,1.32,12.65,11.95,25.44,2.12,41.52,3.91,8.24,0.06,0.82,0.35,5.56,1.45,1503.5,0.76,0.02,2.09,7.68,342.5,46.2,17.25,0.001,0.17,25.44,6.14,0.5,0.64,26.66,0.15,0.025,1.47,0.17,0.18,0.4,74.1,1.54,5.87,217.27,23.07,0
10728.797,5871.829,1491.0,0.0025,0.419,9.12,12.68,695.44,1.13,0.06,5.17,0.22,46.61,17.87,36.45,2.96,28.18,5.11,17.86,0.15,2.13,0.9,18.6,1.52,2009.97,0.41,1.69,7.34,17.86,1038.69,9.88,33.29,0.001,0.09,3.77,18.56,0.5,1.07,427.6,0.49,0.025,4.53,0.51,0.32,1.19,141.71,0.93,19.86,78.8,77.65,0
10791.762,5947.719,1493.0,0.0025,0.12,7.87,19.36,608.55,0.92,0.18,3.29,2.68,30.19,16.83,34.75,2.8,8.53,5.1,19.07,0.08,1.28,1.36,14.94,1.58,1808.81,0.43,1.28,6.27,13.27,966.71,11.98,51.97,0.001,0.04,6.32,17.56,0.5,1.01,227.76,0.38,0.025,2.9,0.48,0.61,0.66,151.25,1.28,14.46,341.72,36.77,0
10809.965,5979.418,1512.0,0.0025,0.296,1.84,2.85,108.66,0.32,0.37,1.52,0.61,8.13,5.15,24.68,3.97,5.41,2.27,5.4,0.025,0.36,0.23,4.6,1.11,1071.09,0.26,0.04,1.23,4.59,209.05,39.27,17.53,0.001,0.01,18.85,3.9,0.5,0.51,35.26,0.08,0.025,0.76,0.09,0.15,0.29,30.11,0.18,4.67,123.02,12.0,0
10797.556,5978.833,1509.0,0.0025,0.24,4.06,4.12,90.9,0.57,0.09,1.89,0.53,19.66,10.59,24.31,5.71,5.23,2.88,8.66,0.05,0.82,0.64,9.46,1.62,1438.27,0.33,0.33,2.97,6.93,482.23,97.52,50.52,0.001,0.01,32.34,8.48,0.5,0.75,51.51,0.19,0.025,1.96,0.22,0.31,0.49,63.54,1.07,8.94,138.89,23.45,0
10827.774,5969.127,1502.0,0.0025,0.254,5.48,16.62,574.53,0.61,0.06,1.19,0.22,23.04,16.71,43.74,12.98,25.05,3.58,11.2,0.06,1.18,1.2,10.85,0.75,774.85,0.39,0.96,3.97,9.5,566.4,13.67,57.06,0.001,0.12,18.64,9.6,0.5,1.74,79.43,0.26,0.025,2.39,0.29,0.5,0.65,77.76,0.5,8.62,50.63,73.5,0
10828.719,5975.07,1500.0,0.0025,0.153,3.75,11.63,178.93,0.49,0.07,0.79,0.27,14.91,12.98,32.18,6.1,9.55,3.43,9.22,0.05,0.84,0.79,7.62,0.66,952.97,0.27,0.54,2.66,7.21,434.7,7.09,41.8,0.001,0.05,24.64,8.55,0.5,1.09,43.25,0.17,0.025,1.55,0.21,0.34,0.42,65.15,0.43,5.91,53.84,48.22,0
10847.687,5985.819,1505.0,0.0025,0.215,4.74,12.54,208.33,0.42,0.24,3.5,0.89,22.58,7.64,28.17,1.46,13.45,4.41,11.81,0.11,1.64,0.5,11.81,1.37,1614.54,0.23,0.3,3.78,7.44,408.0,58.98,23.35,0.001,0.01,21.1,10.92,0.5,0.79,164.16,0.25,0.025,2.65,0.29,0.26,0.71,76.76,0.73,9.51,184.01,62.85,0
10896.122,5998.548,1514.0,0.0025,0.12,5.76,16.71,83.04,0.48,0.19,3.54,0.35,24.44,12.5,25.81,1.44,7.93,5.75,14.82,0.14,1.3,0.45,10.41,2.85,2103.32,0.36,0.14,4.42,10.16,426.7,52.42,22.03,0.001,0.02,11.08,10.98,0.5,0.97,148.48,0.27,0.025,3.1,0.32,0.29,0.77,105.17,0.91,8.28,152.2,35.31,0
10924.817,6010.615,1523.0,0.0025,0.381,3.14,13.74,69.75,0.35,0.22,1.63,0.26,14.86,12.67,18.0,3.92,34.38,3.94,10.27,0.1,0.66,0.21,7.7,1.88,1296.29,0.7,0.12,1.78,7.8,310.38,12.64,14.45,0.001,0.02,18.07,5.19,0.5,0.61,74.02,0.11,0.025,1.12,0.13,0.16,0.47,64.12,0.58,5.99,102.08,32.04,0
10942.979,6014.762,1528.0,0.017,1.697,2.69,42.78,18.5,0.28,0.52,0.94,0.18,7.03,34.21,11.36,2.54,128.74,5.91,9.62,0.1,0.3,0.04,3.3,1.59,1038.31,11.17,0.02,0.63,6.83,173.27,43.77,3.42,0.001,0.1,22.16,2.65,0.5,0.49,29.54,0.025,0.107,0.36,0.04,0.06,0.19,41.44,0.1,2.55,101.19,6.74,0
10960.114,6020.15,1530.0,0.007,2.62,5.36,38.23,169.71,0.61,0.27,2.76,0.46,19.22,34.37,26.38,6.69,210.12,5.17,12.78,0.11,1.33,0.41,8.46,1.1,1066.32,1.98,0.04,4.3,9.86,348.1,57.02,25.68,0.001,0.02,28.38,8.95,0.5,1.08,101.73,0.26,0.05,2.49,0.3,0.29,1.09,84.76,0.75,9.12,104.92,49.54,0
11028.813,6041.332,1544.0,0.0025,0.169,3.26,10.08,45.64,0.59,0.06,1.96,0.38,12.0,7.39,17.12,1.36,8.25,4.19,8.32,0.09,0.73,0.18,6.46,1.54,1640.19,0.28,0.08,2.63,5.53,361.41,48.9,10.26,0.001,0.01,16.33,5.64,0.5,0.64,77.74,0.16,0.025,1.48,0.17,0.15,0.65,57.99,0.8,7.33,120.22,22.73,0
10875.946,6040.388,1480.46,0.0025,0.912,4.88,22.81,101.49,0.65,0.05,2.74,0.46,18.89,22.4,24.67,1.2,49.54,5.72,12.89,0.12,1.08,0.31,10.24,2.25,2499.53,0.89,0.05,3.14,10.67,458.33,68.8,18.16,0.001,0.03,9.27,8.44,0.5,0.72,117.1,0.21,0.025,2.03,0.23,0.23,0.69,88.5,0.88,10.39,170.26,17.4,0
10811.606,6137.087,1467.77,0.007,0.519,2.37,20.78,51.22,0.37,0.05,2.42,0.06,7.81,5.87,23.63,4.44,8.26,2.82,6.12,0.05,0.57,0.35,3.54,1.11,1059.2,1.24,0.11,1.27,5.33,229.11,4.95,30.06,0.001,0.21,22.71,4.32,0.5,0.51,49.71,0.11,0.025,0.97,0.11,0.27,0.29,42.17,0.37,4.55,38.07,19.88,0
10798.596,6155.73,1473.0,0.005,0.829,5.06,18.91,110.13,0.58,0.05,5.98,0.16,19.35,14.93,26.9,9.49,21.07,5.37,9.92,0.13,1.52,1.16,10.39,1.27,1400.5,3.89,0.81,3.54,11.13,558.17,12.57,65.74,0.001,1.85,13.28,8.91,0.5,1.46,142.26,0.24,0.025,2.26,0.24,0.61,0.86,86.42,0.65,8.78,58.78,59.1,0
10817.573,6198.023,1468.48,0.026,7.456,1.27,83.13,148.88,0.24,0.05,1.21,0.96,4.94,6.81,17.51,1.72,27.35,2.45,3.7,0.06,0.33,0.23,2.04,0.65,425.71,1.48,0.2,0.62,4.29,153.52,42.97,11.12,0.001,0.33,26.77,2.52,0.5,0.84,44.93,0.025,0.025,0.41,0.05,0.16,0.3,30.04,0.1,2.61,194.36,12.29,0
10865.939,6284.559,1508.86,0.006,0.254,1.76,16.78,32.17,0.21,0.05,20.24,0.28,9.99,9.46,12.01,2.35,33.94,4.59,5.08,0.13,0.38,0.21,5.25,1.06,3510.07,14.0,0.3,1.08,6.56,171.37,15.73,13.75,0.001,1.68,8.72,3.9,1.04,0.84,319.73,0.06,0.025,0.76,0.07,0.46,0.36,29.68,0.37,4.94,40.9,16.33,0
10975.592,6390.034,1497.3,0.0025,0.063,1.66,8.2,92.08,0.36,0.05,1.55,0.14,9.45,5.02,19.42,2.9,9.73,2.5,4.34,0.06,0.46,0.25,5.5,0.77,1536.32,1.06,0.22,1.09,3.81,201.42,5.36,10.85,0.001,0.05,20.01,3.58,0.5,0.29,81.76,0.06,0.025,0.77,0.06,0.12,0.19,36.06,0.18,6.02,26.98,15.94,0
10791.388,6067.744,1466.0,0.0025,0.049,2.93,13.5,81.23,0.46,0.005,4.71,0.05,11.98,5.86,18.75,6.87,5.23,2.91,7.25,0.06,0.83,0.52,6.05,1.55,823.72,0.26,0.09,2.27,5.09,344.0,2.73,32.89,0.001,0.03,32.23,4.85,0.5,0.45,72.48,0.13,0.025,1.28,0.18,0.31,0.41,57.46,0.74,4.94,42.64,41.42,0
10782.41,6115.233,1459.0,0.007,0.13,3.43,15.4,62.34,0.45,0.05,2.17,0.12,15.29,8.49,20.29,4.24,9.48,2.53,8.7,0.07,0.85,0.28,8.91,0.5,1378.47,1.94,0.03,2.06,7.5,321.51,4.92,17.86,0.001,0.05,5.16,6.07,0.5,0.46,38.62,0.15,0.025,1.46,0.15,0.22,0.44,70.19,0.62,10.27,82.99,28.57,0
10766.031,6153.87,1460.0,0.006,0.379,0.9,25.68,29.51,0.19,0.05,9.71,0.12,6.53,3.79,15.31,2.47,9.02,2.97,2.71,0.06,0.21,0.08,3.39,0.54,1726.62,2.14,0.06,0.41,2.47,63.06,6.81,6.5,0.001,0.7,24.96,1.97,0.5,0.2,158.04,0.025,0.025,0.28,0.03,0.12,0.1,17.13,0.1,3.61,19.98,6.19,0
10760.0,6173.0,1454.0,0.009,0.995,4.16,20.01,81.05,0.54,0.05,1.3,0.16,18.97,10.39,28.51,9.04,21.22,9.34,9.9,0.16,1.3,0.8,8.75,1.33,872.59,3.48,1.08,2.97,9.86,453.98,15.44,49.5,0.001,5.46,15.5,8.66,0.5,0.99,124.3,0.24,0.025,1.97,0.25,0.68,0.57,84.17,0.5,9.23,47.97,52.1,0
10779.0,6287.0,1453.0,0.005,0.075,2.1,14.85,61.79,0.29,0.05,0.52,0.26,15.3,9.45,15.84,1.49,8.34,4.01,6.59,0.07,0.38,0.1,6.57,1.73,2097.94,1.28,0.24,0.88,7.24,203.77,5.67,4.64,0.001,0.12,7.85,3.65,0.5,0.42,47.63,0.06,0.025,0.61,0.07,0.24,0.29,58.15,0.19,9.16,53.55,14.92,0
10920.0,6418.0,1487.0,0.0025,0.088,2.22,5.44,77.6,0.37,0.05,0.16,0.07,9.14,4.44,20.32,3.22,16.54,3.37,6.79,0.06,0.52,0.15,4.33,2.0,624.12,2.77,0.28,1.08,4.82,184.6,5.08,9.96,0.001,0.03,36.12,3.77,0.5,0.29,38.79,0.07,0.025,0.76,0.08,0.1,0.27,46.43,0.2,4.59,36.5,16.48,0
10718.315,6190.842,1442.0,0.0025,0.098,3.14,5.58,65.01,0.37,0.05,4.47,0.13,13.39,7.06,24.01,3.85,13.51,3.36,7.83,0.07,0.86,0.44,6.4,1.13,1556.16,0.74,0.7,2.08,5.6,355.12,5.65,30.36,0.001,0.55,4.87,5.56,0.5,0.36,142.53,0.15,0.025,1.19,0.15,0.24,0.54,56.33,0.63,6.43,42.76,61.43,0
10713.582,6204.9,1445.0,0.009,0.916,5.17,30.56,64.88,0.49,0.05,0.21,0.19,17.1,11.22,33.13,5.05,24.96,8.04,10.62,0.15,1.75,0.54,7.22,1.9,1072.46,9.01,1.31,3.58,9.35,599.66,26.08,35.38,0.001,3.36,3.65,9.67,0.5,0.73,53.75,0.26,0.025,2.19,0.25,0.52,0.82,79.9,0.47,8.43,46.37,71.72,0
10716.626,6355.484,1437.0,0.0025,0.137,3.03,11.45,206.86,0.51,0.05,0.46,0.1,11.99,8.93,25.19,1.77,11.13,3.28,6.89,0.07,0.91,0.49,6.24,1.37,683.45,2.16,0.79,1.75,5.98,299.53,10.81,20.04,0.001,0.03,8.55,5.58,0.5,0.56,100.46,0.12,0.025,1.4,0.15,0.14,0.36,64.22,0.18,5.79,47.05,30.93,0
10726.726,6353.396,1422.0,0.0025,0.01,9.52,3.74,468.45,1.23,0.05,4.45,0.12,29.99,18.54,37.67,2.47,27.99,4.46,22.21,0.12,3.1,1.35,12.42,1.82,781.59,0.86,2.65,6.93,13.84,910.64,7.12,30.01,0.001,0.03,1.11,14.59,0.5,1.15,449.75,0.47,0.025,3.27,0.48,0.23,1.02,163.98,0.47,13.51,83.13,118.92,0
10810.606,6402.749,1447.88,0.0025,0.033,1.83,8.8,97.64,0.4,0.05,0.8,0.08,9.06,4.29,22.69,1.99,7.64,2.76,5.14,0.07,0.43,0.2,4.09,1.0,861.98,1.1,0.24,0.91,4.01,142.68,4.99,10.13,0.001,0.05,6.79,3.02,0.5,0.27,52.34,0.08,0.025,0.61,0.06,0.13,0.19,40.47,0.1,4.13,47.25,13.86,0
10893.451,6468.323,1430.0,0.005,0.028,0.93,12.9,18.45,0.4,0.05,0.18,0.05,4.15,1.96,20.04,2.58,5.49,1.59,2.8,0.07,0.1,0.06,2.18,0.5,757.79,0.54,0.06,0.32,1.84,64.9,4.07,6.03,0.001,0.05,39.45,1.09,0.5,0.2,19.4,0.025,0.025,0.17,0.01,0.06,0.1,18.13,0.1,2.98,25.11,3.15,0
10943.0,6540.0,1446.0,0.006,0.018,0.16,0.1,5.0,0.06,0.005,35.07,0.08,15.67,1.9,1.89,0.16,2.59,0.53,1.04,0.025,0.05,0.01,11.08,0.16,8324.64,0.07,0.01,0.1,0.1,20.09,4.3,0.98,0.001,0.03,0.97,1.1,1.08,0.1,387.62,0.025,0.025,0.05,0.0025,0.01,0.05,4.36,0.1,6.72,3.67,0.9,0
10934.55,6544.0,1443.0,0.0025,0.107,3.34,5.49,165.42,0.54,0.05,7.96,0.05,18.29,4.7,18.63,5.94,4.48,2.73,6.52,0.07,1.15,0.8,8.16,1.04,2723.68,0.67,0.39,2.14,3.41,381.89,3.37,52.9,0.001,0.02,35.51,6.63,0.5,0.51,133.45,0.15,0.025,1.49,0.2,0.53,0.5,58.02,0.85,9.73,52.55,46.57,0
10874.845,6988.61,1376.58,0.006,0.02,0.81,7.75,58.0,0.24,1.23,0.17,0.11,33.04,0.66,54.58,1.25,5.61,0.69,1.69,0.05,1.35,0.2,16.94,0.04,118.06,1.46,0.02,7.01,1.25,360.49,17.67,8.58,0.001,0.02,13.59,2.84,1.0,8.06,20.45,0.51,0.186,8.16,0.45,0.13,1.8,33.51,2.28,4.08,9.29,38.07,0
10838.0,6970.0,1379.0,0.0025,0.005,6.42,1.91,458.12,1.95,0.05,1.66,0.11,68.47,1.01,4.39,8.08,4.23,1.22,12.99,0.1,5.16,2.0,32.52,0.15,256.28,0.32,1.2,11.6,0.4,102.19,18.86,128.93,0.001,0.02,2.03,3.1,0.5,2.63,99.0,1.12,0.025,19.38,0.1,0.89,5.38,3.9,1.05,26.86,38.8,146.51,0
10194.0,7588.0,1212.0,0.0025,0.005,5.85,1.82,424.29,1.92,0.05,0.92,0.14,62.33,0.79,3.21,12.23,3.79,0.82,13.36,0.1,4.11,2.48,36.18,0.19,240.09,0.97,0.65,10.83,0.57,112.42,11.23,157.39,0.001,0.02,8.82,3.04,0.5,2.87,68.04,0.99,0.025,20.68,0.1,0.84,4.8,5.0,2.13,25.96,34.99,145.61,0
10985.236,6465.938,1476.65,0.0025,0.075,0.99,9.61,40.68,0.37,0.05,0.12,0.06,6.02,3.36,19.55,1.8,5.46,1.67,2.57,0.05,0.2,0.13,2.33,0.51,1512.48,2.94,0.12,0.47,2.22,126.88,6.06,5.8,0.001,0.03,20.73,2.06,0.5,0.31,28.49,0.025,0.025,0.45,0.04,0.11,0.2,20.54,0.32,3.18,16.48,7.34,0
11027.012,6514.599,1485.18,0.009,0.162,5.21,18.9,464.63,0.81,0.05,0.32,0.05,19.76,9.79,31.4,6.62,10.81,5.84,10.97,0.11,1.81,1.17,8.99,2.34,1059.51,0.26,0.57,3.39,6.86,514.31,6.69,65.93,0.001,0.02,26.31,9.43,0.5,0.71,90.59,0.24,0.025,2.56,0.26,0.65,0.87,95.98,1.2,11.06,94.33,78.68,0
11060.061,6529.653,1513.0,0.007,0.155,2.64,6.93,36.27,0.37,0.05,22.93,0.11,22.89,8.57,11.62,3.11,14.18,3.72,6.71,0.05,1.07,0.24,14.23,1.59,3886.34,0.84,0.15,1.93,5.15,289.66,8.97,22.36,0.001,0.06,8.72,6.09,1.0,0.43,260.47,0.12,0.025,1.41,0.13,0.26,0.4,45.34,0.58,10.9,50.73,40.48,0
11050.14,6507.386,1496.27,0.026,0.603,8.23,144.53,269.9,1.01,0.05,0.16,0.24,51.37,18.08,40.31,40.73,16.07,4.65,22.01,0.08,2.13,3.2,19.97,0.39,1648.4,1.49,0.04,6.92,13.34,548.8,22.45,243.73,0.001,0.02,22.41,17.55,0.5,2.32,27.54,0.41,0.025,3.43,0.47,2.44,1.0,182.35,2.06,10.3,84.07,73.23,0
11013.126,6555.424,1469.53,0.0025,0.228,7.09,5.98,955.88,1.39,0.22,2.27,0.21,55.36,4.34,6.56,12.4,9.41,2.54,13.56,0.07,3.89,3.03,24.23,0.46,739.97,1.01,2.29,12.98,5.56,404.7,41.5,129.58,0.001,0.02,7.55,5.26,0.5,2.41,144.57,0.82,0.05,12.69,0.17,1.15,3.27,26.42,1.78,20.37,112.11,157.0,0
11008.37,6690.639,1475.0,0.01,0.08,4.37,40.48,394.42,0.47,0.05,14.38,0.08,31.53,7.06,7.82,7.13,15.11,4.38,8.29,0.07,2.44,1.5,15.68,0.28,2521.67,1.07,0.03,5.71,5.37,573.03,4.55,97.96,0.001,0.01,4.11,8.35,1.0,1.2,48.52,0.38,0.025,3.88,0.25,0.99,1.24,61.19,0.45,18.49,32.36,85.78,0
10884.151,6855.847,1420.0,0.0025,0.287,4.05,13.2,344.84,0.91,0.12,0.14,0.24,36.5,7.26,18.65,10.22,10.78,3.85,8.15,0.09,1.35,0.56,19.84,0.91,5070.44,2.63,0.07,2.06,6.58,429.51,11.65,41.25,0.001,0.02,56.2,7.01,0.5,0.68,59.49,0.18,0.025,2.83,0.16,0.46,0.93,71.0,1.06,19.08,68.8,54.46,0
10748.0,7228.556,1345.99,0.0025,0.033,8.32,111.05,259.91,0.16,12.7,0.03,0.06,49.69,0.32,24.94,0.54,20.28,13.47,8.62,0.25,1.38,0.1,26.14,0.01,31.0,2.13,0.09,4.48,0.2,2698.29,162.14,2.51,0.001,0.22,5.85,7.39,9.67,7.13,353.57,0.37,3.754,7.89,0.27,0.74,1.22,102.6,0.5,3.99,28.34,39.98,0
10811.044,7179.966,1360.29,0.0025,0.005,0.39,10.71,19.24,0.19,0.4,0.03,0.05,5.19,0.38,27.64,0.25,3.18,0.44,1.04,0.025,0.58,0.02,2.22,0.02,56.38,0.46,0.01,4.22,0.79,46.35,5.97,1.58,0.001,0.01,3.78,0.72,0.5,6.05,9.94,0.16,0.332,2.02,0.34,0.14,0.85,16.28,0.64,1.88,5.01,38.52,0
10810.244,7179.166,1360.29,0.0025,0.005,0.35,11.74,18.4,0.16,0.24,0.03,0.06,4.23,0.28,34.5,0.23,3.9,0.43,1.02,0.025,0.96,0.02,1.76,0.04,41.7,0.95,0.01,5.0,0.97,65.62,7.99,1.1,0.001,0.01,4.36,0.91,0.5,7.85,6.39,0.22,0.224,2.13,0.36,0.18,0.96,15.66,0.91,2.14,8.92,22.68,0
10792.955,7196.518,1359.29,0.0025,0.027,0.47,17.91,19.09,0.08,0.31,0.06,0.05,5.88,0.4,58.08,0.24,6.7,0.77,1.18,0.025,0.6,0.02,2.0,0.01,67.15,2.12,0.01,4.14,2.06,45.34,7.05,0.82,0.001,0.02,4.04,0.64,0.5,9.41,4.93,0.17,0.383,1.49,0.29,0.09,0.85,14.61,0.81,3.33,9.34,19.95,0
10793.805,7197.368,1359.29,0.0025,0.01,0.77,18.76,31.99,0.15,0.54,0.02,0.05,6.14,0.27,51.51,0.37,7.18,0.67,1.71,0.025,1.1,0.04,3.62,0.03,55.9,1.96,0.02,4.52,1.63,89.7,6.15,1.84,0.001,0.01,5.47,1.27,0.5,8.07,22.36,0.21,0.272,2.23,0.35,0.18,1.24,18.52,1.25,2.7,5.69,54.39,0
10768.307,7215.64,1354.0,0.015,0.031,0.33,10.8,43.84,0.14,1.43,0.03,0.13,24.82,0.42,64.16,0.44,5.21,0.63,0.96,0.025,1.28,0.03,13.12,0.03,59.13,2.43,0.02,5.7,1.26,150.72,63.61,1.54,0.003,0.05,11.9,1.63,5.06,16.84,18.52,0.35,1.172,6.18,0.43,0.14,1.91,52.83,3.04,2.36,8.32,43.44,0
10768.307,7211.44,1354.0,0.0025,0.063,0.78,39.57,59.93,0.31,4.25,0.02,0.01,13.5,1.61,44.4,0.64,7.79,1.46,2.03,0.025,1.92,0.08,8.35,0.02,49.39,2.13,0.06,4.65,1.74,91.17,48.21,2.92,0.001,0.41,10.63,2.73,2.81,8.25,36.66,0.27,1.694,6.06,0.24,1.33,1.17,16.21,0.41,5.53,7.31,80.58,0
10768.307,7210.64,1354.6,0.0025,0.052,2.53,143.99,153.33,0.37,4.73,0.04,0.05,28.75,0.4,18.06,4.42,40.15,11.1,6.45,0.19,1.33,0.29,15.63,0.09,36.82,2.24,0.2,3.01,0.62,1009.73,82.12,15.12,0.001,0.12,6.93,3.77,9.28,2.67,69.98,0.22,4.474,9.2,0.16,1.26,0.8,32.01,0.22,4.94,19.93,61.34,0
10751.655,7228.413,1349.56,0.006,0.01,1.0,38.62,37.12,0.14,1.31,0.01,0.05,3.69,0.38,44.12,0.67,9.67,4.02,2.28,0.025,0.65,0.06,1.61,0.08,59.05,10.47,0.03,1.41,1.21,1722.35,29.99,3.4,0.001,0.04,5.54,1.64,1.0,3.69,16.11,0.06,0.756,2.26,0.11,0.22,0.86,44.88,0.51,1.87,13.36,40.67,0
8188.116,5693.62,1451.0,0.017,0.73,5.91,36.7,540.07,0.97,0.07,0.01,0.05,49.18,0.22,3.09,14.05,4.06,1.17,14.05,0.025,4.35,2.96,25.15,0.22,67.9,3.66,0.04,9.7,0.52,94.49,118.93,165.79,0.001,0.04,5.84,4.15,0.5,2.09,8.41,0.76,0.025,15.67,0.08,1.57,3.44,2.18,0.74,19.56,48.76,145.85,0
8185.938,5699.085,1450.0,0.005,0.155,6.99,18.93,467.23,0.83,0.06,0.01,0.01,52.25,0.18,4.01,9.32,3.34,1.04,13.01,0.025,3.87,2.79,27.51,0.21,67.35,2.55,0.03,9.98,0.54,114.1,6.82,170.5,0.001,0.02,7.28,4.5,0.5,2.3,6.8,0.82,0.025,16.05,0.1,1.78,3.56,1.0,0.99,19.23,14.29,159.32,0
8187.557,5576.832,1467.0,0.0025,0.18,9.41,2.86,1033.97,1.12,0.05,4.39,0.08,29.68,20.83,34.93,11.28,29.72,4.61,20.84,0.07,3.65,1.56,13.96,1.83,964.37,1.34,2.09,8.18,17.32,998.68,10.01,39.08,0.001,0.04,2.89,18.32,0.5,1.16,415.92,0.45,0.025,3.51,0.53,0.65,1.14,170.95,0.93,17.16,95.78,125.19,0
8119.246,5576.896,1491.0,0.0025,0.057,7.2,7.95,1143.11,1.38,0.09,1.36,0.05,59.22,2.83,5.49,12.87,4.68,1.89,12.64,0.05,2.11,3.4,30.39,0.32,566.2,1.28,1.41,8.68,0.86,327.58,18.68,166.27,0.001,0.06,2.37,4.66,0.5,2.12,152.01,0.88,0.025,17.78,0.16,1.68,3.93,21.94,1.36,19.97,44.98,53.84,0
8122.615,5580.841,1490.0,0.0025,0.122,8.18,6.06,661.65,1.57,0.18,4.65,0.06,30.46,20.23,44.12,25.68,23.7,5.17,19.59,0.1,3.2,2.5,15.02,1.35,1147.66,0.71,1.42,7.2,14.2,945.95,10.15,94.06,0.001,0.13,3.07,18.23,0.5,1.19,321.49,0.44,0.025,4.15,0.49,1.04,1.24,161.9,1.61,17.17,79.48,123.93,0
8038.942,5594.018,1485.94,0.007,0.731,3.84,19.22,259.8,0.54,0.05,4.82,0.05,18.27,7.63,22.71,10.02,42.93,2.01,8.77,0.025,1.04,1.17,8.15,0.56,718.95,0.48,0.04,2.45,6.73,349.56,5.2,73.89,0.001,0.09,10.35,6.78,0.5,0.52,58.73,0.19,0.025,1.87,0.19,0.74,0.65,51.42,1.79,7.34,31.5,85.94,0
