,Al_per,Fe_per,Mg_per,Ca_per,Na_per,K_per,Ti_per,P_ppm,S_per,Mn_ppm,Zr_ppm,Nb_ppm,Y_ppm,Th_ppm,Hf_ppm,Ta_ppm,Sc_ppm,Ga_ppm,La_ppm,Ce_ppm,V_ppm,Cr_ppm,Ni_ppm,Co_ppm,U_ppm,As_ppm,Sb_ppm,Tl_ppm,Te_ppm,Se_ppm,Bi_ppm,Ge_ppm,Mo_ppm,W_ppm,Sn_ppm,Cd_ppm,Rb_ppm,Cs_ppm,Sr_ppm,Ba_ppm,Be_ppm,Se_detectado,Te_detectado
Nb_ppm,0.7786385006572538,0.13563211044087412,0.22323854548476468,-0.12619860289765847,0.5581929015644606,0.6010158213159984,0.620910424064675,0.464706237428235,-0.0028984682875015247,0.0023135291018946983,0.6265152374847033,1.0,0.7706748186128358,0.6750923764464569,0.6794398335642029,0.9398676166784595,0.5652493338207306,0.7665282467233989,0.7991498885650679,0.8361044537447493,0.3752613236396536,0.19458387863536672,0.264549729731898,0.04506335624195557,0.585077811165276,-0.013949458271546122,-0.029840121589168007,0.3263451406880816,-0.057175949265343334,-0.038821548569913884,-0.04365271866411593,0.415849564983834,-0.11433097645264075,0.07298919721823725,0.14927447478450617,-0.01573426277433942,0.46347877325957587,0.4113248288272168,0.3220022799775501,0.5025143706430346,0.8142807838157541,-0.014929023032223612,-0.00011426171629062718
Y_ppm,0.7636762651098573,0.19034983243200712,0.2655072594574856,0.04295937587093489,0.64660775038681,0.47645250653493953,0.560996714493005,0.4807440905929846,-0.006800254814535401,0.13723859715884965,0.6387440729021003,0.7706748186128358,1.0,0.6090307953214125,0.6962805448803335,0.7604566525644644,0.619877239906173,0.7522184091759162,0.8099007131310051,0.832983378199344,0.3997544274027017,0.02813999289322592,0.2171856703915875,0.030901599962689073,0.5694192864700754,-0.04958228251578019,-0.054390946248362194,0.21344329424796965,-0.06296212636619479,-0.028551835767311486,-0.04911361147520632,0.48180278406235455,-0.15341431631187116,0.0019888273722905685,0.045917732997972166,0.012939743036942153,0.3334489603268055,0.3628478144698349,0.44156555612379517,0.5032432439647474,0.7548415109042501,-0.03744433021488364,-0.04592199026329328
Th_ppm,0.48973344902871324,-0.07882445401588234,-0.10422047778549062,-0.1962266000174098,0.3801487917917914,0.6435707817393057,0.05177861265995752,-0.011278657307379187,-0.041293183521853995,-0.10074367658702521,0.5048402815043033,0.6750923764464569,0.6090307953214125,1.0,0.6280386109080806,0.8407974252159488,0.09569016369213555,0.462532767076967,0.7825243900137784,0.7639160384347802,-0.12325533067337165,-0.19546583614178323,-0.039268004320547376,-0.009287234817112683,0.9045810101883892,0.012400299247112001,-0.01886877547390018,0.3096185592065422,-0.047628195971193235,-0.029017208226362914,-0.024814923530352914,0.2201997343830116,-0.0789614818036057,0.02969551339145571,0.14178100384189812,-0.019233112589842755,0.5330877594983754,0.23920948574653592,0.0574317609463819,0.44479944711484326,0.7353074174735362,-0.06773717510403532,-0.031309481215877524
Hf_ppm,0.678238301850008,0.0726188645497395,0.1528362370128742,-0.10919192477160164,0.5713852759748308,0.5272927227527092,0.4484006556006117,0.37997564370155235,-0.06518465499739651,-0.02829451942109881,0.9451506207614248,0.6794398335642029,0.6962805448803335,0.6280386109080806,1.0,0.7107876013273297,0.46460742805743044,0.6441883675512791,0.639548908734331,0.6560131542624295,0.290796167889086,-0.0783851367159069,0.06774803441851651,0.010627371435989335,0.6495732104871688,-0.08195110447285905,-0.04409342476034452,0.27192051255778926,-0.07733960118005524,-0.07521500192728267,-0.05957020006318844,0.3120420821239003,-0.11027315751043523,-0.03287974824359784,6.099099187246201e-05,-0.00888737391188171,0.3959812610758202,0.3628690602006525,0.32422598393298774,0.5099101457057589,0.6667946601980738,-0.1213845591786409,-0.16329247088001295
Ta_ppm,0.7366150180923435,0.06206779655489059,0.12468218164274518,-0.1586807142227882,0.5512661548879504,0.6599745033532646,0.4544390519275423,0.3146312591984887,-0.01771708492426122,-0.033491755795662395,0.6179194329706776,0.9398676166784595,0.7604566525644644,0.8407974252159488,0.7107876013273297,1.0,0.4304348865668747,0.7156094853276482,0.8446832168554944,0.8601247566692379,0.21996607941752103,0.057371757581817534,0.16892460216457975,0.024379164405457853,0.7607679591128625,-0.01153973868596673,-0.03467634611966568,0.3418712882352074,-0.06262168897784812,-0.043036862133712606,-0.04158655059655393,0.37093013548751946,-0.11736068378425663,0.0611409560278479,0.15431564723383367,-0.0156061617449519,0.5115875545844438,0.3717435283027076,0.2637629198119746,0.5264287416193095,0.8501763252905699,-0.04274754373243284,-0.023805180733110044
Sc_ppm,0.8190122143000219,0.34337079892004985,0.5072663826660052,0.01854411847715307,0.5742574100060245,0.3216526302121923,0.9214839156356037,0.748246875227654,0.03874803114101314,0.06610503696390164,0.48339280728728246,0.5652493338207306,0.619877239906173,0.09569016369213555,0.46460742805743044,0.4304348865668747,1.0,0.8137013795027856,0.3909803583439773,0.4654571171797793,0.8690808677000761,0.40642288953837347,0.35303402500941417,0.07340696524815654,0.06762412742753063,-0.047437107035898866,-0.044060932635697284,0.23595801660889473,-0.055060918242472126,-0.02609353499966379,-0.04578834429565829,0.46561939851689393,-0.09908805775742201,0.04410160070395602,0.06864060831228096,-0.02638454893126415,0.21663840781150773,0.40210941448322346,0.518088815147244,0.3472559234978053,0.4773071110568939,0.07035112782705745,0.04449190831354669
Ga_ppm,0.9358869792637743,0.3252274713206542,0.37194448792010587,-0.08546767048957901,0.6502762750581391,0.5655462109150241,0.7862362495413223,0.6438831035525482,0.03778049382687692,0.020222595172468022,0.6131664862027993,0.7665282467233989,0.7522184091759162,0.462532767076967,0.6441883675512791,0.7156094853276482,0.8137013795027856,1.0,0.6559685496128433,0.7068811054514623,0.6777398215629903,0.17286769757532258,0.2482062942088031,0.06638115962647234,0.416939589049782,-0.04396510512740099,-0.04866475864224849,0.3383822880936299,-0.03858134095733403,-0.02571747729846124,-0.04039698075453925,0.5132056804378856,-0.08009162086033021,0.06062980384352348,0.1120358113487724,-0.01978326085048218,0.42597837902891456,0.45466294951972114,0.4772524440213754,0.5204813363055528,0.7275178181389411,0.04253508779666748,0.0890965169931768
La_ppm,0.6691388471118273,0.0719359895985323,0.0867151262013458,-0.07607013946571752,0.5090084502831056,0.6166601634503763,0.37188157011287737,0.2836757942496765,-0.015668559537897208,0.048065639990006834,0.5561916921031574,0.7991498885650679,0.8099007131310051,0.7825243900137784,0.639548908734331,0.8446832168554944,0.3909803583439773,0.6559685496128433,1.0,0.9736365405646611,0.16563311175479264,-0.040340416775384615,0.12754485312509956,0.01733470799153783,0.6927553236672682,-0.029768088761502737,-0.014122662874085232,0.32379109082562424,-0.056300212046434706,-0.04062039035596842,-0.041572640389699315,0.39882294914598304,-0.11337158911816204,0.02017890780199026,0.04695567388699204,0.007877349251559038,0.5140408341489338,0.3551347614627005,0.24197580044762632,0.49748756507044456,0.7618980816176969,-0.05791227166386289,-0.016969024758966736
Ce_ppm,0.7216982471322019,0.09733428007452406,0.12971396419405512,-0.0787983004539127,0.5515373330645398,0.628661974929172,0.4457724765762621,0.34196403547634496,-0.004268866070313354,0.05627783268616847,0.5806275978164533,0.8361044537447493,0.832983378199344,0.7639160384347802,0.6560131542624295,0.8601247566692379,0.4654571171797793,0.7068811054514623,0.9736365405646611,1.0,0.23100729775906467,0.0007287888975797301,0.15866339815325053,0.024810373447181847,0.6685503762192488,-0.03178329218735869,-0.03318591283875766,0.32863868338844937,-0.06137258734359688,-0.03872650464317142,-0.0439251428597867,0.428228350939916,-0.12157601243086967,0.02970362177775384,0.05408848377069211,0.005899645287261354,0.5165608805624968,0.38118970291129955,0.2828292126272042,0.5063026802517377,0.7904620970152418,-0.05884874113379587,-0.01470164616595118
V_ppm,0.6637878164182099,0.4291349784278989,0.513843987316037,0.028541052781224246,0.411107196346459,0.1534280939373142,0.872538733954633,0.7429944162493933,0.05362518917162975,0.07134293036479902,0.33731561134276755,0.3752613236396536,0.3997544274027017,-0.12325533067337165,0.290796167889086,0.21996607941752103,0.8690808677000761,0.6777398215629903,0.16563311175479264,0.23100729775906467,1.0,0.44269540546949093,0.35948328325597706,0.07291671549990683,-0.10758459741724442,-0.03848444270419626,0.005118913251097235,0.16588946398780602,-0.026556865952104557,-0.01159939264481802,0.07874244666161544,0.406364928605492,-0.030876015701368546,0.10915610557651181,0.052826049987265894,-0.017376302708291796,0.09162272895158535,0.3482216054306471,0.46246853522244247,0.2026508948588086,0.2565792351393402,0.11726827530130203,0.07668742217728865
Cr_ppm,0.16229542486508086,0.131566023698255,0.251113800445395,-0.13658452959974907,0.044374428464611336,-0.08436093269774687,0.4552002539296332,0.3154631856173975,-0.005280012593189097,0.02508760543292393,-0.04315710352191921,0.19458387863536672,0.02813999289322592,-0.19546583614178323,-0.0783851367159069,0.057371757581817534,0.40642288953837347,0.17286769757532258,-0.040340416775384615,0.0007287888975797301,0.44269540546949093,1.0,0.5269281178148679,0.08410481718142895,-0.21663455622374972,0.012085137509917725,0.028594053043849658,-0.02239867239864759,0.029960639033811503,-0.005095742961636788,0.00926548024501553,0.10483356168497626,-0.02857725339808527,0.08763750915154764,0.11735047952913767,-0.02819351357710839,-0.10296953186914058,0.032230976034460575,0.06913526856312481,-0.05741215433235481,0.010235789362664989,0.08257745076504966,0.07108392053264573
Ni_ppm,0.24276206381410131,0.2607890280790337,0.3272907703272039,0.024239092544784617,0.13816609466513935,-0.0203689551665376,0.3826195734111267,0.3316205846135666,0.07473264098059694,0.15165079386352465,0.08827372631963182,0.264549729731898,0.2171856703915875,-0.039268004320547376,0.06774803441851651,0.16892460216457975,0.35303402500941417,0.2482062942088031,0.12754485312509956,0.15866339815325053,0.35948328325597706,0.5269281178148679,1.0,0.13481657579358042,-0.04804458268830252,-0.007417789922689253,-0.019122870475931877,0.005393061846113212,-0.010148540694648727,0.013247290056497834,-0.016600471756704607,0.20896602715875653,-0.04821336217455102,0.08304181818527068,0.07288893860361469,0.029566678529968533,-0.056595754076695294,0.1018662268570212,0.17305652232752278,0.021817109736396858,0.14824342105813088,0.04782804927339734,0.008869852560947529
Co_ppm,0.042952537909235824,0.16144645139968133,0.046643433875079285,-0.007428241904888798,0.012524952481390754,-0.02891598595147692,0.07105065572974535,0.06365604043535245,0.24286963374522288,0.009417536015649618,0.019858906326711865,0.04506335624195557,0.030901599962689073,-0.009287234817112683,0.010627371435989335,0.024379164405457853,0.07340696524815654,0.06638115962647234,0.01733470799153783,0.024810373447181847,0.07291671549990683,0.08410481718142895,0.13481657579358042,1.0,-0.024545515887923742,0.15004855700108505,0.06307789227706682,-0.013459776235490788,0.15447007605091048,0.12653029781962252,0.03613843018004282,0.07434263666386111,-0.00983793149306054,0.009296157276308647,0.04806891683031432,0.0653522667122794,-0.03241911446316093,0.007792171353418289,0.02335237578641965,-0.010713417581656616,0.02280647807780641,0.08603108547016657,0.05678559241548363
U_ppm,0.43800143471109715,-0.06997452937396129,-0.040269440743302055,-0.12918653375219946,0.3782401140215848,0.5638438772038542,0.026042870783018778,0.028313212506843585,-0.04417022348550491,-0.07613865294693009,0.5284387210980442,0.585077811165276,0.5694192864700754,0.9045810101883892,0.6495732104871688,0.7607679591128625,0.06762412742753063,0.416939589049782,0.6927553236672682,0.6685503762192488,-0.10758459741724442,-0.21663455622374972,-0.04804458268830252,-0.024545515887923742,1.0,0.010480752805592302,0.005714436395207407,0.25836115840061596,-0.04412782986687651,-0.032488423129213885,-0.020436557922376423,0.19841640345023842,-0.07021279924105674,0.027507592765813608,0.09184871166647705,-0.0135545218483267,0.44926195852698314,0.22218778270735753,0.0981891997957119,0.42052283923007394,0.6642531425381893,-0.05905950570388846,-0.04531277160279584
As_ppm,-0.05241468149792524,0.1129497210026201,-0.07456462903839071,-0.07852284419840071,-0.10735027751798842,-0.01571887961047128,-0.06177363360901511,-0.02433232903917069,0.18821999016545216,0.10948979021775607,-0.0902595132952382,-0.013949458271546122,-0.04958228251578019,0.012400299247112001,-0.08195110447285905,-0.01153973868596673,-0.047437107035898866,-0.04396510512740099,-0.029768088761502737,-0.03178329218735869,-0.03848444270419626,0.012085137509917725,-0.007417789922689253,0.15004855700108505,0.010480752805592302,1.0,0.42897839846328756,0.10788016560463275,0.08823112199424199,0.18096317386163643,0.09271500228204929,0.028621821975747266,0.09874235666661109,0.10995962542968922,0.17318102865140467,0.04084114535377244,-0.009879554765832292,-0.02990676353862334,-0.10195272840612267,-0.05469817973366025,-0.011953066491323697,0.17731599212432392,0.14456478974300194
Sb_ppm,-0.05044518465688354,0.03710956310034163,-0.07224880355635419,-0.05551777655398193,-0.1039506546766775,-0.018268974280455486,-0.03699830272084671,-0.04668447653206948,0.09034804683735023,0.1591615100611416,-0.03978855126290336,-0.029840121589168007,-0.054390946248362194,-0.01886877547390018,-0.04409342476034452,-0.03467634611966568,-0.044060932635697284,-0.04866475864224849,-0.014122662874085232,-0.03318591283875766,0.005118913251097235,0.028594053043849658,-0.019122870475931877,0.06307789227706682,0.005714436395207407,0.42897839846328756,1.0,0.19086933934298653,0.046402395841823346,0.07901771870068551,0.04676662903063339,0.03535174512705218,0.08409130708749363,0.07711727354239947,0.06350774785121442,0.04365755892133922,-0.0001940330087158303,0.03783917658732462,-0.0927633622930313,-0.05019051729976361,-0.02321236155799462,0.14113116064016715,0.05513636393635544
Tl_ppm,0.36481796225148766,0.04401403815739592,-0.07849136301097252,-0.2020983276003955,0.017992327363690136,0.6504721889357236,0.2337417122234079,0.18107616982294408,0.09955700919742423,0.10243052946380513,0.2688669916753649,0.3263451406880816,0.21344329424796965,0.3096185592065422,0.27192051255778926,0.3418712882352074,0.23595801660889473,0.3383822880936299,0.32379109082562424,0.32863868338844937,0.16588946398780602,-0.02239867239864759,0.005393061846113212,-0.013459776235490788,0.25836115840061596,0.10788016560463275,0.19086933934298653,1.0,-0.04671311050586286,-0.002381288348879349,-0.043614955045594386,0.16830183903301,0.06356066229907031,0.06581782970310732,0.031155415275494293,0.022347777570753923,0.7096357087882964,0.43416852677602713,-0.11800234082425318,0.3354611874898094,0.33326482408740227,0.07868550979957206,0.06856834545638421
Te_ppm,-0.07802372862479956,0.1339290114503314,-0.05541658593240708,-0.03710359340375529,-0.07379195313229028,-0.07490875731740336,-0.053110357762745974,-0.016651832170155798,0.09424038252955769,-0.031360165283209014,-0.08000662917910899,-0.057175949265343334,-0.06296212636619479,-0.047628195971193235,-0.07733960118005524,-0.06262168897784812,-0.055060918242472126,-0.03858134095733403,-0.056300212046434706,-0.06137258734359688,-0.026556865952104557,0.029960639033811503,-0.010148540694648727,0.15447007605091048,-0.04412782986687651,0.08823112199424199,0.046402395841823346,-0.04671311050586286,1.0,0.11897489438651819,0.5553627805205895,0.018196746594491522,0.13442460595686379,0.12953289701530377,0.07535035913565084,0.019519494980696266,-0.06318034817247642,-0.05321695196887245,-0.06160753171050614,-0.06817741257647919,-0.07896923000213293,0.14937786788144775,0.1587625125859277
Se_ppm,-0.04339272222096945,0.23834060301983515,-0.03312601908855207,-0.03796916846684472,-0.07056608549243994,-0.04892107501891782,-0.03245831814626634,-0.0018613224737394497,0.3393970315333305,-0.007971881547530773,-0.07738693202369823,-0.038821548569913884,-0.028551835767311486,-0.029017208226362914,-0.07521500192728267,-0.043036862133712606,-0.02609353499966379,-0.02571747729846124,-0.04062039035596842,-0.03872650464317142,-0.01159939264481802,-0.005095742961636788,0.013247290056497834,0.12653029781962252,-0.032488423129213885,0.18096317386163643,0.07901771870068551,-0.002381288348879349,0.11897489438651819,1.0,0.07407603098438013,0.19069396501914548,0.05686579113834147,0.08555534215085044,0.1470378859200749,0.3178721601425626,-0.0382220631563334,-0.023993432247386263,-0.054571170216667735,-0.054410243475007225,-0.026325821094063128,0.3105011048175303,0.17390305899425068
