,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
Fe_per,-0.12319450280857205,0.5928132393481373,0.013338742317780136,0.30721531583967776,0.3131427696766615,0.2811425960320701,0.32807330587330974,0.12253949939581704,0.338035694765342,0.7535041200355138,0.3220135087087646,0.28991314884622854,0.5518134202487348,1.0,0.650329189005596,0.5451386778927333,0.36257477121929127,0.17491066581323034,0.31432400130951527,0.6412287000625334,0.4198813198225838,0.07750201390893603,0.4382829299536484,0.4325582885325741,0.6211909482362025,0.7626326125056808,0.07633820336019927,0.06277110831492116,0.13853373858222687,0.3788852503290305,-0.17846553220324102,0.7493462312097453,0.24474077306692074,0.39253418267663887,0.4305641382989534,0.3433158517751879,0.240159390439903,0.25276176073223316,0.7428191772408884,0.15958721430958955,0.24116470123456266,0.7848817982574469,0.3253637316719346,0.47362527124619086,0.5420465936621206,0.3762726425300012
Ga_ppm,-0.40986757999747003,0.932099903454475,-0.2435432759116067,0.6981029653784913,0.7701225573321405,0.2546583350165494,0.34723635592611873,0.057306545769167584,0.7560759582114415,0.5543970606243895,0.1289607573362857,0.5162662432209061,0.22288212808241717,0.650329189005596,1.0,0.6351325205776808,0.7144235752597788,0.6082398547435565,0.7318771022972682,0.5895788452726448,0.3052184860354234,-0.09312761635241859,0.7480553638482536,0.8350679079144823,0.4376524710958904,0.7265658412892214,0.0895271245638155,0.4305137925531036,0.09522009784780675,0.18572599006225668,-0.45083608109889,0.854351063678307,0.03674151584951385,0.6155907933716305,0.616660711881982,0.7977349970849043,0.06700855402520614,0.7114329953912502,0.8085233062527531,0.4594064443119464,0.6509962850084168,0.6835638814535624,0.33715042792763683,0.8050779045187715,0.4874859034924374,0.6792807040298275
Ge_ppm,-0.2733750027872527,0.6099604671612436,-0.18056438248521942,0.46235954833944326,0.5142864098503434,0.23760762966448393,0.318712206849741,0.10102503218586181,0.5653169529475262,0.4594290727852724,0.07437702949872171,0.3235204668061169,0.23557789724076317,0.5451386778927333,0.6351325205776808,1.0,0.46266680665711846,0.35979603307580255,0.5477423368462452,0.4154247813010275,0.26668203009105207,-0.0464258930836462,0.525608640944161,0.5737588367340806,0.3647614263810796,0.5305857398912831,0.06902303288436934,0.2333778741080762,0.10470737429744834,0.23534906167044914,-0.3025849316308841,0.5909001302890856,0.112844121798774,0.42412480646139733,0.49111484089999374,0.5363776628816487,0.0786007484907051,0.45924115327530995,0.548315799361374,0.2778040917735647,0.42977192921866414,0.466421100440334,0.22125990508339125,0.6137121791040602,0.3987773113718168,0.4341199148272389
Hf_ppm,-0.4247360154553329,0.7415757920885364,-0.23080245182176018,0.6972240002120349,0.7347222585867553,0.10752151255733056,0.19337071241641982,0.048189496835698994,0.7523901930360979,0.32904594192902276,-0.0769227348653859,0.5061686760015259,-0.010139454598224332,0.36257477121929127,0.7144235752597788,0.46266680665711846,1.0,0.6347217644430645,0.7448444224851707,0.33813817308098076,0.19517138296217904,-0.09944989957100411,0.6797954983854302,0.8055332723218221,0.1966116504713352,0.5042196884333554,0.13076927578908087,0.48640923107624434,0.030480588877446167,-0.020627770777111556,-0.39121807873640996,0.6104037717248522,-0.12103059302317627,0.5520270448378123,0.4650330619518634,0.8095045032431033,-0.1483733181830846,0.7861212051339249,0.5809872532003003,0.4789974910633119,0.7749798676453991,0.36353759711412986,0.22868180300826263,0.7784643127908127,0.37725522558505103,0.9635732862482577
K_per,-0.18627922910651631,0.6563516418987718,-0.06750871962276764,0.8315697172815018,0.699247447538237,0.1766338959710382,-0.02512565475265237,-0.004221489679884025,0.6880997893974011,0.11332740811106054,-0.1297464945134673,0.6415666811770139,-0.05287338596928636,0.17491066581323034,0.6082398547435565,0.35979603307580255,0.6347217644430645,1.0,0.6835655634795768,0.12358398883507915,-0.018992022285496755,0.028232906863662772,0.5013924730311329,0.679935324568342,0.03699468611692447,0.3304465865368207,0.19975969314197425,0.9201873972632297,0.03236137601704888,0.10795444822446754,-0.2757684305445671,0.4603667445563228,-0.05229052382411562,0.48805707564164685,0.1974328791633339,0.7168902999398502,0.01065040651441498,0.7298978718117726,0.4254235552935863,0.8669352608303216,0.63691957827148,0.22535240827482067,0.42416785592160916,0.5754523972322885,0.2265254714400297,0.6007458556148056
La_ppm,-0.4004136681819496,0.751446789235579,-0.24086759198413926,0.6963366551603711,0.7844145933741863,0.2793205075476609,0.2107609737317993,0.12174244365369506,0.9863782767671012,0.25137754618705854,-0.13128001629430994,0.4974482726956368,-0.0004165926827939854,0.31432400130951527,0.7318771022972682,0.5477423368462452,0.7448444224851707,0.6835655634795768,1.0,0.2860237512620746,0.18937488176769823,-0.12330111337457768,0.673782500162033,0.8520366257830816,0.16271212574869276,0.42667397392297546,0.21160509275221662,0.5662887692428731,0.06894145391695608,0.11321199145989247,-0.4730696724501238,0.5512524476930144,-0.06622253484445569,0.6438441741295566,0.48574745124816776,0.8784300178128602,-0.038123142725235155,0.8756966157619422,0.5065028191430914,0.5115803342905051,0.8040664906062243,0.2542339293001644,0.2862806559199481,0.8657120765109465,0.3741023647231073,0.6926296814918758
Mg_per,-0.3577405973432969,0.6066666824943642,-0.29372273142002087,0.3317698183478301,0.32672660832962674,-0.005410438994928278,0.620344301733237,0.04630427490448392,0.3135316688608264,0.7793367208422634,0.30764487857488576,0.29703981637879073,0.2936097265018099,0.6412287000625334,0.5895788452726448,0.4154247813010275,0.33813817308098076,0.12358398883507915,0.2860237512620746,1.0,0.6149635632591771,-0.28708945282740916,0.5164773299409748,0.41079751205620163,0.7251373771085924,0.7418707107038177,-0.1798571878257324,-0.0010354940250647158,0.08422728614000785,0.17793583413831082,-0.3487706599887452,0.7321700168158124,0.0013399632596010041,0.13771241592376432,0.681868446831629,0.3199913681322391,-0.05845349837770764,0.19081812768631623,0.7318355849253058,0.07336117955374653,0.20991329785373536,0.7627489386457533,0.1574853353530071,0.4833350427028079,0.46550262065787035,0.34939357618455397
Mn_ppm,-0.21278927510678516,0.3098308463216401,-0.2403107974274015,0.13781925792636018,0.15032876740892975,-0.20176595560855035,0.7076477798173029,0.23032211321936785,0.20475844124985682,0.6174927073435907,0.033376217761280684,0.16364000944795978,0.14405945706129647,0.4198813198225838,0.3052184860354234,0.26668203009105207,0.19517138296217904,-0.018992022285496755,0.18937488176769823,0.6149635632591771,1.0,-0.3063468307655595,0.26729913983043085,0.1720899223067607,0.4602775386949038,0.4820762154415584,-0.15673357103591826,-0.07924009230533574,-0.012866166002879072,0.05260508027999836,-0.12512569273464236,0.4371993606399917,-0.07956620394215985,-0.006642840307946482,0.5324604725522368,0.10407530289638753,-0.1975322869646668,-0.0020295231633152035,0.412575906536164,-0.01651641009274884,0.020458127721648095,0.44547110600187334,0.03777179980692604,0.3843249998328672,0.43590311105012586,0.21600500848812296
Mo_ppm,0.43492540038071265,-0.15370957632029159,0.5376745972500064,-0.1041683130896561,-0.14228944045375316,0.26700885441127503,-0.33664020731500255,0.12860823959215392,-0.13298624075234203,-0.15513580592563805,0.02227823119768051,-0.019803374383671492,0.23465688729464124,0.07750201390893603,-0.09312761635241859,-0.0464258930836462,-0.09944989957100411,0.028232906863662772,-0.12330111337457768,-0.28708945282740916,-0.3063468307655595,1.0,-0.24580357875689027,-0.1293634909591718,-0.14813819863009164,-0.11282490935204786,0.4045182010907362,0.09880503015041167,0.20930930668395006,0.34235951672704645,0.33699802673185986,-0.11622390381272882,0.2668314596970042,0.10287329730468076,-0.3562892429344086,-0.1027055541678818,0.3645302255079397,-0.01264952868257243,-0.1356206270557585,0.10886149567826622,-0.01202207583768751,-0.05052877885857681,0.2090916502484887,-0.17647797331691195,-0.03524025493591647,-0.08722829083038597
Na_per,-0.5146011124533063,0.7968894813942603,-0.4644993920137741,0.7155072088128996,0.7172482409428976,0.1001488392467285,0.38113128936573626,0.0188218917953858,0.6966524979873351,0.45195024488730795,0.06145374566835058,0.3473079601640143,0.07409515083693335,0.4382829299536484,0.7480553638482536,0.525608640944161,0.6797954983854302,0.5013924730311329,0.673782500162033,0.5164773299409748,0.26729913983043085,-0.24580357875689027,1.0,0.7295808746170955,0.33167552682897156,0.5693982990761641,0.003947828683132572,0.30108275671381823,0.06106407342864008,0.07925953508579266,-0.5579904330668758,0.6845773180398611,-0.12384405229664507,0.4554258507143738,0.7428237481589869,0.7189734983654382,-0.11938105293529018,0.6342024426684533,0.6276540804169605,0.2931068752541106,0.5894594126095312,0.4638719328594042,0.09382880875823013,0.7564878932514374,0.3996868700278015,0.6356448827888769
