Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
0.064,8.88,5.31,346.41,0.94,0.05,3.84,0.11,32.97,13.89,13.07,9.35,3.06,4.7,19.4,0.11,0.91,1.2,16.39,1.64,952.19,0.1,1.44,6.77,6.84,832.12,13.54,69.49,0.001,0.07,3.29,15.63,0.5,1.18,316.57,0.36,0.025,3.75,0.51,0.68,0.9,141.75,0.93,14.84,80.34,29.98,0,0.0025,5857.7,6231.0,1297.0,0
0.206,5.33,9.77,180.27,0.56,0.1,1.45,0.15,30.49,17.11,16.41,8.42,38.38,3.5,12.09,0.13,1.09,1.18,13.15,0.82,625.99,1.98,0.61,3.15,6.27,507.91,16.93,80.07,0.001,0.25,6.04,12.59,0.5,2.38,89.47,0.2,0.025,2.62,0.23,0.65,0.64,147.38,1.17,21.01,82.45,47.72,0,0.0025,5382.0,6412.0,1267.0,0
0.071,7.8,2.45,894.56,1.32,0.24,1.13,0.05,45.49,1.57,5.53,7.02,3.86,2.16,20.02,0.05,2.2,2.52,24.55,0.38,450.75,0.63,2.2,7.35,0.73,382.92,12.94,116.2,0.001,0.09,0.8,5.06,0.5,2.69,300.14,0.62,0.06,11.35,0.19,0.72,2.18,22.61,0.95,12.25,34.5,58.18,0,0.0025,4808.731,6022.562,1130.0,0
0.759,2.47,18.39,63.96,0.25,1.94,1.98,0.01,15.95,14.83,9.91,2.37,4.26,9.03,12.62,0.16,0.75,0.61,7.67,0.76,700.1,19.67,0.15,2.15,4.5,651.55,8.17,48.66,0.001,6.07,3.64,8.42,6.92,2.11,36.62,0.14,1.515,1.65,0.14,0.42,1.34,130.13,0.61,20.9,17.8,25.31,0,0.033,5110.0,6420.0,1194.0,0
0.125,0.2,26.42,10.34,0.08,0.05,27.77,0.1,1.74,1.91,1.09,0.45,3.08,0.64,0.66,0.025,0.05,0.01,1.3,1.83,4085.56,6.3,0.01,0.11,1.58,437.53,1.42,0.65,0.019,0.06,3.7,0.29,1.08,0.1,332.65,0.025,0.025,0.06,0.01,0.41,1.38,19.85,0.21,0.98,9.23,1.3,0,0.005,10404.521,6048.041,1484.0,0
0.42,3.43,1268.88,347.68,0.7,0.05,0.5,0.34,38.22,3.81,5.83,17.71,14.5,7.92,7.73,0.21,1.88,1.4,20.11,0.16,437.81,12.07,0.04,4.58,1.83,536.7,64.64,76.65,0.001,0.05,166.99,4.75,0.5,0.76,27.32,0.32,0.025,3.95,0.15,1.86,1.52,33.77,1.28,12.86,70.37,71.98,0,0.0025,7388.151,8826.55,672.85,0
0.096,8.46,0.88,610.52,0.71,0.08,0.82,0.13,55.31,12.47,17.56,14.7,5.66,4.25,17.99,0.12,1.28,2.13,30.03,1.39,542.25,0.55,0.24,8.46,10.8,998.2,9.09,132.84,0.001,0.01,1.54,10.08,0.5,1.09,227.28,0.59,0.025,6.75,0.33,1.0,1.43,97.81,0.67,17.61,41.28,47.69,0,0.0025,4458.0,7667.0,364.0,0
19.96,0.56,8.03,51.63,0.25,0.005,0.03,0.05,0.31,0.3,18.33,1.25,2.08,0.29,0.98,0.025,0.05,0.22,0.25,0.02,37.55,0.71,0.02,0.05,0.92,20.67,7.0,15.13,0.001,0.005,15.29,0.1,0.5,0.1,6.66,0.025,0.025,0.05,0.0025,0.11,0.05,7.88,0.05,0.11,20.24,0.76,1,1.181,4674.0,7389.0,549.0,0
0.432,4.08,8.29,652.11,0.45,0.05,4.14,0.2,16.83,7.69,18.32,4.04,26.17,3.19,7.82,0.21,1.05,2.09,8.14,0.95,1016.64,1.07,0.16,2.99,5.92,472.26,3.41,124.62,0.001,0.02,17.4,7.77,0.5,0.29,101.57,0.2,0.025,1.55,0.26,1.64,0.65,61.15,2.18,8.65,69.8,39.65,0,0.028,7516.58,7507.325,1234.0,0
0.068,6.27,1.87,576.41,1.29,0.11,0.09,0.05,42.71,0.56,6.57,5.98,2.45,0.96,10.95,0.05,2.38,2.53,20.74,0.09,238.23,1.75,0.16,5.93,0.82,57.12,10.98,130.3,0.001,0.01,8.57,1.21,0.5,1.78,16.43,0.72,0.025,16.67,0.05,1.36,3.57,3.06,0.41,7.81,25.88,60.95,0,0.0025,6934.998,9138.164,715.3,0
0.076,8.93,1.58,434.98,0.88,0.05,6.27,0.09,22.89,22.06,22.55,3.23,36.63,5.45,21.45,0.15,3.13,0.77,10.5,1.91,778.85,0.84,2.14,6.06,11.19,978.49,7.2,15.32,0.001,0.005,14.67,17.73,0.5,1.04,607.31,0.4,0.025,2.96,0.64,0.31,0.83,168.93,0.41,13.11,86.39,118.0,0,0.005,10336.166,9037.969,1222.0,0
0.053,8.07,1.72,492.08,1.27,0.05,3.33,0.06,32.95,16.78,17.99,9.41,12.6,5.62,16.84,0.11,2.67,1.43,16.06,1.5,891.94,0.26,3.05,6.67,4.57,898.4,6.61,88.88,0.001,0.02,3.13,18.23,0.5,1.6,499.91,0.46,0.025,4.41,0.56,0.77,1.61,148.22,0.79,17.86,86.23,87.77,0,0.0025,12850.0,6553.0,1516.0,0
1.295,6.45,9.95,108.56,1.63,0.21,2.78,0.05,50.01,0.96,4.82,11.96,1.15,1.37,12.14,0.08,1.81,0.5,28.11,0.2,277.85,0.45,1.08,7.1,0.55,64.55,15.01,28.19,0.001,0.01,3.41,2.31,0.5,1.87,393.1,0.76,0.969,16.59,0.05,0.22,5.53,1.01,0.66,16.39,11.99,51.4,0,0.085,5830.0,6386.0,1348.0,0
0.448,8.65,22.58,438.95,1.49,0.22,1.87,0.28,37.85,21.79,21.1,7.13,20.46,5.68,20.09,0.1,2.79,1.73,19.28,1.27,910.11,0.58,3.2,11.01,17.32,1250.05,12.88,60.78,0.001,0.24,2.82,14.46,0.5,1.96,331.99,0.74,0.025,3.84,0.66,0.65,1.27,116.24,1.75,18.53,113.68,75.39,0,0.0025,7755.485,8594.815,823.0,0
1.082,3.94,46.33,227.46,0.21,1.13,0.42,0.05,31.01,83.36,10.21,4.07,78.92,5.99,14.34,0.11,1.74,3.21,19.05,0.17,147.1,0.6,0.13,6.44,2.82,500.11,6.92,288.73,0.001,2.18,5.24,6.38,2.09,2.59,56.77,0.41,1.149,3.65,0.42,2.81,0.81,58.86,7.2,6.3,7.08,151.28,0,0.03,5091.0,6441.0,1176.0,0
0.319,7.17,245.29,699.53,1.19,0.21,2.89,0.6,36.21,11.65,7.82,14.57,11.68,3.86,18.17,0.08,0.71,2.48,16.54,0.99,941.57,1.74,1.92,6.17,3.43,517.58,34.24,102.32,0.001,0.13,11.5,12.05,0.5,1.54,266.88,0.59,0.025,13.53,0.33,1.02,2.63,95.08,1.68,23.02,132.88,16.81,0,0.029,14483.634,9478.922,1422.489,0
2.006,2.98,63.66,217.4,0.54,0.14,3.58,0.17,11.4,4.71,21.45,3.95,7.27,1.69,7.36,0.06,0.7,1.26,5.35,0.33,529.05,1.02,0.2,1.77,3.38,216.42,14.82,59.26,0.001,0.42,10.89,4.14,0.5,0.54,81.16,0.11,0.138,1.42,0.12,0.4,0.42,32.92,1.39,4.73,27.77,26.68,0,0.073,5538.733,6831.542,1068.0,0
0.029,5.85,1.73,360.32,1.41,0.2,1.17,0.27,53.72,0.95,6.39,5.53,2.78,1.23,12.03,0.11,4.32,1.43,29.76,0.15,341.68,1.26,1.51,9.65,0.67,73.96,16.54,64.3,0.001,0.005,3.34,3.18,0.5,3.13,253.9,1.04,0.025,18.44,0.08,0.51,5.1,1.02,1.58,26.75,33.66,134.24,0,0.0025,10081.898,7779.689,1124.1,0
1.064,7.41,25.32,781.23,1.5,0.05,1.31,0.35,47.26,1.72,5.33,7.2,5.32,2.06,17.03,0.13,3.93,2.93,23.22,0.19,552.04,1.18,1.85,9.51,0.38,218.95,32.76,138.43,0.001,0.11,3.26,5.81,0.5,2.45,71.01,0.81,0.025,12.48,0.15,0.99,2.75,5.72,1.35,15.61,68.27,150.16,0,0.007,9509.556,3317.184,1455.289,0
0.322,9.65,30.51,311.05,0.82,0.05,2.72,0.05,27.79,19.65,52.37,5.01,43.58,4.47,19.67,0.05,1.05,1.22,14.1,1.87,559.73,0.18,3.48,6.6,20.8,1097.22,2.71,39.65,0.001,0.14,1.95,13.78,0.5,0.61,224.42,0.42,0.025,2.55,0.53,0.39,0.65,151.88,1.48,9.1,84.64,33.72,0,0.0025,8400.96,5594.5,1351.58,0
0.194,8.95,2.77,530.48,1.08,0.05,3.88,0.06,35.36,14.2,16.84,13.3,29.4,4.71,18.26,0.11,1.37,1.83,15.93,1.75,1089.33,0.25,2.16,7.04,6.46,781.63,8.62,80.39,0.001,0.03,2.89,17.79,0.5,1.49,448.64,0.48,0.025,5.21,0.57,0.96,1.27,142.63,1.03,16.53,93.38,41.94,0,0.0025,5387.0,6442.0,1265.0,0
10.525,1.13,205.39,132.85,0.28,0.95,0.01,0.78,2.74,1.62,20.7,1.33,244.91,2.32,3.81,0.07,0.05,0.6,1.49,0.03,80.74,44.24,0.03,0.88,1.08,113.66,50.79,34.83,0.001,0.03,9.29,0.59,2.09,2.71,8.21,0.09,0.165,2.7,0.02,0.21,0.94,10.74,10.84,0.9,41.69,1.36,0,0.012,5682.075,3747.497,969.12,0
0.616,1.56,2.76,84.01,0.33,0.05,0.88,0.29,6.14,2.53,20.51,2.0,8.66,1.47,3.25,0.025,0.51,0.46,2.95,0.34,572.03,0.47,0.05,0.9,3.17,117.44,4.93,37.79,0.001,0.01,21.96,2.44,0.5,0.22,18.39,0.07,0.05,0.52,0.07,0.35,0.1,22.86,0.54,2.38,37.81,8.65,0,0.0025,6751.775,6472.681,1229.269,0
0.105,9.82,4.36,785.31,0.84,0.08,0.38,0.09,36.75,9.73,32.33,40.11,24.65,5.52,23.62,0.07,0.98,4.84,19.17,1.27,697.19,0.43,0.25,7.13,8.91,710.34,3.55,378.15,0.001,0.16,3.25,20.76,0.5,1.63,55.36,0.44,0.057,4.06,0.59,2.69,1.81,241.09,1.93,12.61,41.73,41.59,0,0.0025,4647.522,6205.076,1053.0,0
0.074,1.07,1.07,148.82,0.29,0.005,0.41,0.26,4.1,4.67,37.29,1.64,12.83,1.35,2.83,0.025,0.19,0.17,1.93,0.39,332.07,0.24,0.03,1.92,9.8,56.44,7.39,7.67,0.001,0.005,1.28,2.82,0.5,0.21,38.94,0.06,0.025,0.33,0.06,0.1,0.2,17.46,0.3,2.62,19.66,13.08,0,0.0025,6361.0,9036.0,564.0,0
0.197,1.31,30.21,49.5,0.26,0.13,0.01,0.18,14.13,2.77,25.08,2.11,8.19,0.98,2.91,0.025,0.19,0.5,6.34,0.06,279.06,1.19,0.01,1.59,3.54,72.97,17.17,26.99,0.001,0.005,3.58,1.41,0.5,1.08,3.4,0.11,0.025,1.88,0.07,0.28,0.28,14.3,1.29,2.49,85.28,4.87,0,0.0025,3311.214,6922.763,20.0,0
0.135,10.42,124.94,633.35,0.9,0.61,0.14,1.76,25.91,2.57,12.29,23.5,46.09,5.38,20.82,0.06,3.84,1.33,16.95,0.8,768.17,0.68,1.88,8.32,0.7,550.86,320.06,52.91,0.001,0.01,28.04,18.33,2.9,1.43,206.38,0.72,0.303,9.08,0.47,1.09,2.47,102.9,0.84,12.42,238.65,125.75,0,0.005,10535.913,9327.418,1321.0,0
0.642,3.57,9.9,362.43,0.55,0.05,0.82,0.17,15.04,3.68,24.71,8.17,36.65,2.12,8.46,0.025,0.77,1.55,8.26,0.48,299.11,57.87,0.31,2.35,4.19,321.36,39.56,98.94,0.001,0.11,16.26,5.92,0.5,0.45,53.2,0.17,0.059,1.87,0.19,1.01,0.5,61.3,2.41,6.64,32.55,31.41,0,0.019,4715.121,6236.843,1077.0,0
0.81,6.7,41.13,184.42,0.54,0.51,3.18,0.11,34.86,50.24,20.43,9.56,412.19,5.73,14.64,0.09,2.39,0.27,17.57,2.11,1020.07,0.72,0.69,5.74,11.1,2622.44,7.55,14.36,0.001,1.31,2.16,14.52,1.98,0.65,115.12,0.33,0.247,4.24,0.41,0.14,1.21,124.69,1.56,15.16,52.02,73.37,0,0.052,4969.0,6374.0,1194.0,0
0.812,0.46,17.35,18.52,0.1,0.26,0.01,0.12,19.44,1.34,22.98,0.3,10.56,0.81,1.13,0.05,0.1,0.12,10.68,0.06,128.78,0.65,0.01,1.37,2.43,96.93,55.67,6.71,0.001,0.01,2.4,0.96,0.5,0.32,2.25,0.08,0.025,0.97,0.06,0.07,0.29,8.76,0.75,2.9,24.07,2.71,1,0.17,4403.0,7712.0,356.0,0
0.215,4.74,12.54,208.33,0.42,0.24,3.5,0.89,22.58,7.64,28.17,1.46,13.45,4.41,11.81,0.11,1.64,0.5,11.81,1.37,1614.54,0.23,0.3,3.78,7.44,408.0,58.98,23.35,0.001,0.01,21.1,10.92,0.5,0.79,164.16,0.25,0.025,2.65,0.29,0.26,0.71,76.76,0.73,9.51,184.01,62.85,0,0.0025,10847.687,5985.819,1505.0,0
1.01,2.97,45.09,166.26,0.53,0.05,0.06,0.05,6.81,2.62,18.97,4.26,2.77,1.28,5.21,0.025,0.7,1.1,3.44,0.22,113.98,2.01,0.03,1.12,4.73,186.87,4.72,77.08,0.001,0.005,32.82,3.2,0.5,0.41,18.79,0.1,0.025,1.03,0.11,0.78,0.3,30.09,0.57,3.15,10.84,29.48,0,0.028,7675.07,7199.327,1275.0,0
0.224,6.43,2.27,590.05,1.36,0.13,2.85,0.12,34.53,7.44,10.15,6.95,10.13,2.59,14.46,0.08,2.51,1.79,18.25,0.62,661.49,0.17,2.67,6.08,4.16,492.92,8.02,83.66,0.001,0.005,0.49,7.88,0.5,1.51,221.72,0.46,0.025,6.45,0.24,0.58,2.21,46.24,0.81,14.63,84.09,88.74,0,0.005,6600.749,6751.646,1352.149,0
0.343,6.23,14.9,160.76,1.39,0.73,3.7,4.46,27.88,5.74,9.58,10.47,6.94,2.58,16.71,0.05,1.29,1.36,13.44,0.26,577.19,1.34,0.93,6.44,5.9,460.64,48.25,47.25,0.001,0.02,6.03,4.08,0.5,2.46,93.93,0.5,0.151,6.23,0.16,0.62,1.64,30.45,0.64,11.35,381.44,39.76,0,0.005,13272.551,7774.733,1386.92,0
0.057,7.2,7.95,1143.11,1.38,0.09,1.36,0.05,59.22,2.83,5.49,12.87,4.68,1.89,12.64,0.05,2.11,3.4,30.39,0.32,566.2,1.28,1.41,8.68,0.86,327.58,18.68,166.27,0.001,0.06,2.37,4.66,0.5,2.12,152.01,0.88,0.025,17.78,0.16,1.68,3.93,21.94,1.36,19.97,44.98,53.84,0,0.0025,8119.246,5576.896,1491.0,0
0.032,6.74,5.9,537.49,1.9,0.09,0.16,0.01,76.63,0.76,19.86,13.71,1.95,1.11,17.99,0.1,3.21,5.04,33.88,0.12,89.43,1.5,1.41,11.84,0.64,157.54,20.92,322.98,0.001,0.005,3.19,2.73,0.5,1.95,98.24,1.19,0.05,26.41,0.08,1.35,5.95,5.4,2.95,20.05,20.36,87.75,0,0.0025,4735.0,3780.0,870.0,0
0.138,0.74,1.12,90.11,0.32,0.005,9.1,0.05,2.09,1.1,12.7,2.84,5.8,0.45,2.06,0.06,0.1,0.26,1.14,0.08,307.44,0.19,0.01,0.1,0.51,58.65,0.83,17.97,0.001,0.02,26.2,0.81,0.5,0.2,300.36,0.025,0.025,0.23,0.02,0.18,0.05,8.32,0.1,0.92,8.26,3.7,0,0.016,6167.105,7408.005,1007.0,0
0.386,1.09,10.23,96.77,0.24,0.05,4.33,0.05,3.15,6.28,18.86,1.9,27.7,3.76,6.64,0.06,0.21,0.05,1.94,0.43,932.05,0.91,0.04,1.02,3.76,102.43,3.22,4.6,0.001,0.39,14.47,2.92,0.5,0.2,73.79,0.025,0.025,0.27,0.02,0.06,0.32,28.14,1.71,2.84,20.02,9.62,0,0.007,7595.0,6888.0,1280.0,0
0.089,7.81,3.76,195.9,0.97,0.1,1.32,0.06,52.36,5.27,6.09,5.79,6.92,3.29,16.2,0.11,2.2,1.75,22.96,0.46,1833.1,2.22,2.01,7.91,2.21,426.48,10.48,83.82,0.001,0.05,4.51,10.5,0.5,10.68,115.85,0.59,0.025,9.09,0.23,0.85,2.28,33.1,1.45,17.82,90.66,78.19,0,0.0025,7399.22,8631.432,642.17,0
14.132,5.15,5357.28,43.46,0.96,19.58,0.32,1.56,15.66,2.27,54.28,0.27,90.73,4.99,12.49,0.12,1.16,0.06,6.46,0.82,158.67,1.49,0.38,6.46,5.74,451.36,3588.05,1.89,0.001,0.13,1742.07,15.92,4.35,25.14,103.92,0.59,1.341,11.71,0.27,0.05,2.63,88.77,15.78,12.52,59.38,29.35,1,0.184,12235.003,9655.366,1353.57,0
1.361,4.34,4.42,748.51,0.46,0.05,0.53,0.09,16.76,7.07,33.74,5.58,72.41,2.32,6.7,0.025,1.01,1.76,9.22,0.68,747.6,2.5,0.28,2.59,6.68,522.24,22.54,115.78,0.001,0.005,21.33,7.62,0.5,0.7,76.91,0.18,0.025,1.81,0.26,1.41,0.41,77.57,1.7,6.85,44.07,33.98,0,0.079,6524.896,7858.805,941.609,0
0.315,1.52,6.09,75.92,0.27,0.005,0.05,0.05,7.68,3.59,17.74,3.83,2.34,1.49,3.94,0.025,0.37,0.41,4.73,0.46,852.94,0.62,0.02,0.92,2.62,136.06,3.51,30.11,0.001,0.005,47.86,2.64,0.5,0.37,10.58,0.07,0.025,0.8,0.08,0.32,0.28,34.28,0.74,4.92,22.63,20.6,0,0.0025,9456.0,6383.0,1510.0,0
2.046,0.41,151.31,29.24,0.1,0.05,0.04,0.77,1.42,4.02,50.54,0.84,46.25,3.93,1.97,0.025,0.1,0.06,0.98,0.11,199.51,5.65,0.02,0.2,4.64,113.16,36.94,4.13,0.001,0.39,7.12,3.27,1.0,0.21,6.39,0.025,0.025,0.05,0.0025,0.08,0.1,23.1,0.33,1.83,110.43,2.74,0,0.025,6325.0,7608.0,919.0,0
0.304,1.28,36.36,29.99,0.19,0.15,0.02,0.14,10.0,4.94,20.74,0.85,4.94,1.57,3.29,0.025,0.11,0.25,3.97,0.29,252.84,1.86,0.01,2.0,8.98,124.1,43.66,16.24,0.001,0.005,2.13,1.55,0.5,0.46,3.93,0.12,0.025,1.47,0.07,0.11,0.32,16.29,0.88,1.69,39.32,2.38,0,0.005,4136.389,7618.941,183.79,0
0.995,1.41,105.28,75.8,0.18,0.05,0.03,0.01,3.41,1.04,20.27,2.13,3.61,1.22,2.52,0.07,0.39,0.51,1.75,0.06,54.17,16.43,0.01,1.02,1.34,218.98,8.82,32.02,0.001,0.01,17.5,1.94,0.5,0.2,6.36,0.08,0.025,0.78,0.07,0.41,0.21,17.48,1.38,1.38,5.23,15.44,0,0.013,8157.017,7013.962,1317.179,0
0.092,7.77,1.83,481.41,1.94,0.15,0.24,0.15,76.95,1.45,2.71,6.69,5.56,1.7,18.05,0.1,2.63,3.59,39.99,0.13,368.62,1.51,2.35,18.95,1.18,111.35,20.01,167.42,0.001,0.005,1.37,5.54,0.5,3.29,37.38,1.23,0.025,18.38,0.09,0.82,3.84,8.6,0.92,29.74,56.18,63.09,0,0.0025,13738.0,1430.0,1325.0,0
0.005,8.16,151.35,363.29,0.56,0.05,0.08,0.01,15.67,1.94,23.79,17.57,14.25,3.47,21.15,0.025,3.71,2.69,5.91,0.65,94.65,2.46,0.03,5.18,0.69,557.52,7.16,153.45,0.001,0.02,66.96,23.47,3.09,1.29,15.16,0.46,0.618,7.03,0.5,2.18,1.7,155.01,0.55,10.81,3.29,111.44,0,0.0025,9549.563,9700.593,1430.0,0
0.568,2.9,19.61,188.93,0.43,0.05,0.65,0.07,11.79,4.61,20.01,4.3,6.79,1.59,4.52,0.025,0.96,1.05,5.16,0.39,861.6,5.01,0.01,1.83,2.6,614.96,23.33,60.41,0.001,0.005,32.05,5.33,0.5,1.83,20.53,0.15,0.025,1.6,0.15,0.75,0.37,42.69,1.62,5.01,43.39,28.92,0,0.017,8133.972,6448.141,1393.621,0
6.993,3.55,63.73,328.17,0.4,0.08,0.32,1.86,28.71,3.16,21.58,5.33,24.28,1.62,9.57,0.025,0.93,1.87,14.58,0.29,142.98,148.34,0.15,2.46,2.58,376.89,56.89,125.43,0.006,0.29,14.54,8.39,0.5,1.52,21.43,0.19,0.025,2.56,0.18,1.05,0.56,79.55,1.89,8.37,127.8,25.04,1,0.114,4542.0,6036.0,947.0,0
0.107,3.34,5.49,165.42,0.54,0.05,7.96,0.05,18.29,4.7,18.63,5.94,4.48,2.73,6.52,0.07,1.15,0.8,8.16,1.04,2723.68,0.67,0.39,2.14,3.41,381.89,3.37,52.9,0.001,0.02,35.51,6.63,0.5,0.51,133.45,0.15,0.025,1.49,0.2,0.53,0.5,58.02,0.85,9.73,52.55,46.57,0,0.0025,10934.55,6544.0,1443.0,0
0.679,1.75,20.12,237.2,0.27,0.1,0.29,0.05,9.33,1.89,33.02,3.27,17.17,2.04,3.79,0.025,0.47,1.18,3.57,0.28,209.52,11.7,0.09,1.6,2.51,493.29,8.62,70.76,0.001,0.17,15.86,3.44,0.5,0.41,38.49,0.09,0.148,1.24,0.1,0.66,0.9,28.28,0.88,3.66,12.67,20.48,0,0.029,4698.232,6240.856,1101.0,0
86.847,1.38,11.53,81.28,0.37,0.05,10.73,3.62,11.01,1.9,11.48,2.03,14.81,0.99,2.63,0.025,0.32,0.55,5.89,0.13,1203.05,0.7,0.01,0.66,1.28,128.94,111.38,36.25,0.001,0.02,27.09,1.81,2.07,0.32,137.24,0.025,0.05,0.39,0.05,0.35,0.1,22.46,0.48,3.05,229.48,10.07,1,1.221,6586.0,7102.0,1158.0,0
7.303,2.32,132.76,123.61,0.63,0.05,0.02,0.08,10.89,1.12,15.42,5.53,6.75,1.88,6.2,0.025,0.54,1.12,5.68,0.1,84.78,27.88,0.03,1.11,1.42,304.35,26.42,74.07,0.001,0.01,35.9,2.98,0.5,0.27,12.28,0.09,0.025,0.8,0.09,0.78,0.32,36.58,1.04,3.97,23.88,19.4,1,0.188,6494.297,6741.99,1352.149,0
0.005,9.1,2.51,673.64,1.62,0.05,3.07,0.14,34.43,8.97,9.45,7.06,4.02,4.39,19.35,0.15,4.22,1.55,13.48,0.8,1023.34,0.83,3.45,11.01,1.65,1384.14,12.52,44.84,0.001,0.005,7.05,7.22,0.5,1.72,442.34,0.68,0.025,4.08,0.38,0.71,1.24,55.62,0.86,22.69,117.12,158.78,0,0.0025,10077.0,8760.0,1081.0,0
94.686,1.48,38.26,83.61,0.52,0.05,0.24,0.13,2.74,1.31,13.91,2.85,14.64,0.97,3.15,0.025,0.1,0.48,1.72,0.18,619.12,1.84,0.02,0.2,1.95,58.24,32.07,35.07,0.001,0.01,35.95,0.91,1.01,0.1,14.24,0.025,0.689,0.28,0.01,0.57,0.11,12.04,0.1,1.7,35.67,3.35,1,2.625,7668.103,7227.104,1273.0,0
0.018,7.94,2.48,613.62,1.31,0.12,2.1,0.19,38.69,8.49,17.36,4.86,12.58,2.79,21.79,0.09,1.84,1.58,19.03,0.87,616.07,0.3,2.81,7.15,4.59,641.38,16.07,70.35,0.001,0.01,1.21,9.04,0.5,1.68,359.67,0.56,0.025,6.72,0.28,0.52,1.97,86.16,0.9,18.32,86.15,55.7,0,0.0025,3932.176,6390.467,587.0,0
0.652,5.82,63.86,287.51,1.82,0.17,0.41,2.1,33.38,14.42,19.59,22.08,31.06,3.58,12.91,0.07,1.86,0.73,18.77,8.27,3437.36,3.4,0.02,5.81,15.91,632.96,38.29,50.41,0.001,0.02,15.83,8.82,0.5,0.8,28.75,0.31,0.117,4.44,0.25,0.62,2.09,87.35,2.18,16.79,788.56,70.17,0,0.006,5105.85,8323.0,360.0,0
0.222,3.43,16.49,197.34,0.58,0.05,0.05,0.06,8.26,3.27,8.5,3.62,7.73,1.35,7.22,0.025,0.95,1.36,3.53,0.11,944.7,2.6,0.04,1.7,1.3,105.01,7.2,105.05,0.001,0.005,11.76,3.93,0.5,0.74,5.83,0.14,0.025,2.39,0.1,0.9,0.59,41.19,1.14,3.37,12.16,60.1,0,0.009,5319.665,8036.053,590.0,0
0.04,7.23,0.93,524.02,1.76,0.05,1.07,0.14,64.22,0.42,1.0,4.43,1.95,1.52,16.12,0.08,3.01,2.15,32.06,0.13,367.36,0.25,1.98,7.79,0.42,96.92,8.7,95.56,0.001,0.01,2.12,9.14,0.5,1.99,97.47,0.77,0.025,14.5,0.08,1.04,3.69,4.16,0.43,22.35,48.31,79.38,0,0.0025,6934.0,6780.0,1294.0,0
0.136,4.87,16.47,522.91,0.64,0.05,0.1,0.05,24.21,7.35,18.01,4.62,3.39,3.42,11.88,0.025,1.87,2.2,11.08,0.45,1742.85,0.41,0.04,3.87,2.24,453.68,8.35,171.03,0.001,0.005,2.09,8.83,0.5,1.71,8.83,0.3,0.025,5.71,0.25,1.85,1.14,61.86,1.48,6.7,27.16,95.67,0,0.0025,5432.275,8355.507,561.0,0
0.282,8.99,2.7,972.35,0.89,0.05,3.44,0.06,31.15,18.39,31.18,6.88,25.99,5.18,19.54,0.15,1.07,1.66,15.35,2.26,877.54,0.14,2.81,5.63,10.94,865.32,6.15,72.29,0.001,0.04,2.31,17.52,0.5,3.23,399.13,0.42,0.025,2.34,0.54,0.65,0.42,138.68,1.47,14.89,85.83,31.5,0,0.0025,8524.72,5764.64,1333.57,0
0.118,8.17,8.45,238.3,1.13,0.58,4.68,0.11,42.81,12.83,14.47,12.6,27.02,4.35,19.91,0.12,1.88,1.13,21.51,1.64,876.97,0.64,2.18,7.4,5.74,799.25,11.53,70.12,0.001,0.08,3.8,17.71,0.5,1.48,453.49,0.55,0.353,4.83,0.52,0.73,1.32,150.51,1.17,18.85,56.24,58.14,0,0.06,5497.623,6490.076,1250.0,0
0.829,6.33,9.8,341.88,0.68,0.08,0.39,0.01,27.7,7.32,24.85,7.56,13.96,2.81,14.85,0.09,0.66,2.75,13.86,0.69,190.53,23.88,0.13,3.0,5.53,585.21,5.02,190.32,0.001,0.58,8.25,12.45,0.5,0.75,33.0,0.23,0.054,3.25,0.2,1.24,0.61,89.32,2.52,7.82,19.55,32.26,0,0.077,5328.0,6576.0,1129.0,0
2.399,5.86,136.75,507.7,1.22,0.05,0.01,0.05,33.18,1.0,6.32,8.88,7.78,4.26,17.93,0.07,2.42,2.95,22.25,0.23,76.42,13.97,0.05,9.69,0.51,743.86,30.22,160.49,0.001,0.05,12.73,13.27,1.0,1.42,10.22,0.58,0.025,4.48,0.35,1.29,1.12,52.62,3.01,8.37,18.04,197.75,0,0.028,6428.0,8316.0,711.0,0
3.705,7.28,6882.1,149.95,0.68,6.76,0.26,0.57,32.96,4.93,19.8,5.36,134.16,4.59,17.78,0.13,0.41,1.38,12.11,0.77,136.63,1.6,0.3,6.15,1.97,268.36,321.19,97.72,0.001,0.07,55.54,10.92,8.79,21.46,95.55,0.55,0.509,6.58,0.27,1.27,0.74,70.7,8.34,5.59,156.14,8.63,1,0.114,12571.0,9326.0,1258.0,0
