Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
0.14,7.73,4.1,340.65,1.24,0.05,5.55,0.18,46.07,16.89,43.03,6.81,22.33,5.02,22.69,0.11,1.17,1.32,23.45,1.83,1122.86,1.05,2.17,7.35,15.77,1127.63,24.11,50.5,0.001,0.17,2.47,22.15,0.5,1.32,430.43,0.59,0.085,5.26,0.59,0.81,1.01,177.42,1.25,19.44,107.74,37.32,0,0.007,6895.546,5170.002,1296.379,0
0.094,8.55,2.53,418.98,1.13,0.05,4.5,0.12,33.03,16.22,28.61,9.65,15.05,4.76,19.31,0.08,2.93,1.32,15.95,1.62,816.0,1.15,2.58,6.16,7.31,879.1,9.07,52.38,0.001,0.02,4.25,17.68,0.5,1.26,389.89,0.41,0.025,4.36,0.49,0.44,1.14,153.56,0.69,17.56,82.02,113.95,0,0.0025,8331.0,6099.0,1439.0,0
0.033,1.83,8.8,97.64,0.4,0.05,0.8,0.08,9.06,4.29,22.69,1.99,7.64,2.76,5.14,0.07,0.43,0.2,4.09,1.0,861.98,1.1,0.24,0.91,4.01,142.68,4.99,10.13,0.001,0.05,6.79,3.02,0.5,0.27,52.34,0.08,0.025,0.61,0.06,0.13,0.19,40.47,0.1,4.13,47.25,13.86,0,0.0025,10810.606,6402.749,1447.88,0
1.134,7.06,147.71,700.04,1.15,0.05,0.06,0.05,34.08,1.86,6.11,7.2,45.8,9.14,16.31,0.06,1.02,2.61,22.22,0.22,91.4,3.82,0.18,10.2,0.92,1369.61,58.81,169.55,0.001,0.03,5.05,11.39,1.04,0.82,36.7,0.6,0.05,5.99,0.33,1.27,1.22,46.37,1.97,7.34,20.97,47.47,0,0.013,6460.375,8364.004,728.0,0
0.098,3.14,5.58,65.01,0.37,0.05,4.47,0.13,13.39,7.06,24.01,3.85,13.51,3.36,7.83,0.07,0.86,0.44,6.4,1.13,1556.16,0.74,0.7,2.08,5.6,355.12,5.65,30.36,0.001,0.55,4.87,5.56,0.5,0.36,142.53,0.15,0.025,1.19,0.15,0.24,0.54,56.33,0.63,6.43,42.76,61.43,0,0.0025,10718.315,6190.842,1442.0,0
0.079,7.97,3.19,450.06,1.06,0.23,2.25,0.17,35.04,12.91,23.04,5.61,4.43,3.57,19.04,0.07,1.17,1.53,15.63,1.32,746.95,0.31,2.81,6.74,8.39,852.25,13.39,96.49,0.001,0.01,3.02,14.41,0.5,1.54,407.52,0.51,0.075,5.18,0.38,0.72,1.31,110.39,0.96,15.02,81.64,32.13,0,0.0025,5497.0,6745.0,1130.0,0
0.081,8.34,2.55,771.57,1.02,0.05,3.48,0.07,31.89,17.33,23.66,1.99,9.15,5.45,17.06,0.1,2.19,1.24,12.25,1.76,915.62,0.4,2.39,7.19,10.0,1087.78,8.52,24.5,0.001,0.01,3.28,16.98,0.5,1.19,505.08,0.47,0.025,2.69,0.55,0.49,0.83,146.05,1.68,14.18,93.53,70.85,0,0.0025,6240.0,7406.0,1015.0,0
3.155,1.61,10.53,74.99,0.61,0.005,0.03,0.08,3.56,1.1,14.97,2.87,3.39,0.94,2.66,0.025,0.31,0.51,2.08,0.05,165.08,0.28,0.02,0.73,1.27,131.08,8.73,28.59,0.001,0.01,24.41,1.47,0.5,0.27,6.77,0.06,0.025,1.0,0.03,0.27,0.29,13.17,0.28,1.1,36.7,10.46,1,0.998,7353.587,7342.322,1299.0,0
0.052,2.53,143.99,153.33,0.37,4.73,0.04,0.05,28.75,0.4,18.06,4.42,40.15,11.1,6.45,0.19,1.33,0.29,15.63,0.09,36.82,2.24,0.2,3.01,0.62,1009.73,82.12,15.12,0.001,0.12,6.93,3.77,9.28,2.67,69.98,0.22,4.474,9.2,0.16,1.26,0.8,32.01,0.22,4.94,19.93,61.34,0,0.0025,10768.307,7210.64,1354.6,0
0.058,7.87,15.63,438.71,1.03,0.14,1.13,0.14,41.79,16.26,23.05,4.52,25.6,3.66,22.08,0.14,2.9,1.45,19.46,1.19,1933.66,1.4,3.11,6.52,11.32,951.4,13.89,71.16,0.002,0.27,1.77,16.02,0.5,1.73,350.94,0.53,0.112,6.65,0.4,0.59,3.1,102.76,0.68,18.04,69.07,99.58,0,0.005,7563.0,7166.0,1300.0,0
0.038,7.6,1.49,801.16,1.49,0.05,0.33,0.05,56.52,0.59,3.07,1.66,1.16,1.56,15.76,0.07,2.81,3.24,32.22,0.06,396.12,0.74,2.65,5.92,0.84,157.8,5.73,128.46,0.001,0.005,1.44,7.98,0.5,3.55,121.77,0.51,0.025,14.69,0.07,1.08,3.32,4.82,0.2,15.64,18.57,82.91,0,0.0025,6666.0,7816.0,1002.0,0
0.156,3.04,6.08,448.79,0.45,0.05,5.53,0.27,16.89,6.34,17.3,5.19,7.72,2.59,6.71,0.13,1.33,1.02,7.95,0.78,1299.23,0.97,0.38,2.22,4.53,297.34,15.49,50.64,0.001,0.005,30.7,5.8,0.5,0.62,137.7,0.16,0.025,1.71,0.16,0.6,0.55,52.2,0.87,7.22,62.75,47.17,0,0.0025,9842.0,6739.0,1407.0,0
0.005,8.28,0.52,816.33,1.11,0.005,2.71,0.05,30.5,5.48,4.89,18.08,12.11,3.49,18.01,0.09,2.31,2.44,16.37,0.96,1290.65,0.37,2.17,5.91,1.31,604.65,7.83,98.0,0.001,0.01,4.48,11.41,0.5,0.39,305.91,0.62,0.025,8.56,0.32,0.86,2.34,49.82,1.0,18.91,78.44,83.71,0,0.0025,10543.592,7645.832,1239.0,0
0.04,9.14,6.55,271.76,1.12,0.07,3.89,0.06,34.2,11.18,13.88,10.84,3.21,4.23,20.3,0.1,1.7,1.38,18.15,1.41,870.77,0.33,2.81,6.19,5.36,816.77,9.83,74.18,0.001,0.18,2.8,16.88,0.5,1.35,456.96,0.51,0.025,4.53,0.5,0.84,1.26,118.33,1.53,15.78,57.7,50.89,0,0.0025,5519.347,6483.03,1258.0,0
