Codigo,East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
MUESTRA0959,5259.459,6499.908,1175,<0.005,0.021,7.21,0.64,1312.26,1.19,0.06,0.75,<0.02,38.42,12.51,18.02,29.3,4.77,5.53,17.51,0.1,1.36,3.49,16.83,0.89,570.2,0.56,0.53,9.3,8.49,96.32,6.87,230.82,<0.002,0.01,1.44,15.25,<1,1.57,93.95,0.55,<0.05,5.58,0.54,1.39,0.67,131.04,1.34,6.83,52.99,90.02
MUESTRA0960,5195,6506,1162,0.006,0.137,8.32,2.35,813.74,1.24,0.18,4.89,0.05,37.41,12.92,40.17,5.75,33.39,4.35,20.19,0.16,1.56,2.11,18.83,1.54,1116.19,1.52,1.98,7.03,8.87,1046.09,7.63,79.32,<0.002,0.36,2.98,20.43,1,1.86,418.82,0.49,0.108,4.35,0.49,0.99,1.02,164.37,1.29,17.49,86.03,62.72
MUESTRA0961,5186,6509,1164,<0.005,0.093,8.94,2.07,424.28,1.05,0.05,5.27,0.05,42.02,18.1,35.44,11.47,12.78,5.14,21.44,0.16,1.61,1.64,18.15,1.77,1261.67,0.99,2.08,7.06,8.59,916.08,7.17,65.15,<0.002,0.08,2.18,17.28,1.04,1.42,370.57,0.49,<0.05,4.92,0.55,1.28,1.15,156.58,0.78,16.22,131.37,54.49
MUESTRA0962,4498.715,6423.28,949,0.031,1.821,2.12,8.47,127.3,0.24,0.88,0.46,0.14,6.92,0.66,20.34,3.04,12.04,1.6,5.21,<0.05,0.47,0.71,4.01,0.14,160.66,28.15,0.05,1.34,1.4,235.69,903.64,45.69,<0.002,0.05,9.88,3.46,<1,0.83,21.35,0.09,0.288,0.89,0.11,0.41,0.3,41.3,0.56,1.87,82.83,18.2
MUESTRA0963,4487.885,6418.159,947,0.028,4.5,3.06,10.75,237.32,0.29,6.06,1.27,2.05,11.27,1.13,24.81,5.1,53.48,5.27,9.27,0.06,1.38,1.09,5.19,0.21,296.82,5.48,0.52,2.9,2.25,450.84,1310.63,54.56,<0.002,0.13,10.44,5.76,<1,2.02,63.51,0.23,1.559,1.66,0.19,0.54,0.58,59.34,1.66,3.8,268.55,56.97
MUESTRA0964,4482.802,6411.963,947,0.028,2.711,2.25,12.78,156.74,0.23,0.32,0.86,0.25,7.58,1.59,22.66,2.98,37.79,5.36,6.19,0.07,0.69,0.78,3.65,0.08,235.25,41.85,0.16,1.77,1.3,409.26,615.15,47.78,<0.002,0.1,11.18,3.91,<1,0.97,42.42,0.11,0.721,1.36,0.15,0.43,0.58,46.68,1.25,2.68,92.35,37.11
MUESTRA0965,4438.089,6419.754,913,<0.005,0.096,6.46,2.63,1143.11,1.77,0.09,0.79,0.23,63.68,0.97,7.56,2,9.81,1.65,15.97,0.11,3.36,1.98,33.51,0.08,240.04,1.59,2.64,9.57,0.98,118.65,11.52,90.76,<0.002,0.03,3.24,11.2,<1,2.75,204.84,0.69,0.05,17.23,0.1,0.6,4.31,8,0.29,31.49,68.48,94.58
MUESTRA0966,4380.674,6388.949,890,0.976,4.454,4.96,15.92,604.55,0.42,0.1,2.1,0.05,19.98,1.53,27.18,1.71,77.01,6.27,12.57,0.15,1.09,1.94,10.33,0.5,603.81,9.28,0.51,4.13,2.24,539.15,5.48,97.66,<0.002,0.14,8.68,9.96,<1,1.4,170,0.25,3.061,2.16,0.33,0.68,0.75,90.64,1.54,8.52,28.14,72.14
MUESTRA0967,4413,6360,879,0.081,1.039,2.98,23.49,331.41,0.27,0.09,1.21,0.05,8.86,6.02,17.76,1.23,109.05,6.75,7.15,0.12,0.64,0.9,5.33,0.42,424.64,11.29,0.4,2.09,3.75,327.85,18.85,34.08,<0.002,0.22,8.13,6.49,<1,3.07,102.95,0.29,0.693,1.18,0.18,0.4,0.48,62.89,0.66,4.04,28.82,17.71
MUESTRA0968,4372.395,6423.466,837,0.879,3.178,4.25,19.46,439.93,0.39,0.07,0.54,0.05,14.16,17.32,18.17,9.01,93.13,7.85,10.99,0.11,0.74,1.71,6.99,0.59,738.81,4.14,0.14,3.35,4.46,609.94,4.91,112.5,<0.002,0.03,13.97,9.07,<1,1.24,43.89,0.23,2.829,2.09,0.26,1,0.64,84.52,1.68,7.17,35.64,24.37
MUESTRA0969,4369.427,6430.501,832,0.047,0.605,1.16,4.1,36.77,0.23,0.33,0.12,0.05,3.09,3.58,17.63,4.28,23.46,2.37,3,0.05,0.19,0.29,1.7,0.25,241.05,29.74,0.04,0.39,1.47,127.77,6.88,22.73,<0.002,0.04,16.07,1.26,<1,0.21,10.28,<0.05,0.595,0.32,0.04,0.21,0.1,18.98,0.32,1.3,25.07,6.47
MUESTRA0970,4365.662,6437.495,826,2.133,9.991,3.06,32.76,32.49,0.37,0.12,0.21,0.1,15.52,73.37,10.07,15.24,531.69,28.79,11.72,0.2,0.4,0.65,8.67,0.32,626.96,15.44,0.02,1.24,7.65,641.72,7.63,66.65,<0.002,0.08,9.38,4.17,1.84,0.93,10.91,0.07,7.46,0.67,0.11,0.62,0.32,70.29,0.67,7.43,58.12,12.49
MUESTRA0971,4429.134,6500.58,813,0.023,0.544,4.77,6.02,642.75,0.61,0.08,6.34,0.32,21.95,12.55,28.5,3.74,11.83,3.42,10.12,0.09,0.98,1.83,12.75,1.01,1894.97,1.88,0.37,3.52,7.19,602.88,6.84,136.07,<0.002,0.07,11.49,9.88,<1,0.46,149.59,0.22,0.34,1.76,0.27,0.86,0.46,90.88,1.36,9.77,123.58,36.54
MUESTRA0972,4448.574,6502.089,832,0.463,2.412,3.98,32.23,133.85,0.39,0.2,2.88,0.39,21.71,13.77,31.87,4.72,73.11,5.73,12.96,0.13,0.7,0.92,14.18,0.73,907.53,15.15,0.46,2.18,12.48,441.64,22.3,61.3,<0.002,0.12,11.55,8.13,<1,0.67,147.94,0.13,1.901,1.06,0.2,0.55,0.32,89.07,1.11,7.91,180.72,16.94
MUESTRA0973,4386,6395,863,0.079,12.574,0.68,69.62,176.88,0.17,0.05,0.21,0.05,1.23,2.26,23.99,0.74,16.62,8.76,1.55,0.08,0.44,0.29,0.66,0.04,71.29,29.48,0.24,0.76,1.82,223.55,43.53,8.87,<0.002,0.57,7.14,0.77,<1,0.41,38.79,0.07,<0.05,0.4,0.06,0.22,0.2,30.9,0.3,0.84,15.22,9.17
MUESTRA0974,4386,6396,862,0.086,6.918,4.34,89.96,951.69,0.43,0.05,0.71,0.1,12.69,5.08,14.61,2.2,29.65,14.63,10.41,0.15,1.96,1.53,7.45,0.28,203.88,31.61,1.48,4.76,3.49,577.64,107.93,40.76,<0.002,0.58,6.03,7.47,<1,1.62,207.81,0.37,0.053,3,0.45,0.54,0.92,162.2,1.46,5.5,44.72,90.28
MUESTRA0975,4944.847,6598.249,1076,0.014,0.247,8.23,3.05,704.42,1.27,0.1,3.29,0.05,32.08,7.21,30.76,13.98,20.09,3.63,18.81,0.15,1.53,2.17,15.08,1.39,787.69,0.54,1.66,7.94,9.13,918.88,10.9,124.42,<0.002,0.52,1.42,16.65,<1,1.62,192.6,0.5,0.109,4.31,0.54,1.31,1.13,153.28,2.62,14.73,49.24,57.95
MUESTRA0976,4902.379,6640.091,1064,0.022,0.495,5.74,30.65,401.9,0.56,0.06,1.71,0.05,21.41,5.1,25.07,4.26,13.9,2.76,12.47,0.12,1.87,1.79,10.25,0.3,358.12,9.4,0.65,4.18,5.96,499.98,26.57,162.99,0.002,0.23,10,11.77,<1,0.97,95.82,0.29,<0.05,4.05,0.33,1.45,1.69,97.38,0.81,10.82,12.31,67.92
MUESTRA0977,4897.314,6639.522,1068,0.01,0.296,6.99,15.87,590.87,0.7,0.05,3.26,0.05,31.24,9.6,32.72,5.28,19.37,3.63,15.32,0.08,1.18,3.75,16.64,0.5,638.81,5.81,0.66,5.25,8.2,709.82,18.6,185.76,<0.002,0.31,9.64,14.27,<1,1.07,128.13,0.39,<0.05,3.6,0.42,1.98,0.94,115.9,1.03,12.34,31.72,39.81
MUESTRA0978,4921,6629,1051,0.007,0.227,8.56,3.05,727.54,1.27,0.08,2.72,0.11,56.52,14.96,25.06,13.56,6.31,3.86,17.46,0.21,1.39,2.09,26.18,1.25,941.47,0.15,1.49,7.4,8.6,458.96,9.7,143.34,<0.002,0.06,3.55,17,<1,1.4,223.72,0.43,<0.05,4.89,0.43,1.54,1.09,142.91,1.49,26.57,65.09,48.34
MUESTRA0979,4918.146,6702.394,1030,0.17,0.428,5.17,5.38,543.48,0.83,0.05,1.75,0.08,23.52,9.98,28.61,7.17,17.88,3.22,9.66,0.12,1.22,1.98,10.7,0.92,512.07,2.91,0.81,3.63,6.89,429.1,15,115.13,<0.002,0.31,10.53,8.69,<1,0.6,137.16,0.26,0.069,2.91,0.26,0.91,0.87,83.01,0.94,10.23,55.3,42.34
MUESTRA0980,4916.943,6722.159,1021,0.434,14.059,4.47,8.43,298.91,0.78,0.15,0.59,0.05,17.78,3.42,28.58,9.7,19.55,2.21,11.51,0.05,1.24,1.84,10.1,0.29,144.22,49.62,0.19,2.68,3.5,474.03,7.21,116.51,<0.002,0.26,16.28,9.25,<1,0.78,57.36,0.2,0.442,2.13,0.24,0.95,0.65,93.09,2.96,8.18,10.36,38.16
MUESTRA0981,4917.354,6722.226,1021,6.466,11.738,1.57,15.51,107.95,0.34,0.05,0.05,0.05,0.5,0.43,27.87,3.95,13.19,0.6,2.97,0.09,<0.1,0.62,<0.5,0.05,55.23,5.55,0.04,<0.1,0.97,9.96,3.7,39.39,<0.002,<0.01,26.76,0.33,<1,0.21,11.66,<0.05,<0.05,0.05,<0.005,0.35,<0.1,18.87,<0.1,0.18,4.99,<0.5
MUESTRA0982,4986,6355,1310,0.006,0.223,7.31,9.62,1031.23,0.84,0.11,7.69,0.3,29.63,15.35,24.55,0.49,14.24,4.93,27.96,0.08,1.37,0.99,13.06,0.91,862.74,1.25,1.06,4.75,6.91,725.41,26.95,21.37,<0.002,0.02,4.51,15.33,<1,1.53,663.33,0.39,0.087,3.58,0.43,0.12,1.17,150.67,0.45,14.54,36.14,36.17
MUESTRA0983,4933.982,6270.518,1228,0.006,0.101,6.57,4.04,1539.21,1.56,0.09,1.54,0.05,53.07,2.06,16.01,1.57,9.71,1.58,14.15,0.09,1.38,2.19,25.45,0.19,312.17,2.05,2.96,7.8,0.82,127.33,9.19,31.81,<0.002,0.04,3.4,9.4,<1,2.44,265.55,0.66,<0.05,11.11,0.11,0.29,3.21,13.89,0.27,23.97,12.61,43.06
MUESTRA0984,4903.065,6295.829,1229,0.04,0.623,5.29,7.01,29.91,0.36,1.07,4.71,0.05,20.26,1.01,12.03,2.13,128.23,9.06,23.62,0.1,1.11,0.38,11.98,0.45,947.95,5.8,0.03,7.14,0.4,459.67,16.38,14.21,<0.002,0.09,11.09,10.84,1,2.84,169.88,0.32,0.773,3.23,0.38,0.13,1,97.36,0.61,14.03,19.09,125.28
MUESTRA0985,4904,6354,1254,0.014,0.089,6.62,30.53,40.34,0.54,0.28,6.91,0.08,29.16,16.85,18.58,1.92,74.19,5.76,20.49,0.1,0.92,0.36,18.24,0.86,1199.52,0.54,0.04,3.93,13.6,512.14,4.85,14.19,<0.002,0.01,8.13,14.61,<1,2.54,258.5,0.23,0.417,2.53,0.3,0.18,1.27,104.15,0.27,18.96,29.04,24.51
MUESTRA0986,4896,6357,1250,0.006,0.075,5.67,22.83,43.35,0.28,0.19,5.41,0.06,25.11,32,17.3,1.21,17.56,5.39,15.99,0.1,1.32,0.42,11.89,0.9,1024.48,1.12,0.02,3.35,5.66,438.81,5.92,15.25,<0.002,0.01,5.5,11.45,<1,1.73,194.05,0.23,0.513,2.42,0.25,0.16,1.29,90.97,0.21,12.72,37.97,52.07
MUESTRA0987,4909.606,6284.592,1227,0.062,1.03,1.66,31.28,108,0.21,1.45,0.56,0.05,5.41,20.77,13.1,2.2,104.84,12.53,9.22,0.08,0.32,0.37,2.82,0.43,297.07,5.7,0.04,1.84,1.36,285.3,3.87,15.56,<0.002,0.67,4.25,4.28,1,1.27,36.58,0.09,1.848,0.87,0.12,0.11,0.37,68.06,0.21,2.78,23.13,8.36
MUESTRA0988,4882,6347,1254,<0.005,0.029,6.35,4.61,89.07,0.24,0.16,5.98,0.14,25.7,4.98,16.94,4.26,1.72,4.89,18.31,0.06,1.02,0.6,13.84,0.89,1165.02,0.41,0.16,4.28,3.78,498.25,6.85,36.59,<0.002,0.01,10.22,10.99,<1,1.75,186.93,0.28,<0.05,3.04,0.34,0.21,1.21,101,0.2,16.53,41.79,44.31
MUESTRA0989,4873.81,6262.021,1196,0.019,1.019,7.93,30.81,362.86,0.66,1.23,3.33,0.05,48.55,59.49,18.39,12.62,237.33,13.31,26.48,0.13,1.23,2.97,23.46,1.41,907.49,5.06,0.58,7.39,4.32,1118.85,6.45,267.42,<0.002,2.14,9.59,16.7,1.07,5.59,211.53,0.54,1.45,4.99,0.53,1.4,1.11,192.7,1.6,20.68,35.89,29.87
MUESTRA0990,4749.609,6228.706,1102,0.351,4.832,2.5,1930.84,117.44,0.22,0.05,0.02,0.15,7.5,0.72,15.43,4.6,10.48,1.52,5.76,<0.05,0.6,1.15,3.19,0.11,59,5.43,0.02,1.2,1.1,119.54,7.36,95.65,<0.002,0.02,28.74,3.18,<1,0.41,5.99,0.06,0.094,1.14,0.08,0.74,0.3,37.64,0.73,1.84,15.55,14.66
MUESTRA0991,4741.763,6241.317,1092,1.262,190.995,1.78,>10000,78.2,0.2,0.58,0.01,0.14,3.85,0.29,21.87,2.18,32.12,1.75,3.74,<0.05,0.54,0.84,1.99,0.07,49.08,21.67,0.02,0.95,0.94,55.9,89.16,60.86,<0.002,0.11,97.14,2.63,<1,0.42,6.79,0.07,0.211,0.91,0.07,0.52,0.29,38.23,1.02,1.71,26.78,16.82
MUESTRA0992,4696.846,6207.026,1085,0.067,0.927,4.04,53.7,287.21,0.53,0.28,0.19,2.09,10.39,6.72,11.03,10.46,137.88,2.22,9.16,<0.05,0.31,2.29,4.59,0.33,216.46,107.69,0.06,1.15,2.29,150.03,247.07,145.08,0.002,0.01,12.75,4.18,<1,0.4,29.65,0.07,0.42,0.81,0.09,1.35,0.19,80.01,1.07,2.07,339.34,9.26
MUESTRA0993,4696.996,6207.026,1085,0.099,0.88,4.44,39.2,267.04,0.66,0.2,0.22,1.33,10.95,6.42,14.05,10.32,134.17,2.2,8.79,<0.05,0.39,2.1,6.08,0.3,232.39,111.66,0.06,1.37,2.71,191.46,227.76,162.6,0.003,0.01,11.81,3.92,1,0.39,23.27,0.08,0.373,0.96,0.1,1,0.21,78.1,1.29,1.92,413.73,12.72
MUESTRA0994,4677.064,6179.99,1087,0.028,0.271,6.32,10.83,664.77,0.81,0.05,1.51,0.09,33.42,12.08,25.72,21.1,11.88,4.02,13.86,0.07,1.42,2.26,16.6,0.99,738.58,0.23,1.48,5.32,10.46,699.2,8.93,143.69,<0.002,0.05,1.93,12.82,<1,1.06,149.76,0.34,0.085,3.7,0.42,1.22,1.07,97.65,1.74,16.98,63.32,59.67
MUESTRA0995,4677.064,6180.09,1087,0.033,0.22,6.99,3.89,456.99,0.75,0.07,2.21,0.05,30.62,12.48,23.78,9.7,21.4,3.55,14.97,0.05,1.01,2.7,17.13,1.21,885.26,0.2,1.51,5.92,8.39,753.8,8.14,223.75,<0.002,0.52,2.47,13.48,<1,1.63,150.23,0.36,0.169,3.21,0.42,1.9,1.15,103.46,1.9,16.92,54.17,43.86
MUESTRA0996,4717.746,6243.939,1077,0.754,3.14,2.99,23.55,<10,0.46,0.09,4,0.61,15.84,29.51,15.06,1.69,117.71,7.34,9.59,0.09,0.65,0.02,10.26,0.27,903.09,4.56,0.02,1.62,4.33,524.81,6.75,1.59,<0.002,0.06,4.02,4.62,<1,2.48,96.26,0.12,1.115,1.47,0.12,0.12,2.24,51.45,0.43,17.51,97.28,18.16
MUESTRA0997,4715.121,6236.843,1077,0.019,0.642,3.57,9.9,362.43,0.55,0.05,0.82,0.17,15.04,3.68,24.71,8.17,36.65,2.12,8.46,<0.05,0.77,1.55,8.26,0.48,299.11,57.87,0.31,2.35,4.19,321.36,39.56,98.94,<0.002,0.11,16.26,5.92,<1,0.45,53.2,0.17,0.059,1.87,0.19,1.01,0.5,61.3,2.41,6.64,32.55,31.41
MUESTRA0998,4635.889,6191.478,1039,0.041,0.4,5.28,6.84,579.43,0.41,0.27,2.89,0.1,17.54,2.33,15.38,4.15,25.26,3.64,16.66,<0.05,1.37,1.86,8.61,0.24,461.18,190.59,0.2,3.58,2.27,520.46,31.24,87.65,<0.002,0.07,8.99,8.1,<1,3.16,116.86,0.21,0.403,2.21,0.3,0.6,0.61,93.36,1.38,5.79,20.84,27.85
MUESTRA0999,4691.611,6233.29,1094,1.743,2.018,2.21,470.53,116.27,0.29,0.05,0.23,0.05,9.35,3.86,14.83,9.36,18.76,1.56,4.69,<0.05,0.32,0.95,4.04,0.24,166.05,0.51,0.1,1.09,2.87,158.26,7.6,88.35,<0.002,0.03,12.22,2.83,<1,0.28,23.91,0.07,0.05,0.86,0.07,0.66,0.2,39.2,0.83,2.28,17.22,14.66
MUESTRA1000,4698.232,6240.856,1101,0.029,0.679,1.75,20.12,237.2,0.27,0.1,0.29,0.05,9.33,1.89,33.02,3.27,17.17,2.04,3.79,<0.05,0.47,1.18,3.57,0.28,209.52,11.7,0.09,1.6,2.51,493.29,8.62,70.76,<0.002,0.17,15.86,3.44,<1,0.41,38.49,0.09,0.148,1.24,0.1,0.66,0.9,28.28,0.88,3.66,12.67,20.48
MUESTRA1001,4692.994,6235.841,1096,0.058,0.389,4.69,9.25,257.58,0.55,0.11,1.04,0.13,20.79,7.19,24.1,9.81,33.31,4.5,10.43,0.07,0.69,2.26,12.77,0.74,462.9,2.58,0.35,3.63,4.1,497.88,10.08,166.02,<0.002,0.08,8.62,8.51,<1,0.97,106.26,0.23,0.264,2.01,0.23,1.61,0.6,74.29,1.31,9.98,37.24,19.42
MUESTRA1002,4685.526,6211.428,1080,0.555,0.677,8.13,3.46,31.61,0.46,0.26,5.69,0.52,13.9,3.97,15.68,3.35,123.94,15.21,25.63,0.07,0.76,0.11,6.34,0.22,867.49,4.52,0.02,2.46,1.92,339.79,74.23,2.62,<0.002,0.17,2.73,7.62,<1,18.99,193.2,0.17,0.077,2.32,0.2,0.06,0.67,141.92,2.47,6.9,240.9,18.22
MUESTRA1003,4686.067,6211.508,1080,0.019,1.119,6.39,7.88,936.99,0.76,0.2,1.95,1.77,30.56,6.03,30.76,12,34.4,5,13.63,0.07,1.19,3.05,14.95,1.02,1092.9,5.87,0.61,5.68,7.79,666.19,62.81,285.55,<0.002,0.12,2.48,12.75,<1,4.71,149.72,0.38,0.164,3.79,0.45,1.78,0.83,132.53,3.14,15.63,307.16,45.33
MUESTRA1004,4686.67,6204.417,1080,0.855,12.829,4.67,13.91,103.87,0.42,15.02,3.53,0.11,21.99,1.54,20.59,9.09,24.87,5.84,16.59,0.05,0.82,0.99,12.63,0.22,615.35,2.43,0.21,4.14,1.22,499.44,828.68,90.05,<0.002,0.2,8.4,9.02,<1,4.1,134.9,0.28,32.146,2.76,0.24,0.73,0.91,86.49,4.42,10.34,88.15,21.54
MUESTRA1005,4670.455,6204.731,1066,0.011,0.085,7.64,1.28,357.38,1.17,0.05,1.48,0.12,42.85,11.03,36.72,26.76,7.29,4.31,18.92,0.08,0.76,2.73,18.44,1.79,747.4,0.12,1.71,5.72,12.75,962.61,4.78,260.25,<0.002,0.02,1.71,15.96,<1,0.95,181.18,0.39,<0.05,3.23,0.44,2.44,0.93,149.54,1.68,14.54,44.43,27.2
MUESTRA1006,4647.522,6205.076,1053,<0.005,0.105,9.82,4.36,785.31,0.84,0.08,0.38,0.09,36.75,9.73,32.33,40.11,24.65,5.52,23.62,0.07,0.98,4.84,19.17,1.27,697.19,0.43,0.25,7.13,8.91,710.34,3.55,378.15,<0.002,0.16,3.25,20.76,<1,1.63,55.36,0.44,0.057,4.06,0.59,2.69,1.81,241.09,1.93,12.61,41.73,41.59
MUESTRA1007,4633.032,6145.424,1032,0.017,0.58,2.55,83.08,107.47,0.15,0.22,0.76,<0.02,17.12,0.98,13.27,9.97,112.04,7.33,10.31,0.06,0.64,1.05,10.32,0.46,408.95,0.48,0.35,3.18,0.73,201.57,22.63,103.29,<0.002,0.19,2.73,7.04,<1,1.3,51.72,0.21,0.411,1.73,0.24,0.89,0.41,60.06,0.72,3.44,14.3,16.4
MUESTRA1008,4630.442,6102.064,1039,0.05,2.897,2.55,1.14,21.05,0.33,25.17,2.38,0.13,11.64,131.46,8.45,0.98,1025.25,33.37,10.78,0.24,0.64,0.13,6.52,0.64,590.34,3.61,0.23,1.93,6.67,213.15,6.32,11.37,<0.002,>10.0,0.8,5.1,1.81,2.63,54.38,0.14,19.285,1.89,0.13,0.18,0.61,47.99,11.38,6.71,27.8,14.37
MUESTRA1009,4632.452,6103.056,1039,0.011,0.718,8.66,1.76,90.24,0.97,1.89,5.44,0.14,44.97,5.6,28.29,27.64,124.66,12.9,28.06,0.11,1.75,0.63,26.6,1.66,1039.23,1.79,0.57,7.56,4.07,973.61,8.78,59.29,<0.002,0.74,3.44,13.62,<1,5.4,141.37,0.58,1.26,8.84,0.54,0.46,2.03,154.47,6.64,15.41,78.37,62.74
MUESTRA1010,4565,6230,972,0.018,0.434,6.28,10.03,10.34,0.62,0.18,6.96,0.05,23.25,7.87,20.42,2.67,55.34,9.86,25.63,0.06,1.04,0.16,11.01,0.73,1364.55,5.56,0.02,3.66,4.19,434.61,10.97,12.79,<0.002,0.04,11.91,7.31,<1,2.83,207.86,0.21,0.432,2.61,0.3,0.12,0.75,133.56,1.46,8.43,44.15,50.96
MUESTRA1011,4723.448,6225.89,1105,0.238,1.737,4.41,41.96,53.47,0.42,0.22,4.53,0.05,23.04,9.19,19.04,3.54,50.52,6.65,17.27,0.1,1.15,0.43,13.69,0.4,844.38,4.85,0.14,2.8,3.09,406.31,8.52,42.76,<0.002,0.09,10.39,8.6,1.03,4.63,82.09,0.21,1.276,2.5,0.21,0.36,0.63,68.02,1.38,9.51,22.36,48.34
MUESTRA1012,4726.049,6254.175,1092,4.093,75.965,2.05,5757.63,108.23,0.28,0.11,0.39,1.73,15.52,6.05,20.97,4.37,75.35,1.56,4.71,<0.05,0.55,1.02,8.51,0.15,137.42,3.26,0.21,1.1,3.87,153.45,71.35,71.11,<0.002,0.77,50.98,3.26,<1,0.21,31.24,0.08,12.258,0.95,0.08,0.73,0.33,34.81,0.88,2.9,255.13,49.13
MUESTRA1013,4734.633,6238.41,1096,0.045,0.253,1.53,7.84,98.06,0.23,0.05,0.22,0.05,6.17,3.53,19.24,5.69,12.74,1.28,3.15,<0.05,0.3,0.77,2.95,0.24,190.77,11.58,0.08,1.09,2.8,120.94,7.2,59.02,<0.002,0.04,18.3,2.63,<1,<0.2,18.4,0.07,0.067,0.79,0.08,0.54,0.28,27.01,0.65,2.61,18.32,10.05
MUESTRA1014,4587,6403,1007,0.119,0.268,9.85,20.96,281.18,1.37,0.05,7.88,0.11,30.87,19.18,32.84,3.34,39.24,6,25.5,0.1,1.71,1.94,14.81,1.69,1902.41,0.85,1.28,5.93,16.46,948.55,7.56,108.29,<0.002,0.03,6.06,17.25,<1,1.65,232.05,0.46,0.178,4.15,0.54,1.35,1.28,153.19,1.01,14.69,63.73,60.49
MUESTRA1015,4681.005,6257.046,1088,13.957,72.979,2.35,227.61,31.44,0.21,67.37,2.36,2.07,16.67,1.12,17.6,2.86,26.52,5.88,8.6,0.06,0.51,0.21,10.38,0.1,268.18,16.23,0.06,1.8,1.27,387.33,98.68,18.2,<0.002,0.1,10.21,4.4,<1,3.22,68.39,0.14,96.426,1.82,0.13,0.3,0.53,63.53,1.93,5.79,116.11,16.3
MUESTRA1016,4697.819,6262.421,1090,0.403,0.846,5.29,15.65,30.26,0.74,0.88,6.93,0.79,21.86,11.83,18.29,1.79,20.57,6.17,23.43,0.1,1.14,0.2,10.21,0.67,1348.7,2.12,0.08,2.43,5.94,488.35,14.94,18.88,<0.002,0.04,5.12,7.98,1,2.72,174.56,0.23,0.544,2.21,0.19,0.18,1.35,77.08,0.53,12.39,209.47,56.08
MUESTRA1017,4620,6407,998,0.047,0.547,5.89,15.48,90.53,0.46,0.25,4.49,2.41,32.48,19.87,26.25,1.98,59.09,9.48,18.83,0.1,1.79,0.52,15.95,2.08,2783.68,4.21,0.35,5.23,30.4,626.25,15.53,39.07,0.004,0.17,8.58,13.17,<1,2.27,118.8,0.35,0.511,3.76,0.41,0.45,1.29,128.49,2.13,12.86,386.11,79.19
MUESTRA1018,4688.76,6297.202,1068,0.209,5.75,1.56,188.78,87.26,0.18,0.14,0.29,0.6,6.56,1.05,18.89,3.75,22.49,1.23,3.63,<0.05,0.52,0.81,3.66,0.09,102.16,0.4,0.11,0.76,1.11,121.6,110.39,52.07,<0.002,0.07,6.71,2.49,<1,0.2,23.04,0.06,1.413,0.78,0.07,0.49,0.2,28.77,0.78,1.67,155.69,9.16
MUESTRA1019,4649.203,6287.79,1064,0.026,1.206,6.79,12.88,471.93,0.5,0.05,1.92,0.05,26,8.43,27.5,5.99,34.8,5.3,16.68,0.07,1.53,2.77,16.34,1.82,873.76,4.53,0.56,3.86,3.2,638.77,8.62,217.13,<0.002,0.43,5.01,18.56,<1,1.22,167.77,0.29,0.784,2.87,0.41,2.03,0.66,133.11,1.39,10.61,44.12,66
MUESTRA1020,4650.153,6304.18,1061,0.255,0.873,6.74,7.21,30.93,0.69,0.08,6.52,0.49,22.11,13.84,10.08,3.67,46.94,7.39,28.93,0.17,1.43,0.23,12.37,0.63,875.9,7.49,0.07,3.04,4.1,484.14,17.37,19.88,<0.002,0.44,16.19,9.45,<1,1.31,69,0.25,0.587,2.85,0.28,0.21,0.64,77.86,1.14,9.9,97.99,54.02
MUESTRA1021,4632.068,6302.892,1037.3,0.266,0.616,3.36,11.59,10,0.71,0.08,3.66,0.15,9.82,6.56,17.1,0.76,25.11,2.59,10.69,0.05,0.58,0.03,5.78,0.11,329.13,8.79,0.01,0.99,2.9,235.25,13.53,2.32,<0.002,0.04,10.15,3.38,<1,0.47,22.34,0.09,0.314,0.95,0.08,0.05,0.29,43.79,0.64,4.11,68.57,15.3
MUESTRA1022,4622.267,6284.322,1009.39,0.076,0.385,4.18,16.58,10.43,0.88,0.12,4.68,0.49,18.49,24.75,12.56,6.99,75.23,6.48,16.15,0.09,0.65,0.2,10.52,0.85,1576.93,6.82,0.06,1.81,7.34,310.72,21.61,22.14,<0.002,0.23,7.03,5.13,<1,1.18,57.05,0.14,0.3,1.37,0.16,0.22,0.53,66.92,0.71,9.65,127.65,25.52
MUESTRA1023,4656.668,6316.063,1063,0.519,3.876,3.2,4.88,696.96,0.24,0.28,0.67,34.69,8.95,1.76,25.14,5.74,19.79,3.31,5.61,0.06,0.82,2.19,4.75,0.08,121.25,146.06,0.25,1.78,0.74,293.44,581.63,153.17,<0.002,0.37,20.31,5.15,1.07,0.54,49.17,0.13,1.861,1.49,0.15,1.39,0.3,31.7,0.96,3.69,2515.9,35.58
