Codigo,East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
MUESTRA0011,7736.492,5339.727,1412.109,0.005,0.275,2.46,14.82,156.75,0.3,0.05,0.05,0.41,9.32,4.03,24.99,3.65,8.96,1.36,4.99,<0.05,0.56,0.8,3.78,0.25,231.22,0.63,0.02,1.51,4.4,223.68,17.31,55.96,<0.002,<0.01,12.77,3.92,<1,0.31,8.21,0.1,<0.05,1.11,0.11,0.48,0.33,39.28,1.05,3.38,69.49,25.33
MUESTRA0012,7879.174,5764.615,1465.839,0.006,0.809,5.04,23.9,323.69,0.58,0.05,0.09,<0.02,17.92,6.08,31.45,6.09,7.56,3.72,11.84,<0.05,1.13,1.81,8.52,0.92,417.55,3.23,0.04,3.92,7.75,497.57,10.16,124.27,<0.002,0.08,16.76,8.07,<1,1.11,13.21,0.24,<0.05,2.28,0.29,1.04,0.45,81.28,2.58,5.42,48.31,47.11
MUESTRA0013,7870.033,5722.899,1465.839,0.005,0.35,8.3,18.1,397.11,1.19,0.06,2.85,0.05,34.32,15.48,34.54,11.99,8.58,4.91,19.46,<0.05,1.83,2.66,15.59,1.8,943.07,0.26,0.06,6.03,10.15,666.62,11.04,158.92,<0.002,0.29,3.91,15.47,<1,1.05,36.38,0.36,<0.05,2.53,0.5,1.31,0.77,145.37,2.68,11.88,102.95,66.62
MUESTRA0014,7866.813,5725.574,1465.839,0.025,1.819,3.94,22.64,263.53,0.53,0.05,0.91,4.42,12.04,6.95,21.99,6.26,21.87,1.93,7.73,<0.05,0.83,1.28,4.61,0.66,324.43,3.41,0.03,2.07,4.67,264.07,212.91,97.53,<0.002,0.25,15.5,5.63,<1,0.49,19.14,0.15,<0.05,1.11,0.18,0.78,0.29,55.85,1.15,4.33,329.94,26.73
MUESTRA0015,7760.933,5627.106,1399.449,<0.005,0.091,8.2,5.4,499.2,1.12,0.05,4.46,0.1,44.45,18.96,39.37,6.99,31.09,4.39,18.43,0.07,2.1,0.99,21.96,1.85,1054.25,0.25,2.22,6.78,16.19,861.67,6.73,54.51,<0.002,0.01,2,23.06,<1,1.11,541.43,0.48,<0.05,4.46,0.47,0.49,1.36,158.87,0.73,17.63,84.54,79.19
MUESTRA0016,7766.117,5612.502,1399.449,0.007,1.113,3.54,51.77,198.52,0.47,0.05,0.14,0.05,16.27,9.79,29.45,7.93,6.72,2.19,8.18,<0.05,1.13,1.44,6.64,0.34,378.73,6.99,0.03,3.42,8.82,592.28,30.75,108.04,<0.002,0.07,20.64,9.15,<1,0.64,12.62,0.2,<0.05,2.05,0.23,0.83,0.64,72.47,1.48,5.83,26.14,39.9
MUESTRA0017,7765.708,5612.842,1399.449,<0.005,0.195,7.94,4.36,505.76,0.96,0.05,2.56,0.05,40.3,20.18,39.47,12.09,22.15,4.69,15.74,0.05,1.45,2.14,18.81,2.17,876.7,0.3,0.85,6.65,17.76,906.52,10.82,130.08,<0.002,0.06,2.27,15,<1,0.86,154.18,0.44,<0.05,3.07,0.4,1.14,0.87,128.18,1.68,12.16,96.59,56.98
MUESTRA0018,7831.989,5577.365,1399.449,0.005,0.654,3.29,11.48,124.31,0.4,0.05,0.41,0.05,17.19,6.81,23.6,4.51,19.43,2.29,6.91,<0.05,0.61,0.83,8.03,0.64,645.05,0.54,0.41,2.28,6.43,545.11,5.26,49.6,<0.002,0.03,19.49,5.01,<1,0.39,30.47,0.15,0.069,1.43,0.17,0.45,0.4,52.66,1.28,4.87,37.95,21.81
MUESTRA0019,7832.785,5574.106,1399.449,<0.005,0.428,7.55,8.55,299.75,0.92,0.05,3.61,0.07,36.72,15.38,36.64,7.28,30.46,4.7,16.88,<0.05,1.49,1.73,16.73,1.46,1228.1,0.18,1.15,5.94,13.72,810.01,5.02,139.32,<0.002,0.12,4.39,15.68,<1,1.15,90.61,0.4,<0.05,3.3,0.44,1.02,0.72,124.74,1.93,14.59,79.86,59.67
MUESTRA0020,6352.596,6830.149,1352.149,132.245,2766.906,1.83,50.25,65.47,0.51,0.05,0.03,0.13,0.33,0.22,13.95,4.91,66.75,0.82,6.33,0.17,<0.1,0.9,<0.5,0.11,49.39,13.5,0.02,0.11,0.86,66.47,41.95,69.05,<0.002,0.04,130.85,0.2,64.03,<0.2,9.74,<0.05,0.081,0.08,<0.005,0.62,<0.1,7.41,0.1,0.2,32.24,0.64
MUESTRA0021,6352.596,6830.149,1352.149,>10.0,>100,1.95,45.35,71.12,0.5,0.05,0.03,0.11,0.38,0.18,14.91,4.43,58.01,0.85,5.78,0.18,<0.1,0.94,<0.5,0.11,54.21,12.63,0.02,0.1,0.76,64.01,41.03,73.62,<0.002,0.04,133.45,0.19,70.43,<0.2,9.19,<0.05,0.086,0.06,<0.005,0.71,<0.1,8.5,0.1,0.22,36.2,0.75
MUESTRA0022,6352.74,6819.014,1352.149,4.392,165.868,6.09,5.64,529.6,1.53,0.11,0.68,0.3,44.83,0.55,7.48,6.35,6.56,0.92,12.02,0.06,2.49,2.21,23.78,0.09,338.74,4.7,1.39,6.25,0.63,69.04,28.74,132.86,<0.002,0.01,11.92,2.39,3.84,1.95,71.99,0.8,<0.05,13.69,0.04,1.03,5.02,1.01,1.23,17.68,38.55,78.27
MUESTRA0023,6352.74,6819.014,1352.149,4.363,>100,5.57,5.96,472.38,1.56,0.12,0.63,0.28,48.07,0.57,7.45,6.42,6.12,0.83,13.17,0.05,2.45,2.33,24.08,0.09,299.79,4.43,1.37,6.28,0.56,71.4,28.93,121.31,<0.002,0.01,10.11,2.36,3.76,1.72,69.19,0.75,<0.05,15.78,0.04,1.13,4.81,1,1.3,15.95,40.46,73.73
MUESTRA0024,6342.413,6822.44,1332.569,0.01,5.326,5.23,3.22,579.07,1.05,0.05,1.03,0.15,36.42,1.33,12.53,6.96,7.42,1.09,9.35,<0.05,1.89,2.67,20.7,0.15,453.52,0.45,0.4,5.88,0.83,127.13,11.38,133.93,<0.002,0.01,1.12,1.54,<1,1.33,56.62,0.76,0.059,16.36,0.06,1.23,3.12,7.58,1.03,11.77,36.36,54.89
MUESTRA0025,6339.352,6818.917,1332.569,0.037,1.372,7.12,2.52,609.43,1.4,0.12,2.15,0.11,40.88,3.71,4.28,13.73,5.02,2.19,16.62,0.07,2.58,2.69,19.5,0.46,576.69,0.18,0.87,7.9,1.4,400.54,12.05,150.93,<0.002,<0.01,1.33,5.77,<1,1.74,61.61,0.6,<0.05,7.84,0.19,1.21,2.39,31.12,1.42,18.41,56.84,96.68
MUESTRA0026,6428.974,6727.485,1352.149,0.012,0.685,7.36,40.92,707.22,1.2,0.05,2.19,0.05,36.32,13.6,34.21,4.65,21.33,4.37,16.97,0.08,1.93,2.8,17.06,1.31,822.65,0.46,2.3,5.74,7.76,816.37,6.4,142.2,<0.002,0.04,4.81,17.56,<1,1.03,312.71,0.37,<0.05,3.28,0.44,1.62,1.1,149.52,1.32,17.78,78.4,70.04
MUESTRA0027,6600.749,6751.646,1352.149,0.005,0.224,6.43,2.27,590.05,1.36,0.13,2.85,0.12,34.53,7.44,10.15,6.95,10.13,2.59,14.46,0.08,2.51,1.79,18.25,0.62,661.49,0.17,2.67,6.08,4.16,492.92,8.02,83.66,<0.002,<0.01,0.49,7.88,<1,1.51,221.72,0.46,<0.05,6.45,0.24,0.58,2.21,46.24,0.81,14.63,84.09,88.74
MUESTRA0028,6825.562,6722.534,1337.959,0.011,0.473,6.54,2.76,546.5,1.51,0.14,0.21,0.18,61.33,0.82,4.27,1.82,4.62,1.6,16.13,0.11,3.84,1.77,27.62,0.12,316.02,0.33,3.31,5.51,0.54,101.66,17.24,68.5,<0.002,<0.01,2.08,10.55,<1,2.83,217.52,0.5,<0.05,14.68,0.06,0.58,3.19,5.1,0.39,17.19,65.89,116.49
MUESTRA0029,6847.915,6724.651,1337.959,<0.005,0.092,8.72,4.22,500.57,1.25,0.05,4.6,0.07,47.15,15.77,30.99,2.91,21.25,4.69,20.76,0.09,2.56,1.21,18.79,1.83,795.08,0.93,1.92,7.1,8.03,842.85,8.01,36.89,<0.002,<0.01,2.09,21.09,<1,1.3,501.57,0.42,<0.05,4.95,0.49,0.32,1.35,134.68,0.73,18.99,87.67,99.28
