n_estimators,max_depth,min_samples_split,PR_AUC,F1_Score,Tiempo(s)
20,12,2,0.9736795077025931,0.8817204301075269,0.18
40,10,4,0.9720314022426934,0.8817204301075269,0.36
30,13,3,0.9771537953464574,0.8817204301075269,0.27
30,12,3,0.9746825916159355,0.8817204301075269,0.28
30,11,6,0.9711829152914558,0.8817204301075269,0.27
50,12,2,0.9733427028874634,0.8817204301075269,0.49
60,12,5,0.971373148814865,0.8723404255319149,0.61
30,13,6,0.9678540794257002,0.8723404255319149,0.27
30,12,5,0.962080114120496,0.8723404255319149,0.3
30,10,2,0.9790161482688582,0.8723404255319149,0.3
30,12,2,0.9769947958901606,0.8723404255319149,0.27
30,11,4,0.9670237286408707,0.8723404255319149,0.27
30,13,2,0.9818336098320418,0.8723404255319149,0.3
20,10,2,0.9727696471409112,0.8723404255319149,0.18
20,10,6,0.9649835615251828,0.8723404255319149,0.17
50,9,4,0.9639943827215709,0.8723404255319149,0.46
50,10,6,0.9731134205872333,0.8723404255319149,0.45
40,12,5,0.9649120481137226,0.8723404255319149,0.36
50,9,5,0.9697009617003007,0.8723404255319149,0.48
60,13,6,0.970682430144825,0.8695652173913043,0.6
60,13,3,0.9804250119600464,0.8695652173913043,0.55
60,12,6,0.9714215526883295,0.8695652173913043,0.56
60,9,2,0.9761812979771448,0.8695652173913043,0.64
50,9,2,0.9721402477539541,0.8695652173913043,0.43
40,13,3,0.9742571484555073,0.8695652173913043,0.37
40,12,4,0.9730206977488983,0.8695652173913043,0.42
60,11,5,0.9752755912295321,0.8695652173913043,0.54
60,11,6,0.9774178776306436,0.8695652173913043,0.55
60,9,4,0.9663111927321163,0.8695652173913043,0.53
60,9,6,0.9724765717928469,0.8695652173913043,0.52
40,11,3,0.9800449407175621,0.8695652173913043,0.46
20,11,2,0.978463410165135,0.8695652173913043,0.23
20,11,4,0.9580080927780479,0.8695652173913043,0.18
20,13,2,0.9780661487191695,0.8695652173913043,0.18
20,12,3,0.9713686471291388,0.8695652173913043,0.19
30,9,3,0.971567324283718,0.8695652173913043,0.26
20,13,4,0.9617314976813964,0.8695652173913043,0.18
40,9,3,0.9717029342157032,0.8695652173913043,0.35
20,9,2,0.9729920737630785,0.8695652173913043,0.41
50,10,3,0.970907717839874,0.8695652173913043,0.44
50,11,6,0.9767797659008568,0.8695652173913043,0.48
20,13,3,0.9689139025631339,0.8695652173913043,0.23
40,12,3,0.9726553198174128,0.8695652173913043,0.36
20,10,5,0.958235056521267,0.8631578947368421,0.18
30,10,5,0.968997456853102,0.8631578947368421,0.26
30,11,5,0.963801285242745,0.8631578947368421,0.27
40,10,5,0.9673730411620983,0.8631578947368421,0.35
40,13,5,0.9651955646166435,0.8631578947368421,0.43
40,11,5,0.9664211732674931,0.8631578947368421,0.38
60,13,5,0.9687984681407216,0.8602150537634409,0.61
30,13,4,0.966870872686101,0.8602150537634409,0.29
20,12,6,0.9642581598378663,0.8602150537634409,0.19
20,9,4,0.9645874743249607,0.8602150537634409,0.22
30,12,4,0.9663339971758607,0.8602150537634409,0.27
20,9,6,0.9758960930899782,0.8602150537634409,0.19
20,12,4,0.9622426358162053,0.8571428571428571,0.2
50,12,3,0.9747830989297211,0.8571428571428571,0.47
50,12,4,0.9782666721071203,0.8571428571428571,0.45
50,10,4,0.971186950456184,0.8571428571428571,0.61
40,11,4,0.9720578286757952,0.8571428571428571,0.4
20,10,4,0.9605408215187896,0.8571428571428571,0.18
20,9,3,0.9725234822740746,0.8571428571428571,0.2
20,11,6,0.9700584087229871,0.8571428571428571,0.18
60,12,4,0.9804296613064593,0.8571428571428571,0.55
60,11,4,0.9810365590906334,0.8571428571428571,0.54
60,10,5,0.969461883327456,0.8571428571428571,0.53
60,9,5,0.9703491832502766,0.8571428571428571,0.56
60,13,4,0.9795687131404961,0.8571428571428571,0.58
40,13,4,0.970580512773624,0.8571428571428571,0.36
50,11,4,0.9757967730487733,0.8571428571428571,0.53
50,13,4,0.9745494533994264,0.8571428571428571,0.45
60,10,6,0.972149666066292,0.851063829787234,0.54
20,13,6,0.9580422568117954,0.8478260869565217,0.32
40,9,5,0.9650972141532227,0.8478260869565217,0.37
60,10,4,0.9751753715669058,0.8444444444444444,0.57
60,10,3,0.9747370445363464,0.8444444444444444,0.55
20,11,5,0.9632979218459035,0.8387096774193549,0.18
30,9,5,0.9671893043864266,0.8387096774193549,0.46
20,9,5,0.9558928087286822,0.8172043010752689,0.23
