East,North,Level,Au_ppm,target_Au,bloque,y_prob,y_pred
14537.603,9548.218,1452.959,6.451,1,NE,0.7364094853401184,1
14537.849,9549.684,1452.959,0.475,1,NE,0.7364094853401184,1
14483.634,9478.922,1422.489,0.029,0,NE,0.10994583778083325,0
14248.236,9077.789,1385.149,0.009,0,NE,0.06500379107892514,0
14025.137,9135.838,1368.509,0.01,0,NE,0.0,0
15934.444,9106.715,1395.149,0.042,0,NE,0.010169491544365883,0
15961.376,9122.193,1395.149,0.013,0,NE,0.0217369269579649,0
16047.285,9179.101,1375.689,0.046,0,NE,0.8808403372764587,1
16242.11,9301.554,1357.729,0.033,0,NE,0.5210718095302582,1
15213.821,8954.097,1392.959,0.007,0,NE,0.06720159240067006,0
15215.853,8958.177,1392.959,0.008,0,NE,0.016723166033625603,0
14986.584,9037.492,1378.789,0.02,0,NE,0.71318119764328,1
14323.775,8943.012,1435.429,0.0025,0,NE,0.0033898301422595977,0
14297.813,8945.08,1479.419,0.0025,0,NE,0.052948720008134845,0
12448.019,9465.28,1366.139,0.246,1,NE,0.26574895679950716,1
6585.25,8214.579,819.0,0.271,1,NE,0.30589942932128905,1
6555.308,8188.868,802.0,1.751,1,NE,0.8165128707885743,1
6562.195,8529.096,667.0,0.0025,0,NE,0.0,0
8243.0,8411.0,923.0,0.0025,0,NE,0.026736927032470704,0
6878.0,7953.0,955.0,0.82,1,NE,0.06926485821604729,0
6892.0,7999.0,929.0,0.017,0,NE,0.23646791130304337,1
7416.0,9167.0,948.0,0.0025,0,NE,0.0033898305147886275,0
7403.0,9151.0,932.0,0.0025,0,NE,0.021280601993203162,0
6769.0,8253.0,800.0,0.051,0,NE,0.10234857238829136,0
6842.361,7921.866,970.0,0.183,1,NE,0.40503557920455935,1
6839.058,7919.794,968.0,0.078,0,NE,0.0692648570984602,0
6846.961,7923.449,968.0,0.422,1,NE,0.44620571434497835,1
6836.096,7897.925,985.0,0.013,0,NE,0.021736926212906838,0
6866.0,7805.0,1027.0,0.008,0,NE,0.19525578245520592,1
6766.0,7761.0,1053.0,0.693,1,NE,0.17613890320062636,0
6777.825,7997.316,955.0,0.182,1,NE,0.028502826392650605,0
6757.469,8011.793,945.0,0.005,0,NE,0.022246566787362098,0
7625.0,9168.0,914.0,0.0025,0,NE,0.010169491544365883,0
6756.568,7967.345,968.0,0.0025,0,NE,0.02895915098488331,0
7252.0,9301.0,989.0,0.0025,0,NE,0.0033898305147886275,0
7997.0,8498.0,840.0,0.015,0,NE,0.02895915098488331,0
7188.403,8040.524,930.0,0.0025,0,NE,0.0033898305147886275,0
7502.394,7983.141,1014.0,0.005,0,NE,0.010169492289423942,0
6949.768,7873.601,989.0,0.007,0,NE,0.5317022383213044,1
6791.0,7992.0,938.0,0.0025,0,NE,0.02628060318529606,0
7516.58,7507.325,1234.0,0.028,0,NE,0.07180375680327415,0
7576.876,7528.326,1204.0,0.011,0,NE,0.0,0
7611.929,7485.914,1201.0,0.008,0,NE,0.010625815764069558,0
7595.705,7475.786,1208.0,0.0025,0,NE,0.0033898305147886275,0
7720.564,7548.831,1121.0,0.0025,0,NE,0.0,0
7504.0,7697.0,1157.0,0.119,1,NE,0.06393273659050465,0
7372.0,7821.0,1093.0,0.005,0,NE,0.015169491618871688,0
7387.0,7845.0,1075.0,0.012,0,NE,0.04135045558214188,0
7654.096,7280.083,1252.0,0.628,1,NE,0.41303121447563174,1
7651.098,7262.602,1258.0,1.881,1,NE,0.3163645565509796,1
7516.522,7507.41,1234.0,0.021,0,NE,0.2186901330947876,1
7575.762,7439.146,1229.0,0.011,0,NE,0.0907527282834053,0
7647.991,7330.175,1242.0,0.007,0,NE,0.10646723844110965,0
7685.385,7385.344,1208.0,0.005,0,NE,0.07547665238380433,0
7749.635,7376.631,1198.0,0.005,0,NE,0.16066091358661652,0
7746.951,7334.899,1214.0,0.007,0,NE,0.06469989083707332,0
7756.197,7418.672,1175.0,0.013,0,NE,0.015169491618871688,0
7756.236,7420.633,1173.0,0.0025,0,NE,0.0,0
7754.63,7450.319,1158.0,0.011,0,NE,0.15667619109153746,0
7763.773,7522.919,1115.0,0.0025,0,NE,0.028502827137708665,0
7939.966,7733.444,1044.0,0.0025,0,NE,0.026736925914883615,0
7957.723,7749.313,1039.0,0.0025,0,NE,0.010169491916894913,0
7443.802,7447.359,1279.0,0.009,0,NE,0.060989799723029134,0
7468.3,7510.31,1259.0,0.0025,0,NE,0.20268122404813765,1
7520.809,7644.348,1189.0,0.007,0,NE,0.010169491544365883,0
7593.0,7660.0,1133.0,0.0025,0,NE,0.0,0
7559.0,7715.0,1108.0,0.0025,0,NE,0.02895914874970913,0
7538.414,7769.906,1120.0,0.0025,0,NE,0.0,0
7483.145,7669.697,1193.0,0.0025,0,NE,0.0,0
6688.0,7269.0,1077.0,0.0025,0,NE,0.0,0
6566.274,7175.239,1134.0,0.63,1,NE,0.48503558039665223,1
8251.755,8310.912,881.0,0.0025,0,NE,0.0,0
8260.229,8339.02,890.0,0.0025,0,NE,0.0005598310381174088,0
8283.833,8336.032,900.0,0.0025,0,NE,0.0033898305147886275,0
8118.083,8580.602,933.22,0.0025,0,NE,0.0033898305147886275,0
8119.451,8580.064,926.0,0.0025,0,NE,0.0,0
8247.33,8642.427,1007.0,0.191,1,NE,0.3163645565509796,1
8247.712,8643.854,1008.0,0.176,1,NE,0.17190634608268737,0
7634.055,9150.665,936.0,0.0025,0,NE,0.0013199497014284133,0
7613.912,9173.874,961.0,0.0025,0,NE,0.0033898305147886275,0
7413.037,9176.006,930.3,0.005,0,NE,0.06553329154849052,0
7342.329,9283.829,938.0,0.0025,0,NE,0.0,0
7311.601,9215.031,946.0,0.0025,0,NE,0.0033898305147886275,0
7310.607,9216.457,947.0,0.0025,0,NE,0.0,0
7360.476,9291.407,938.0,0.0025,0,NE,0.0,0
7652.489,9380.671,1004.9,0.005,0,NE,0.07217948995530606,0
7777.329,9421.947,1001.08,0.0025,0,NE,0.06720159277319908,0
7777.029,9421.947,1001.08,0.047,0,NE,0.3861158907413483,1
7646.665,9257.735,960.0,0.011,0,NE,0.4050355851650238,1
7969.405,9071.236,1033.0,0.0025,0,NE,0.0,0
7969.636,9072.241,1034.0,0.0025,0,NE,0.0217369269579649,0
7983.101,9073.868,1036.0,0.0025,0,NE,0.0033898305147886275,0
7830.852,9255.068,1008.92,0.0025,0,NE,0.0,0
7837.047,9323.753,1021.0,0.0025,0,NE,0.08825443014502525,0
7118.649,9357.443,984.0,0.0025,0,NE,0.0033898305147886275,0
7498.381,9379.659,1057.0,0.0025,0,NE,0.1423223741352558,0
7114.945,9343.175,979.0,0.0025,0,NE,0.0033898305147886275,0
6949.532,9387.872,916.0,0.0025,0,NE,0.0,0
7791.561,9130.511,1028.72,0.0025,0,NE,0.0,0
7474.984,9394.083,1040.08,0.0025,0,NE,0.0033898305147886275,0
7185.679,9242.846,909.93,0.009,0,NE,0.010169491171836853,0
7303.975,9180.48,885.98,0.0025,0,NE,0.0,0
7313.698,9144.563,880.19,0.0025,0,NE,0.0033898305147886275,0
7313.698,9144.563,881.19,0.01,0,NE,0.0,0
6941.902,9320.45,876.0,0.0025,0,NE,0.0033898305147886275,0
6945.164,9331.82,879.0,0.0025,0,NE,0.0,0
7982.963,8490.224,851.0,0.015,0,NE,0.08747868612408638,0
9687.255,7199.058,1285.0,0.024,0,NE,0.09696451798081399,0
9748.088,7293.679,1274.99,0.165,1,NE,0.31636455059051516,1
7424.562,8619.624,632.81,0.024,0,NE,0.22044723480939865,1
7399.22,8631.432,642.17,0.0025,0,NE,0.0033898305147886275,0
7365.083,8645.858,635.17,0.0025,0,NE,0.023959149047732352,0
7359.267,8649.93,635.17,0.0025,0,NE,0.030273707956075667,0
6775.243,9176.615,699.85,0.0025,0,NE,0.0,0
6934.998,9138.164,715.3,0.0025,0,NE,0.021736926212906838,0
6896.213,8964.498,616.0,0.0025,0,NE,0.0,0
6866.761,8979.233,634.0,0.0025,0,NE,0.0,0
6598.299,9015.171,624.0,0.0025,0,NE,0.0,0
9250.801,7427.507,1239.39,0.0025,0,NE,0.0,0
9416.112,7499.893,1209.93,0.0025,0,NE,0.0,0
9570.979,7583.363,1204.78,0.0025,0,NE,0.022891261056065558,0
9751.766,7554.263,1177.4,0.0025,0,NE,0.0,0
9730.406,7705.351,1128.98,0.0025,0,NE,0.0,0
6872.263,8977.7,624.0,0.0025,0,NE,0.0217369269579649,0
6935.59,8947.851,632.0,0.0025,0,NE,0.0,0
6951.182,8939.598,628.0,0.0025,0,NE,0.0235028263181448,0
7032.841,8908.628,658.0,0.005,0,NE,0.0033898308873176576,0
7090.549,8873.495,656.0,0.0025,0,NE,0.0,0
7136.525,8878.642,641.0,0.0025,0,NE,0.014500941708683967,0
7138.644,8878.503,642.0,0.0025,0,NE,0.003904642118141055,0
7346.043,8769.035,678.0,0.0025,0,NE,0.023959150537848473,0
7352.003,8779.044,681.0,0.0025,0,NE,0.09111987911164761,0
7405.778,8845.406,719.0,0.006,0,NE,0.20510535836219787,1
7406.545,8845.414,719.0,0.016,0,NE,0.2543793976306915,1
7407.153,8845.411,719.0,0.007,0,NE,0.14246676713228226,0
6977.414,8982.512,654.68,0.0025,0,NE,0.0,0
7128.681,8945.348,672.58,0.0025,0,NE,0.09823232740163804,0
7173.952,8898.108,666.35,0.098,0,NE,0.17190634459257126,0
7288.013,8908.907,685.0,0.0025,0,NE,0.0,0
7387.851,8826.55,672.85,0.0025,0,NE,0.052948721870779994,0
7388.151,8826.55,672.85,0.0025,0,NE,0.13534161821007729,0
7388.521,8826.55,672.85,0.0025,0,NE,0.052948721870779994,0
7412.519,8835.057,677.0,0.0025,0,NE,0.0,0
7485.566,8743.402,680.21,0.0025,0,NE,0.0,0
7539.822,8752.368,615.0,0.0025,0,NE,0.0,0
7588.664,8765.428,753.0,0.0025,0,NE,0.0,0
7591.791,8775.412,755.0,0.0025,0,NE,0.010169491544365883,0
7593.904,8778.542,756.0,0.0025,0,NE,0.0,0
7390.36,8812.382,690.0,0.01,0,NE,0.19222657084465028,1
7391.054,8812.927,689.0,0.0025,0,NE,0.021280602738261222,0
7387.408,8806.318,681.0,0.03,0,NE,0.07072649672627448,0
7378.042,8799.857,683.0,0.0025,0,NE,0.0,0
7343.085,8828.71,697.0,0.033,0,NE,0.015625814720988274,0
7371.567,8851.021,717.0,0.0025,0,NE,0.0033898308873176576,0
7386.669,8862.305,736.0,0.0025,0,NE,0.0033898305147886275,0
7595.851,8804.479,799.0,0.0025,0,NE,0.032234209775924685,0
7755.485,8594.815,823.0,0.0025,0,NE,0.0,0
7755.732,8593.776,824.0,0.0025,0,NE,0.0,0
10874.845,6988.61,1376.58,0.006,0,NE,0.2011873960494995,1
10194.0,7588.0,1212.0,0.0025,0,NE,0.014500940963625909,0
10748.0,7228.556,1345.99,0.0025,0,NE,0.20344387292861937,1
10811.044,7179.966,1360.29,0.0025,0,NE,0.021736926212906838,0
10810.244,7179.166,1360.29,0.0025,0,NE,0.0217369269579649,0
10792.955,7196.518,1359.29,0.0025,0,NE,0.023959149047732352,0
10793.805,7197.368,1359.29,0.0025,0,NE,0.010625814646482467,0
10768.307,7215.64,1354.0,0.015,0,NE,0.410108357667923,1
10768.307,7211.44,1354.0,0.0025,0,NE,0.2497282862663269,1
10768.307,7210.64,1354.6,0.0025,0,NE,0.3163645565509796,1
10751.655,7228.413,1349.56,0.006,0,NE,0.10376632139086724,0
13420.369,7979.213,1461.0,0.008,0,NE,0.0,0
13423.401,7979.578,962.0,0.011,0,NE,0.014500941708683967,0
13401.108,7930.185,1451.0,0.015,0,NE,0.021280603483319283,0
13415.978,7867.289,1457.0,0.071,0,NE,0.0,0
13481.987,7834.53,1461.28,0.093,0,NE,0.5787793815135955,1
13481.737,7834.28,1461.28,0.01,0,NE,0.4050355851650238,1
13432.143,7643.936,1456.0,0.0025,0,NE,0.0033898301422595977,0
13292.89,7617.222,1431.0,0.0025,0,NE,0.0,0
13162.24,7721.219,1399.0,0.132,1,NE,0.7043276786804199,1
13093.248,7644.019,1383.0,0.0025,0,NE,0.023959149047732352,0
13082.933,7638.933,1385.0,8.391,1,NE,0.5510573029518128,1
13083.354,7638.403,1385.0,16.681,1,NE,0.8353907465934753,1
13082.343,7639.524,1385.0,0.039,0,NE,0.23646791726350785,1
12229.128,7710.341,1386.0,0.0025,0,NE,0.0,0
12105.873,7738.184,1388.0,0.005,0,NE,0.0,0
12729.132,7543.819,1356.0,0.0025,0,NE,0.023959150537848473,0
11986.986,7930.563,1364.0,0.0025,0,NE,0.0,0
11927.252,8062.049,1349.0,0.0025,0,NE,0.0,0
11905.722,8212.004,1269.0,0.0025,0,NE,0.0,0
13273.551,7773.733,1386.92,0.0025,0,NE,0.0,0
13273.051,7774.233,1386.92,0.211,1,NE,0.6254460632801055,1
13272.551,7774.733,1386.92,0.005,0,NE,0.023502827063202857,0
13208.56,7703.28,1397.28,0.136,1,NE,0.6897428512573243,1
12626.487,7964.014,1250.32,0.009,0,NE,0.2131184756755829,1
12269.916,8235.052,1215.39,0.0025,0,NE,0.0033898305147886275,0
11929.28,8279.309,1212.58,0.0025,0,NE,0.12131683081388474,0
9938.961,7979.888,1098.0,0.0025,0,NE,0.0033898305147886275,0
10024.459,7725.949,1171.0,0.0025,0,NE,0.0,0
10081.898,7779.689,1124.1,0.0025,0,NE,0.0,0
10176.204,7722.378,1176.0,0.0025,0,NE,0.0,0
10722.304,7925.479,1305.0,0.0025,0,NE,0.0,0
10960.155,7735.912,1336.0,0.0025,0,NE,0.35306850969791415,1
10975.154,7744.34,1346.0,0.0025,0,NE,0.021280601993203162,0
10977.125,7720.589,1344.0,0.0025,0,NE,0.0,0
11057.485,7814.044,1351.0,0.0025,0,NE,0.0033898305147886275,0
11032.974,7844.365,1359.0,0.0025,0,NE,0.0,0
11178.51,7648.406,1289.0,0.0025,0,NE,0.0033898305147886275,0
11613.932,7840.834,1303.0,0.0025,0,NE,0.0033898305147886275,0
11612.946,7838.838,1303.0,0.0025,0,NE,0.0,0
10349.502,7840.799,1133.68,0.0025,0,NE,0.0,0
10374.323,7964.097,1158.44,0.0025,0,NE,0.0007358779665082693,0
10432.228,8005.492,1206.58,0.0025,0,NE,0.0007358779665082693,0
10496.96,7999.158,1253.83,0.034,0,NE,0.07468917779624462,0
10628.872,7928.656,1257.61,0.0025,0,NE,0.023502827063202857,0
10736.057,8016.064,1271.95,0.0025,0,NE,0.0,0
10918.725,7958.742,1309.56,0.0025,0,NE,0.0,0
11193.267,7771.686,1286.77,0.0025,0,NE,0.023959150165319444,0
11263.732,7832.584,1230.37,0.0025,0,NE,0.0,0
11252.733,7997.779,1209.82,0.0025,0,NE,0.0,0
10543.592,7645.832,1239.0,0.0025,0,NE,0.0,0
10469.84,7559.584,1233.0,0.0025,0,NE,0.0,0
10784.418,7619.256,1283.0,0.0025,0,NE,0.0033898301422595977,0
11329.408,7444.62,1286.0,0.0025,0,NE,0.0,0
11665.294,7865.684,1314.0,0.0025,0,NE,0.023959149047732352,0
11812.595,7970.995,1357.0,0.0025,0,NE,0.0,0
13637.0,7880.0,1442.0,0.0025,0,NE,0.0,0
13563.0,7802.0,1468.0,0.0025,0,NE,0.010169491916894913,0
13568.183,7743.042,1492.0,0.143,1,NE,0.49010834097862244,1
13542.711,7621.113,1484.0,0.0025,0,NE,0.10344793051481246,0
13493.0,7316.0,1405.0,0.0025,0,NE,0.0,0
13474.491,7297.585,1471.0,0.005,0,NE,0.11248519718647003,0
11573.009,7065.976,1309.0,0.0025,0,NE,0.0,0
11568.974,7096.43,1308.0,0.0025,0,NE,0.0,0
13560.6,7726.182,1468.89,0.0025,0,NE,0.0,0
13564.38,7700.069,1464.32,0.0025,0,NE,0.005961371771991253,0
13566.359,7659.223,1461.89,0.0025,0,NE,0.016723166033625603,0
13551.816,7643.218,1460.51,0.0025,0,NE,0.016723166033625603,0
13529.16,7590.352,1458.09,0.0025,0,NE,0.0,0
13489.193,7404.77,1452.45,0.0025,0,NE,0.0,0
13458.64,7240.536,1443.95,0.0025,0,NE,0.0033898305147886275,0
13419.12,7082.566,1453.09,0.0025,0,NE,0.0033898305147886275,0
13368.477,7064.41,1456.61,0.0025,0,NE,0.0033898305147886275,0
10936.135,7160.599,1357.46,0.0025,0,NE,0.18479067236185073,1
12593.212,9322.593,1287.22,0.042,0,NE,0.31636455059051516,1
12565.265,9342.622,1297.56,0.048,0,NE,0.5954460501670837,1
12506.71,9377.052,1326.0,0.079,0,NE,0.7953600764274598,1
12517.115,9391.492,1330.0,0.022,0,NE,0.1649163171648979,0
12478.309,9381.667,1336.14,0.0025,0,NE,0.04173692651093006,0
12479.768,9390.582,1367.0,0.882,1,NE,0.7865128517150879,1
12459.734,9409.679,1351.56,0.065,0,NE,0.3967750370502472,1
12449.398,9397.661,1351.71,0.009,0,NE,0.3875494241714478,1
12478.483,9389.735,1367.0,0.034,0,NE,0.31636455059051516,1
12428.873,9420.568,1367.92,0.006,0,NE,0.6835091054439545,1
12425.317,9432.147,1369.02,0.071,0,NE,0.5787793815135955,1
12444.785,9426.588,1361.35,0.052,0,NE,0.3182806342840195,1
12403.73,9449.517,1389.59,0.033,0,NE,0.31636454463005065,1
12353.194,9530.005,1391.44,0.019,0,NE,0.2011873960494995,1
12184.714,9619.928,1349.43,0.236,1,NE,0.49010834097862244,1
12235.003,9655.366,1353.57,0.184,1,NE,0.6755494177341461,1
12227.806,9830.008,1333.33,0.005,0,NE,0.021624108776450157,0
12185.944,9866.588,1324.53,0.006,0,NE,0.2260027974843979,1
11973.089,10040.492,1363.75,0.01,0,NE,0.2298566997051239,1
11952.674,10040.002,1362.64,0.006,0,NE,0.12858906388282776,0
11899.552,10003.919,1357.18,0.0025,0,NE,0.0,0
11861.497,9973.41,1360.34,0.016,0,NE,0.014500941708683967,0
11801.243,9925.7,1367.0,0.035,0,NE,0.1752399191260338,0
11718.693,9882.244,1377.61,0.005,0,NE,0.0033898305147886275,0
11635.881,9834.686,1395.03,0.021,0,NE,0.1076538972556591,0
11548.95,9832.829,1412.9,0.012,0,NE,0.3422904908657074,1
11212.275,9755.951,1390.67,0.007,0,NE,0.0,0
11096.631,9642.112,1388.58,0.009,0,NE,0.0033898305147886275,0
11429.841,8653.792,1116.01,0.008,0,NE,0.0,0
12372.0,9466.0,1400.0,0.026,0,NE,0.2657489597797394,1
12571.0,9326.0,1258.0,0.114,1,NE,0.601071810722351,1
12485.0,9297.0,1266.0,0.013,0,NE,0.2272423267364502,1
12484.0,9294.0,1297.0,0.019,0,NE,0.49010837376117705,1
12325.0,9308.0,1336.0,0.013,0,NE,0.4101083517074585,1
12333.0,9378.0,1370.0,0.02,0,NE,0.31636455059051516,1
12421.0,9484.0,1365.0,0.014,0,NE,0.05294872149825096,0
12398.056,9596.601,1406.0,0.008,0,NE,0.15298333615064622,0
12426.408,9765.04,1399.0,0.012,0,NE,0.5210718095302582,1
12406.572,9767.952,1396.0,0.014,0,NE,0.023502827063202857,0
12283.92,9911.181,1378.0,0.01,0,NE,0.25259350016713145,1
12265.0,9946.0,1349.0,0.012,0,NE,0.1298191610723734,0
12175.346,10011.087,1386.0,0.011,0,NE,0.07900155559182168,0
12070.821,9999.697,1367.0,0.005,0,NE,0.0033898305147886275,0
10751.67,9714.179,1408.0,0.006,0,NE,0.0,0
10759.075,9711.097,1407.0,0.007,0,NE,0.410108345746994,1
10774.114,9705.094,1406.0,0.005,0,NE,0.041736925765872,0
10783.487,9699.401,1406.0,0.005,0,NE,0.0033898305147886275,0
10776.619,9725.142,1409.0,0.005,0,NE,0.0033898305147886275,0
10803.614,9687.717,1408.0,0.005,0,NE,0.0,0
10810.88,9670.947,1406.0,0.013,0,NE,0.25528384149074557,1
10847.003,9608.365,1404.0,0.006,0,NE,0.06720159277319908,0
10848.709,9609.613,1406.0,0.01,0,NE,0.12566701471805572,0
10892.864,9520.108,1412.0,0.005,0,NE,0.011623729206621646,0
10748.904,9560.958,1370.0,0.005,0,NE,0.1888984151184559,1
10718.47,9555.548,1369.0,0.016,0,NE,0.07547665126621723,0
10681.661,9460.156,1331.0,0.007,0,NE,0.023959151282906533,0
10535.913,9327.418,1321.0,0.005,0,NE,0.24319003224372865,1
10508.997,9305.912,1307.0,0.0025,0,NE,0.028959150612354278,0
10484.254,9252.733,1298.0,0.005,0,NE,0.2646873123943806,1
10460.726,9162.846,1276.0,0.0025,0,NE,0.023959149047732352,0
10336.166,9037.969,1222.0,0.005,0,NE,0.10940592810511589,0
10175.674,8736.307,1089.0,0.005,0,NE,0.049625513702631,0
10186.511,8728.796,1107.0,0.0025,0,NE,0.0322342075407505,0
12291.151,9344.202,1358.05,0.017,0,NE,0.7698462009429932,1
11897.495,8893.909,1196.9,0.0025,0,NE,0.0,0
12283.669,9423.82,1371.49,0.009,0,NE,0.0,0
12182.615,9451.037,1345.29,0.0025,0,NE,0.003846153989434242,0
12091.205,9306.671,1322.09,0.005,0,NE,0.0033898305147886275,0
11989.433,9247.174,1307.57,0.0025,0,NE,0.0,0
11969.984,9250.353,1304.83,0.0025,0,NE,0.0,0
11929.604,9407.668,1288.72,0.0025,0,NE,0.0,0
11856.873,9268.942,1288.82,0.0025,0,NE,0.0033898305147886275,0
11795.463,9115.365,1276.28,0.0025,0,NE,0.0,0
11691.29,8953.909,1226.3,0.0025,0,NE,0.0033898308873176576,0
11615.695,8856.134,1193.41,0.0025,0,NE,0.0033898305147886275,0
11802.383,8850.063,1180.08,0.005,0,NE,0.0,0
10144.0,8642.0,1051.0,0.0025,0,NE,0.0033898308873176576,0
10287.0,8689.0,1085.0,0.0025,0,NE,0.0,0
10343.0,8772.0,1110.0,0.0025,0,NE,0.0,0
10414.0,8808.0,1142.0,0.0025,0,NE,0.0,0
10436.0,8858.0,1150.0,0.007,0,NE,0.0,0
10159.0,8676.0,1065.0,0.0025,0,NE,0.0322342075407505,0
10565.0,9023.0,1212.0,0.0025,0,NE,0.0,0
10581.0,9068.0,1216.0,0.0025,0,NE,0.003843021672219038,0
10714.0,9146.0,1214.0,0.0025,0,NE,0.0,0
10861.0,9241.0,1258.0,0.0025,0,NE,0.0,0
10867.0,9037.0,1247.0,0.0025,0,NE,0.0,0
10857.0,8825.0,1159.0,0.0025,0,NE,0.04794872142374516,0
10790.0,8782.0,1154.0,0.0025,0,NE,0.0033898308873176576,0
12145.648,9090.515,1257.1,0.0025,0,NE,0.0033898301422595977,0
9274.334,7160.944,1393.0,0.005,0,NE,0.0,0
9337.693,7044.911,1387.87,0.0025,0,NE,0.0,0
9276.343,7158.845,1383.0,0.005,0,NE,0.18353208899497986,0
9206.111,7092.305,1328.98,0.0025,0,NE,0.0,0
10172.545,9339.51,1258.0,0.0025,0,NE,0.0,0
10095.745,9271.919,1266.0,0.0025,0,NE,0.0,0
10124.417,9242.645,1247.0,0.0025,0,NE,0.0033898305147886275,0
10037.201,9295.062,1293.0,0.0025,0,NE,0.021280602738261222,0
9946.424,9323.672,1333.0,0.0025,0,NE,0.0,0
9918.749,9347.723,1339.0,0.0025,0,NE,0.5787793934345246,1
9926.649,9451.377,1364.0,0.0025,0,NE,0.21407172083854675,1
9932.904,9539.296,1377.0,0.0025,0,NE,0.0,0
9549.563,9700.593,1430.0,0.0025,0,NE,0.49877938628196716,1
9548.52,9701.509,1430.0,0.0025,0,NE,0.28120976984500884,1
9217.572,8458.713,961.09,0.0025,0,NE,0.0,0
9086.685,8631.27,972.53,0.0025,0,NE,0.0,0
8879.033,8654.444,1019.0,0.0025,0,NE,0.0,0
8873.549,8732.284,1049.08,0.0025,0,NE,0.0,0
8906.997,8785.388,1045.77,0.0025,0,NE,0.023959149420261384,0
8901.754,8800.469,1050.12,0.006,0,NE,0.0,0
8458.298,8794.814,1048.8,0.0025,0,NE,0.010169491171836853,0
8918.989,8950.516,1087.94,0.0025,0,NE,0.0,0
8914.314,9028.546,1108.39,0.0025,0,NE,0.010625816136598586,0
8686.428,8977.299,1091.36,0.006,0,NE,0.0,0
8678.575,8986.867,1093.85,0.0025,0,NE,0.017179489508271216,0
8684.346,8882.298,1024.02,0.0025,0,NE,0.014500942453742028,0
8679.177,8864.974,1035.69,0.0025,0,NE,0.0,0
